[1823, 1375]
[folio, [620.0, 101.0, 117.0, 36.0], shoonya_3s4IOL7A3LR3W0, 5683643]
[folio, [987.0, 101.0, 276.0, 36.0], shoonya_5sF1N02S2R7P8S, 5683643]
[paragraph, [102.0, 170.0, 580.0, 36.0], shoonya_2sL2N7BOPFL6SB, 5683643]
[paragraph, [102.0, 206.0, 580.0, 36.0], shoonya_2sL2N7BOPFL6SB, 5683643]
[paragraph, [102.0, 242.0, 580.0, 36.0], shoonya_2sL2N7BOPFL6SB, 5683643]
[paragraph, [102.0, 278.0, 580.0, 36.0], shoonya_2sL2N7BOPFL6SB, 5683643]
[paragraph, [102.0, 314.0, 580.0, 36.0], shoonya_2sL2N7BOPFL6SB, 5683643]
[paragraph, [102.0, 350.0, 580.0, 36.0], shoonya_2sL2N7BOPFL6SB, 5683643]
[paragraph, [102.0, 386.0, 580.0, 36.0], shoonya_2sL2N7BOPFL6SB, 5683643]
[paragraph, [102.0, 422.0, 580.0, 36.0], shoonya_2sL2N7BOPFL6SB, 5683643]
[paragraph, [102.0, 458.0, 580.0, 36.0], shoonya_2sL2N7BOPFL6SB, 5683643]
[paragraph, [102.0, 494.0, 580.0, 36.0], shoonya_2sL2N7BOPFL6SB, 5683643]
[paragraph, [102.0, 530.0, 580.0, 36.0], shoonya_2sL2N7BOPFL6SB, 5683643]
[paragraph, [102.0, 566.0, 580.0, 36.0], shoonya_2sL2N7BOPFL6SB, 5683643]
[paragraph, [102.0, 602.0, 580.0, 36.0], shoonya_2sL2N7BOPFL6SB, 5683643]
[paragraph, [102.0, 638.0, 580.0, 36.0], shoonya_2sL2N7BOPFL6SB, 5683643]
[paragraph, [102.0, 674.0, 580.0, 36.0], shoonya_2sL2N7BOPFL6SB, 5683643]
[paragraph, [102.0, 710.0, 580.0, 36.0], shoonya_2sL2N7BOPFL6SB, 5683643]
[paragraph, [102.0, 746.0, 580.0, 36.0], shoonya_2sL2N7BOPFL6SB, 5683643]
[paragraph, [102.0, 782.0, 580.0, 36.0], shoonya_2sL2N7BOPFL6SB, 5683643]
[paragraph, [102.0, 818.0, 580.0, 36.0], shoonya_2sL2N7BOPFL6SB, 5683643]
[paragraph, [102.0, 854.0, 580.0, 36.0], shoonya_2sL2N7BOPFL6SB, 5683643]
[paragraph, [102.0, 890.0, 580.0, 36.0], shoonya_2sL2N7BOPFL6SB, 5683643]
[paragraph, [102.0, 926.0, 580.0, 36.0], shoonya_2sL2N7BOPFL6SB, 5683643]
[paragraph, [102.0, 962.0, 580.0, 36.0], shoonya_2sL2N7BOPFL6SB, 5683643]
[paragraph, [102.0, 998.0, 580.0, 36.0], shoonya_2sL2N7BOPFL6SB, 5683643]
[paragraph, [102.0, 1034.0, 580.0, 36.0], shoonya_2sL2N7BOPFL6SB, 5683643]
[paragraph, [102.0, 1070.0, 580.0, 36.0], shoonya_2sL2N7BOPFL6SB, 5683643]
[paragraph, [102.0, 1106.0, 580.0, 36.0], shoonya_2sL2N7BOPFL6SB, 5683643]
[paragraph, [102.0, 1142.0, 580.0, 36.0], shoonya_2sL2N7BOPFL6SB, 5683643]
[paragraph, [102.0, 1178.0, 580.0, 36.0], shoonya_2sL2N7BOPFL6SB, 5683643]
