[1787, 1218]
[ordered-list, [163.0, 94.0, 957.0, 36.0], shoonya_3sPAKGQSNCZGRP, 5651969]
[ordered-list, [163.0, 130.0, 957.0, 36.0], shoonya_3sPAKGQSNCZGRP, 5651969]
[ordered-list, [163.0, 166.0, 957.0, 36.0], shoonya_3sPAKGQSNCZGRP, 5651969]
[ordered-list, [163.0, 202.0, 957.0, 36.0], shoonya_3sPAKGQSNCZGRP, 5651969]
[paragraph, [82.0, 272.0, 1074.0, 36.0], shoonya_1sBNQT77M3YKU8, 5651969]
[paragraph, [82.0, 308.0, 1074.0, 36.0], shoonya_1sBNQT77M3YKU8, 5651969]
[paragraph, [82.0, 344.0, 1074.0, 36.0], shoonya_1sBNQT77M3YKU8, 5651969]
[paragraph, [82.0, 380.0, 1074.0, 36.0], shoonya_1sBNQT77M3YKU8, 5651969]
[paragraph, [82.0, 416.0, 1074.0, 36.0], shoonya_1sBNQT77M3YKU8, 5651969]
[paragraph, [82.0, 452.0, 1074.0, 36.0], shoonya_1sBNQT77M3YKU8, 5651969]
[paragraph, [82.0, 488.0, 1074.0, 36.0], shoonya_1sBNQT77M3YKU8, 5651969]
[paragraph, [38.0, 551.0, 1114.0, 36.0], wZDRvGnSxt, 5651969]
[paragraph, [38.0, 587.0, 1114.0, 36.0], wZDRvGnSxt, 5651969]
[paragraph, [38.0, 623.0, 1114.0, 36.0], wZDRvGnSxt, 5651969]
[paragraph, [38.0, 659.0, 1114.0, 36.0], wZDRvGnSxt, 5651969]
[paragraph, [38.0, 695.0, 1114.0, 36.0], wZDRvGnSxt, 5651969]
[paragraph, [69.0, 749.0, 1067.0, 36.0], shoonya_2s4TV5M4M0FV0N, 5651969]
[paragraph, [69.0, 785.0, 1067.0, 36.0], shoonya_2s4TV5M4M0FV0N, 5651969]
[paragraph, [69.0, 821.0, 1067.0, 36.0], shoonya_2s4TV5M4M0FV0N, 5651969]
[paragraph, [69.0, 857.0, 1067.0, 36.0], shoonya_2s4TV5M4M0FV0N, 5651969]
[paragraph, [69.0, 893.0, 1067.0, 36.0], shoonya_2s4TV5M4M0FV0N, 5651969]
[paragraph, [69.0, 929.0, 1067.0, 36.0], shoonya_2s4TV5M4M0FV0N, 5651969]
[paragraph, [69.0, 965.0, 1067.0, 36.0], shoonya_2s4TV5M4M0FV0N, 5651969]
[paragraph, [69.0, 1001.0, 1067.0, 36.0], shoonya_2s4TV5M4M0FV0N, 5651969]
[paragraph, [68.0, 1069.0, 1111.0, 36.0], shoonya_0sW4GOO0N0S8GM, 5651969]
[paragraph, [68.0, 1105.0, 1111.0, 36.0], shoonya_0sW4GOO0N0S8GM, 5651969]
[paragraph, [68.0, 1141.0, 1111.0, 36.0], shoonya_0sW4GOO0N0S8GM, 5651969]
[paragraph, [68.0, 1177.0, 1111.0, 36.0], shoonya_0sW4GOO0N0S8GM, 5651969]
[paragraph, [68.0, 1213.0, 1111.0, 36.0], shoonya_0sW4GOO0N0S8GM, 5651969]
[paragraph, [68.0, 1249.0, 1111.0, 36.0], shoonya_0sW4GOO0N0S8GM, 5651969]
[paragraph, [68.0, 1285.0, 1111.0, 36.0], shoonya_0sW4GOO0N0S8GM, 5651969]
[paragraph, [66.0, 1345.0, 1147.0, 36.0], rL_cbBInLr, 5651969]
[paragraph, [66.0, 1381.0, 1147.0, 36.0], rL_cbBInLr, 5651969]
[paragraph, [66.0, 1417.0, 1147.0, 36.0], rL_cbBInLr, 5651969]
[paragraph, [66.0, 1453.0, 1147.0, 36.0], rL_cbBInLr, 5651969]
[paragraph, [66.0, 1489.0, 1147.0, 36.0], rL_cbBInLr, 5651969]
[paragraph, [66.0, 1525.0, 1147.0, 36.0], rL_cbBInLr, 5651969]
[paragraph, [66.0, 1561.0, 1147.0, 36.0], rL_cbBInLr, 5651969]
[paragraph, [66.0, 1597.0, 1147.0, 36.0], rL_cbBInLr, 5651969]
[footnote, [447.0, 1654.0, 234.0, 36.0], IrkgJhMdKv, 5651969]
