[842, 595]
[paragraph, [63.0, 84.0, 415.0, 18.0], shoonya_0sBEIEEDIEJ5Z6, 6460152]
[paragraph, [63.0, 102.0, 415.0, 18.0], shoonya_0sBEIEEDIEJ5Z6, 6460152]
[paragraph, [63.0, 120.0, 415.0, 18.0], shoonya_0sBEIEEDIEJ5Z6, 6460152]
[paragraph, [63.0, 138.0, 415.0, 18.0], shoonya_0sBEIEEDIEJ5Z6, 6460152]
[paragraph, [63.0, 156.0, 415.0, 18.0], shoonya_0sBEIEEDIEJ5Z6, 6460152]
[paragraph, [63.0, 174.0, 415.0, 18.0], shoonya_0sBEIEEDIEJ5Z6, 6460152]
[paragraph, [63.0, 192.0, 415.0, 18.0], shoonya_0sBEIEEDIEJ5Z6, 6460152]
[paragraph, [63.0, 210.0, 415.0, 18.0], shoonya_0sBEIEEDIEJ5Z6, 6460152]
[paragraph, [63.0, 228.0, 415.0, 18.0], shoonya_0sBEIEEDIEJ5Z6, 6460152]
[paragraph, [63.0, 246.0, 415.0, 18.0], shoonya_0sBEIEEDIEJ5Z6, 6460152]
[paragraph, [63.0, 264.0, 415.0, 18.0], shoonya_0sBEIEEDIEJ5Z6, 6460152]
[paragraph, [63.0, 282.0, 415.0, 18.0], shoonya_0sBEIEEDIEJ5Z6, 6460152]
[paragraph, [63.0, 300.0, 415.0, 18.0], shoonya_0sBEIEEDIEJ5Z6, 6460152]
[paragraph, [63.0, 318.0, 415.0, 18.0], shoonya_0sBEIEEDIEJ5Z6, 6460152]
[paragraph, [63.0, 336.0, 415.0, 18.0], shoonya_0sBEIEEDIEJ5Z6, 6460152]
[paragraph, [63.0, 354.0, 415.0, 18.0], shoonya_0sBEIEEDIEJ5Z6, 6460152]
[paragraph, [63.0, 372.0, 415.0, 18.0], shoonya_0sBEIEEDIEJ5Z6, 6460152]
[paragraph, [63.0, 390.0, 415.0, 18.0], shoonya_0sBEIEEDIEJ5Z6, 6460152]
[paragraph, [63.0, 408.0, 415.0, 18.0], shoonya_0sBEIEEDIEJ5Z6, 6460152]
[paragraph, [63.0, 426.0, 415.0, 18.0], shoonya_0sBEIEEDIEJ5Z6, 6460152]
[paragraph, [63.0, 444.0, 415.0, 18.0], shoonya_0sBEIEEDIEJ5Z6, 6460152]
[paragraph, [63.0, 462.0, 415.0, 18.0], shoonya_0sBEIEEDIEJ5Z6, 6460152]
[paragraph, [63.0, 480.0, 415.0, 18.0], shoonya_0sBEIEEDIEJ5Z6, 6460152]
[paragraph, [63.0, 498.0, 415.0, 18.0], shoonya_0sBEIEEDIEJ5Z6, 6460152]
[paragraph, [63.0, 516.0, 415.0, 18.0], shoonya_0sBEIEEDIEJ5Z6, 6460152]
[paragraph, [63.0, 534.0, 415.0, 18.0], shoonya_0sBEIEEDIEJ5Z6, 6460152]
[paragraph, [63.0, 552.0, 415.0, 18.0], shoonya_0sBEIEEDIEJ5Z6, 6460152]
[paragraph, [63.0, 570.0, 415.0, 18.0], shoonya_0sBEIEEDIEJ5Z6, 6460152]
[paragraph, [63.0, 588.0, 415.0, 18.0], shoonya_0sBEIEEDIEJ5Z6, 6460152]
[paragraph, [63.0, 606.0, 415.0, 18.0], shoonya_0sBEIEEDIEJ5Z6, 6460152]
[paragraph, [63.0, 624.0, 415.0, 18.0], shoonya_0sBEIEEDIEJ5Z6, 6460152]
[paragraph, [63.0, 642.0, 415.0, 18.0], shoonya_0sBEIEEDIEJ5Z6, 6460152]
[paragraph, [63.0, 660.0, 415.0, 18.0], shoonya_0sBEIEEDIEJ5Z6, 6460152]
[paragraph, [63.0, 678.0, 415.0, 18.0], shoonya_0sBEIEEDIEJ5Z6, 6460152]
[paragraph, [63.0, 696.0, 415.0, 18.0], shoonya_0sBEIEEDIEJ5Z6, 6460152]
[paragraph, [63.0, 714.0, 415.0, 18.0], shoonya_0sBEIEEDIEJ5Z6, 6460152]
