[1754, 1241]
[section-title, [418.0, 240.0, 240.0, 49.5], yoirnDy4bT, 6472081]
[paragraph, [162.0, 370.0, 452.0, 36.0], -064RGqr1Z, 6472081]
[paragraph, [162.0, 406.0, 452.0, 36.0], -064RGqr1Z, 6472081]
[paragraph, [162.0, 442.0, 452.0, 36.0], -064RGqr1Z, 6472081]
[paragraph, [162.0, 478.0, 452.0, 36.0], -064RGqr1Z, 6472081]
[paragraph, [162.0, 514.0, 452.0, 36.0], -064RGqr1Z, 6472081]
[author, [917.0, 453.0, 133.0, 36.0], sDKSv6mpeN, 6472081]
[paragraph, [167.0, 574.0, 449.0, 36.0], kISVgw3ipG, 6472081]
[paragraph, [167.0, 610.0, 449.0, 36.0], kISVgw3ipG, 6472081]
[paragraph, [167.0, 646.0, 449.0, 36.0], kISVgw3ipG, 6472081]
[paragraph, [167.0, 682.0, 449.0, 36.0], kISVgw3ipG, 6472081]
[paragraph, [167.0, 718.0, 449.0, 36.0], kISVgw3ipG, 6472081]
[paragraph, [167.0, 754.0, 449.0, 36.0], kISVgw3ipG, 6472081]
[paragraph, [167.0, 790.0, 449.0, 36.0], kISVgw3ipG, 6472081]
[paragraph, [167.0, 826.0, 449.0, 36.0], kISVgw3ipG, 6472081]
[paragraph, [167.0, 862.0, 449.0, 36.0], kISVgw3ipG, 6472081]
[paragraph, [622.0, 822.0, 457.0, 36.0], YFigwSQAke, 6472081]
[paragraph, [622.0, 858.0, 457.0, 36.0], YFigwSQAke, 6472081]
[paragraph, [622.0, 894.0, 457.0, 36.0], YFigwSQAke, 6472081]
[paragraph, [622.0, 930.0, 457.0, 36.0], YFigwSQAke, 6472081]
[paragraph, [622.0, 966.0, 457.0, 36.0], YFigwSQAke, 6472081]
[paragraph, [622.0, 1002.0, 457.0, 36.0], YFigwSQAke, 6472081]
[paragraph, [622.0, 1038.0, 457.0, 36.0], YFigwSQAke, 6472081]
[paragraph, [170.0, 907.0, 444.0, 36.0], EHnY7i9bwx, 6472081]
[paragraph, [170.0, 943.0, 444.0, 36.0], EHnY7i9bwx, 6472081]
[paragraph, [170.0, 979.0, 444.0, 36.0], EHnY7i9bwx, 6472081]
[paragraph, [170.0, 1015.0, 444.0, 36.0], EHnY7i9bwx, 6472081]
[paragraph, [170.0, 1051.0, 444.0, 36.0], EHnY7i9bwx, 6472081]
[paragraph, [170.0, 1087.0, 444.0, 36.0], EHnY7i9bwx, 6472081]
[paragraph, [616.0, 1097.0, 458.0, 36.0], Q2eoG52Y26, 6472081]
[paragraph, [616.0, 1133.0, 458.0, 36.0], Q2eoG52Y26, 6472081]
[paragraph, [616.0, 1169.0, 458.0, 36.0], Q2eoG52Y26, 6472081]
[paragraph, [167.0, 1141.0, 447.0, 36.0], _NVDaK9z1C, 6472081]
[paragraph, [167.0, 1177.0, 447.0, 36.0], _NVDaK9z1C, 6472081]
[paragraph, [167.0, 1213.0, 447.0, 36.0], _NVDaK9z1C, 6472081]
[paragraph, [167.0, 1249.0, 447.0, 36.0], _NVDaK9z1C, 6472081]
[paragraph, [167.0, 1285.0, 447.0, 36.0], _NVDaK9z1C, 6472081]
[paragraph, [167.0, 1321.0, 447.0, 36.0], _NVDaK9z1C, 6472081]
[paragraph, [167.0, 1357.0, 447.0, 36.0], _NVDaK9z1C, 6472081]
[paragraph, [624.0, 1228.0, 453.0, 36.0], B_BKEQ-aLp, 6472081]
[paragraph, [624.0, 1264.0, 453.0, 36.0], B_BKEQ-aLp, 6472081]
[paragraph, [624.0, 1300.0, 453.0, 36.0], B_BKEQ-aLp, 6472081]
[paragraph, [624.0, 1336.0, 453.0, 36.0], B_BKEQ-aLp, 6472081]
[paragraph, [624.0, 1372.0, 453.0, 36.0], B_BKEQ-aLp, 6472081]
[paragraph, [624.0, 1408.0, 453.0, 36.0], B_BKEQ-aLp, 6472081]
[paragraph, [624.0, 1444.0, 453.0, 36.0], B_BKEQ-aLp, 6472081]
[paragraph, [161.0, 1406.0, 453.0, 36.0], hRR0uL5IHb, 6472081]
[paragraph, [161.0, 1442.0, 453.0, 36.0], hRR0uL5IHb, 6472081]
[paragraph, [161.0, 1478.0, 453.0, 36.0], hRR0uL5IHb, 6472081]
[paragraph, [625.0, 1495.0, 453.0, 36.0], 31mdNMh-A2, 6472081]
