[3690, 2970]
[folio, [1148.0, 115.0, 685.0, 52.5], shoonya_5sLUJH3HR8IBAW, 5698076]
[paragraph, [248.0, 269.0, 2483.0, 52.5], shoonya_1s4OTW7UXORVQA, 5698076]
[paragraph, [248.0, 321.5, 2483.0, 52.5], shoonya_1s4OTW7UXORVQA, 5698076]
[paragraph, [248.0, 374.0, 2483.0, 52.5], shoonya_1s4OTW7UXORVQA, 5698076]
[paragraph, [248.0, 426.5, 2483.0, 52.5], shoonya_1s4OTW7UXORVQA, 5698076]
[paragraph, [248.0, 479.0, 2483.0, 52.5], shoonya_1s4OTW7UXORVQA, 5698076]
[paragraph, [248.0, 531.5, 2483.0, 52.5], shoonya_1s4OTW7UXORVQA, 5698076]
[paragraph, [248.0, 584.0, 2483.0, 52.5], shoonya_1s4OTW7UXORVQA, 5698076]
[paragraph, [248.0, 636.5, 2483.0, 52.5], shoonya_1s4OTW7UXORVQA, 5698076]
[paragraph, [252.0, 754.0, 2475.0, 52.5], shoonya_2s5C6TJIG9IN4V, 5698076]
[paragraph, [252.0, 806.5, 2475.0, 52.5], shoonya_2s5C6TJIG9IN4V, 5698076]
[paragraph, [252.0, 859.0, 2475.0, 52.5], shoonya_2s5C6TJIG9IN4V, 5698076]
[paragraph, [252.0, 911.5, 2475.0, 52.5], shoonya_2s5C6TJIG9IN4V, 5698076]
[ordered-list, [350.0, 1179.0, 2382.0, 52.5], shoonya_6sUTQNHEG9KFMY, 5698076]
[ordered-list, [350.0, 1231.5, 2382.0, 52.5], shoonya_6sUTQNHEG9KFMY, 5698076]
[ordered-list, [350.0, 1284.0, 2382.0, 52.5], shoonya_6sUTQNHEG9KFMY, 5698076]
[ordered-list, [350.0, 1336.5, 2382.0, 52.5], shoonya_6sUTQNHEG9KFMY, 5698076]
[ordered-list, [350.0, 1389.0, 2382.0, 52.5], shoonya_6sUTQNHEG9KFMY, 5698076]
[ordered-list, [350.0, 1441.5, 2382.0, 52.5], shoonya_6sUTQNHEG9KFMY, 5698076]
[ordered-list, [350.0, 1494.0, 2382.0, 52.5], shoonya_6sUTQNHEG9KFMY, 5698076]
[ordered-list, [350.0, 1546.5, 2382.0, 52.5], shoonya_6sUTQNHEG9KFMY, 5698076]
[ordered-list, [350.0, 1599.0, 2382.0, 52.5], shoonya_6sUTQNHEG9KFMY, 5698076]
[ordered-list, [350.0, 1651.5, 2382.0, 52.5], shoonya_6sUTQNHEG9KFMY, 5698076]
[ordered-list, [350.0, 1704.0, 2382.0, 52.5], shoonya_6sUTQNHEG9KFMY, 5698076]
[ordered-list, [350.0, 1756.5, 2382.0, 52.5], shoonya_6sUTQNHEG9KFMY, 5698076]
[ordered-list, [350.0, 1809.0, 2382.0, 52.5], shoonya_6sUTQNHEG9KFMY, 5698076]
[ordered-list, [350.0, 1861.5, 2382.0, 52.5], shoonya_6sUTQNHEG9KFMY, 5698076]
[ordered-list, [350.0, 1914.0, 2382.0, 52.5], shoonya_6sUTQNHEG9KFMY, 5698076]
[ordered-list, [350.0, 1966.5, 2382.0, 52.5], shoonya_6sUTQNHEG9KFMY, 5698076]
[ordered-list, [350.0, 2019.0, 2382.0, 52.5], shoonya_6sUTQNHEG9KFMY, 5698076]
[ordered-list, [350.0, 2071.5, 2382.0, 52.5], shoonya_6sUTQNHEG9KFMY, 5698076]
[ordered-list, [350.0, 2124.0, 2382.0, 52.5], shoonya_6sUTQNHEG9KFMY, 5698076]
[ordered-list, [350.0, 2176.5, 2382.0, 52.5], shoonya_6sUTQNHEG9KFMY, 5698076]
[ordered-list, [350.0, 2229.0, 2382.0, 52.5], shoonya_6sUTQNHEG9KFMY, 5698076]
[ordered-list, [350.0, 2281.5, 2382.0, 52.5], shoonya_6sUTQNHEG9KFMY, 5698076]
[ordered-list, [350.0, 2334.0, 2382.0, 52.5], shoonya_6sUTQNHEG9KFMY, 5698076]
[ordered-list, [350.0, 2386.5, 2382.0, 52.5], shoonya_6sUTQNHEG9KFMY, 5698076]
[ordered-list, [350.0, 2439.0, 2382.0, 52.5], shoonya_6sUTQNHEG9KFMY, 5698076]
[ordered-list, [350.0, 2491.5, 2382.0, 52.5], shoonya_6sUTQNHEG9KFMY, 5698076]
[ordered-list, [350.0, 2544.0, 2382.0, 52.5], shoonya_6sUTQNHEG9KFMY, 5698076]
