[1806, 1262]
[folio, [163.0, 100.0, 505.0, 36.0], Q51zOdFnrQ, 5680319]
[paragraph, [99.0, 174.0, 508.0, 36.0], shoonya_1sCUCLMNVUX5S1, 5680319]
[paragraph, [99.0, 210.0, 508.0, 36.0], shoonya_1sCUCLMNVUX5S1, 5680319]
[paragraph, [99.0, 246.0, 508.0, 36.0], shoonya_1sCUCLMNVUX5S1, 5680319]
[paragraph, [99.0, 282.0, 508.0, 36.0], shoonya_1sCUCLMNVUX5S1, 5680319]
[paragraph, [99.0, 318.0, 508.0, 36.0], shoonya_1sCUCLMNVUX5S1, 5680319]
[paragraph, [99.0, 354.0, 508.0, 36.0], shoonya_1sCUCLMNVUX5S1, 5680319]
[paragraph, [99.0, 390.0, 508.0, 36.0], shoonya_1sCUCLMNVUX5S1, 5680319]
[paragraph, [99.0, 426.0, 508.0, 36.0], shoonya_1sCUCLMNVUX5S1, 5680319]
[paragraph, [99.0, 462.0, 508.0, 36.0], shoonya_1sCUCLMNVUX5S1, 5680319]
[paragraph, [99.0, 498.0, 508.0, 36.0], shoonya_1sCUCLMNVUX5S1, 5680319]
[paragraph, [99.0, 534.0, 508.0, 36.0], shoonya_1sCUCLMNVUX5S1, 5680319]
[paragraph, [99.0, 570.0, 508.0, 36.0], shoonya_1sCUCLMNVUX5S1, 5680319]
[paragraph, [99.0, 606.0, 508.0, 36.0], shoonya_1sCUCLMNVUX5S1, 5680319]
[paragraph, [99.0, 642.0, 508.0, 36.0], shoonya_1sCUCLMNVUX5S1, 5680319]
[paragraph, [99.0, 678.0, 508.0, 36.0], shoonya_1sCUCLMNVUX5S1, 5680319]
[paragraph, [99.0, 714.0, 508.0, 36.0], shoonya_1sCUCLMNVUX5S1, 5680319]
[paragraph, [99.0, 750.0, 508.0, 36.0], shoonya_1sCUCLMNVUX5S1, 5680319]
[paragraph, [99.0, 786.0, 508.0, 36.0], shoonya_1sCUCLMNVUX5S1, 5680319]
[paragraph, [99.0, 822.0, 508.0, 36.0], shoonya_1sCUCLMNVUX5S1, 5680319]
[paragraph, [99.0, 858.0, 508.0, 36.0], shoonya_1sCUCLMNVUX5S1, 5680319]
[paragraph, [99.0, 894.0, 508.0, 36.0], shoonya_1sCUCLMNVUX5S1, 5680319]
[paragraph, [99.0, 930.0, 508.0, 36.0], shoonya_1sCUCLMNVUX5S1, 5680319]
[paragraph, [99.0, 966.0, 508.0, 36.0], shoonya_1sCUCLMNVUX5S1, 5680319]
[paragraph, [99.0, 1002.0, 508.0, 36.0], shoonya_1sCUCLMNVUX5S1, 5680319]
[paragraph, [99.0, 1038.0, 508.0, 36.0], shoonya_1sCUCLMNVUX5S1, 5680319]
[paragraph, [99.0, 1074.0, 508.0, 36.0], shoonya_1sCUCLMNVUX5S1, 5680319]
[paragraph, [99.0, 1110.0, 508.0, 36.0], shoonya_1sCUCLMNVUX5S1, 5680319]
[paragraph, [99.0, 1146.0, 508.0, 36.0], shoonya_1sCUCLMNVUX5S1, 5680319]
[paragraph, [99.0, 1182.0, 508.0, 36.0], shoonya_1sCUCLMNVUX5S1, 5680319]
[paragraph, [99.0, 1218.0, 508.0, 36.0], shoonya_1sCUCLMNVUX5S1, 5680319]
[paragraph, [99.0, 1254.0, 508.0, 36.0], shoonya_1sCUCLMNVUX5S1, 5680319]
[paragraph, [99.0, 1290.0, 508.0, 36.0], shoonya_1sCUCLMNVUX5S1, 5680319]
[paragraph, [99.0, 1326.0, 508.0, 36.0], shoonya_1sCUCLMNVUX5S1, 5680319]
[paragraph, [99.0, 1362.0, 508.0, 36.0], shoonya_1sCUCLMNVUX5S1, 5680319]
[paragraph, [99.0, 1398.0, 508.0, 36.0], shoonya_1sCUCLMNVUX5S1, 5680319]
[paragraph, [99.0, 1434.0, 508.0, 36.0], shoonya_1sCUCLMNVUX5S1, 5680319]
[paragraph, [99.0, 1470.0, 508.0, 36.0], shoonya_1sCUCLMNVUX5S1, 5680319]
[paragraph, [99.0, 1506.0, 508.0, 36.0], shoonya_1sCUCLMNVUX5S1, 5680319]
