[2339, 1653]
[folio, [1015.0, 161.0, 465.0, 36.0], shoonya_0s7JEVTFKJR371, 5685393]
[paragraph, [368.0, 241.0, 1125.0, 36.0], shoonya_2sYDJOKGM6OZ1A, 5685393]
[paragraph, [368.0, 277.0, 1125.0, 36.0], shoonya_2sYDJOKGM6OZ1A, 5685393]
[paragraph, [368.0, 313.0, 1125.0, 36.0], shoonya_2sYDJOKGM6OZ1A, 5685393]
[paragraph, [368.0, 349.0, 1125.0, 36.0], shoonya_2sYDJOKGM6OZ1A, 5685393]
[paragraph, [368.0, 385.0, 1125.0, 36.0], shoonya_2sYDJOKGM6OZ1A, 5685393]
[paragraph, [368.0, 421.0, 1125.0, 36.0], shoonya_2sYDJOKGM6OZ1A, 5685393]
[paragraph, [368.0, 457.0, 1125.0, 36.0], shoonya_2sYDJOKGM6OZ1A, 5685393]
[paragraph, [368.0, 493.0, 1125.0, 36.0], shoonya_2sYDJOKGM6OZ1A, 5685393]
[paragraph, [368.0, 529.0, 1125.0, 36.0], shoonya_2sYDJOKGM6OZ1A, 5685393]
[paragraph, [368.0, 565.0, 1125.0, 36.0], shoonya_2sYDJOKGM6OZ1A, 5685393]
[paragraph, [362.0, 615.0, 1129.0, 36.0], shoonya_3s3GBF6B46ZDYK, 5685393]
[paragraph, [362.0, 651.0, 1129.0, 36.0], shoonya_3s3GBF6B46ZDYK, 5685393]
[paragraph, [362.0, 687.0, 1129.0, 36.0], shoonya_3s3GBF6B46ZDYK, 5685393]
[paragraph, [362.0, 723.0, 1129.0, 36.0], shoonya_3s3GBF6B46ZDYK, 5685393]
[paragraph, [362.0, 759.0, 1129.0, 36.0], shoonya_3s3GBF6B46ZDYK, 5685393]
[paragraph, [362.0, 795.0, 1129.0, 36.0], shoonya_3s3GBF6B46ZDYK, 5685393]
[paragraph, [362.0, 831.0, 1129.0, 36.0], shoonya_3s3GBF6B46ZDYK, 5685393]
[paragraph, [362.0, 867.0, 1129.0, 36.0], shoonya_3s3GBF6B46ZDYK, 5685393]
[paragraph, [362.0, 903.0, 1129.0, 36.0], shoonya_3s3GBF6B46ZDYK, 5685393]
[paragraph, [362.0, 939.0, 1129.0, 36.0], shoonya_3s3GBF6B46ZDYK, 5685393]
[paragraph, [362.0, 975.0, 1129.0, 36.0], shoonya_3s3GBF6B46ZDYK, 5685393]
[paragraph, [362.0, 1011.0, 1129.0, 36.0], shoonya_3s3GBF6B46ZDYK, 5685393]
[paragraph, [362.0, 1079.0, 1129.0, 36.0], shoonya_4s6GIUHB3SJKSZ, 5685393]
[paragraph, [362.0, 1115.0, 1129.0, 36.0], shoonya_4s6GIUHB3SJKSZ, 5685393]
[paragraph, [362.0, 1151.0, 1129.0, 36.0], shoonya_4s6GIUHB3SJKSZ, 5685393]
[paragraph, [362.0, 1187.0, 1129.0, 36.0], shoonya_4s6GIUHB3SJKSZ, 5685393]
[paragraph, [366.0, 1241.0, 1121.0, 36.0], shoonya_5sDAYX7CC8RKLW, 5685393]
[paragraph, [366.0, 1277.0, 1121.0, 36.0], shoonya_5sDAYX7CC8RKLW, 5685393]
[paragraph, [366.0, 1313.0, 1121.0, 36.0], shoonya_5sDAYX7CC8RKLW, 5685393]
[paragraph, [366.0, 1349.0, 1121.0, 36.0], shoonya_5sDAYX7CC8RKLW, 5685393]
[paragraph, [366.0, 1385.0, 1121.0, 36.0], shoonya_5sDAYX7CC8RKLW, 5685393]
[paragraph, [366.0, 1421.0, 1121.0, 36.0], shoonya_5sDAYX7CC8RKLW, 5685393]
[paragraph, [366.0, 1457.0, 1121.0, 36.0], shoonya_5sDAYX7CC8RKLW, 5685393]
[paragraph, [366.0, 1493.0, 1121.0, 36.0], shoonya_5sDAYX7CC8RKLW, 5685393]
[paragraph, [365.0, 1560.0, 1119.0, 36.0], 352TCBYxBY, 5685393]
[paragraph, [365.0, 1596.0, 1119.0, 36.0], 352TCBYxBY, 5685393]
[paragraph, [365.0, 1632.0, 1119.0, 36.0], 352TCBYxBY, 5685393]
[paragraph, [365.0, 1668.0, 1119.0, 36.0], 352TCBYxBY, 5685393]
[paragraph, [365.0, 1704.0, 1119.0, 36.0], 352TCBYxBY, 5685393]
[paragraph, [365.0, 1740.0, 1119.0, 36.0], 352TCBYxBY, 5685393]
[paragraph, [365.0, 1776.0, 1119.0, 36.0], 352TCBYxBY, 5685393]
[paragraph, [367.0, 1829.0, 1121.0, 36.0], FqkseyYU8h, 5685393]
[paragraph, [367.0, 1865.0, 1121.0, 36.0], FqkseyYU8h, 5685393]
[ordered-list, [318.0, 1942.0, 1181.0, 36.0], cNdTDqfUXu, 5685393]
[ordered-list, [318.0, 1978.0, 1181.0, 36.0], cNdTDqfUXu, 5685393]
[ordered-list, [318.0, 2014.0, 1181.0, 36.0], cNdTDqfUXu, 5685393]
[ordered-list, [318.0, 2050.0, 1181.0, 36.0], cNdTDqfUXu, 5685393]
