[1823, 1375]
[folio, [617.0, 108.0, 185.0, 36.0], shoonya_0sYUQBCE41HI2Q, 5683612]
[paragraph, [717.0, 168.0, 545.0, 36.0], nzFatBLX37, 5683612]
[paragraph, [717.0, 204.0, 545.0, 36.0], nzFatBLX37, 5683612]
[paragraph, [717.0, 240.0, 545.0, 36.0], nzFatBLX37, 5683612]
[paragraph, [717.0, 276.0, 545.0, 36.0], nzFatBLX37, 5683612]
[paragraph, [717.0, 312.0, 545.0, 36.0], nzFatBLX37, 5683612]
[paragraph, [717.0, 348.0, 545.0, 36.0], nzFatBLX37, 5683612]
[paragraph, [717.0, 384.0, 545.0, 36.0], nzFatBLX37, 5683612]
[paragraph, [717.0, 420.0, 545.0, 36.0], nzFatBLX37, 5683612]
[paragraph, [717.0, 456.0, 545.0, 36.0], nzFatBLX37, 5683612]
[paragraph, [717.0, 492.0, 545.0, 36.0], nzFatBLX37, 5683612]
[paragraph, [717.0, 528.0, 545.0, 36.0], nzFatBLX37, 5683612]
[paragraph, [717.0, 564.0, 545.0, 36.0], nzFatBLX37, 5683612]
[paragraph, [717.0, 600.0, 545.0, 36.0], nzFatBLX37, 5683612]
[paragraph, [717.0, 636.0, 545.0, 36.0], nzFatBLX37, 5683612]
[paragraph, [717.0, 672.0, 545.0, 36.0], nzFatBLX37, 5683612]
[paragraph, [717.0, 708.0, 545.0, 36.0], nzFatBLX37, 5683612]
[paragraph, [717.0, 744.0, 545.0, 36.0], nzFatBLX37, 5683612]
[paragraph, [115.0, 173.0, 547.0, 36.0], ZG7Cg3Qha0, 5683612]
[paragraph, [115.0, 209.0, 547.0, 36.0], ZG7Cg3Qha0, 5683612]
[paragraph, [115.0, 245.0, 547.0, 36.0], ZG7Cg3Qha0, 5683612]
[paragraph, [115.0, 281.0, 547.0, 36.0], ZG7Cg3Qha0, 5683612]
[paragraph, [115.0, 317.0, 547.0, 36.0], ZG7Cg3Qha0, 5683612]
[paragraph, [115.0, 353.0, 547.0, 36.0], ZG7Cg3Qha0, 5683612]
[paragraph, [115.0, 389.0, 547.0, 36.0], ZG7Cg3Qha0, 5683612]
[paragraph, [115.0, 425.0, 547.0, 36.0], ZG7Cg3Qha0, 5683612]
[paragraph, [115.0, 461.0, 547.0, 36.0], ZG7Cg3Qha0, 5683612]
[paragraph, [115.0, 497.0, 547.0, 36.0], ZG7Cg3Qha0, 5683612]
[paragraph, [115.0, 533.0, 547.0, 36.0], ZG7Cg3Qha0, 5683612]
[paragraph, [115.0, 569.0, 547.0, 36.0], ZG7Cg3Qha0, 5683612]
[paragraph, [115.0, 605.0, 547.0, 36.0], ZG7Cg3Qha0, 5683612]
[paragraph, [115.0, 641.0, 547.0, 36.0], ZG7Cg3Qha0, 5683612]
[paragraph, [115.0, 677.0, 547.0, 36.0], ZG7Cg3Qha0, 5683612]
[paragraph, [115.0, 713.0, 547.0, 36.0], ZG7Cg3Qha0, 5683612]
[paragraph, [115.0, 749.0, 547.0, 36.0], ZG7Cg3Qha0, 5683612]
[author, [1048.0, 801.0, 218.0, 36.0], TZivptZFOE, 5683612]
[paragraph, [758.0, 940.0, 514.0, 36.0], QozDQFmAW5, 5683612]
[paragraph, [758.0, 976.0, 514.0, 36.0], QozDQFmAW5, 5683612]
[paragraph, [758.0, 1012.0, 514.0, 36.0], QozDQFmAW5, 5683612]
[paragraph, [758.0, 1048.0, 514.0, 36.0], QozDQFmAW5, 5683612]
[paragraph, [758.0, 1084.0, 514.0, 36.0], QozDQFmAW5, 5683612]
[paragraph, [758.0, 1120.0, 514.0, 36.0], QozDQFmAW5, 5683612]
[paragraph, [169.0, 941.0, 501.0, 36.0], hLufNP4R9K, 5683612]
[paragraph, [169.0, 977.0, 501.0, 36.0], hLufNP4R9K, 5683612]
[paragraph, [169.0, 1013.0, 501.0, 36.0], hLufNP4R9K, 5683612]
[paragraph, [169.0, 1049.0, 501.0, 36.0], hLufNP4R9K, 5683612]
[paragraph, [169.0, 1085.0, 501.0, 36.0], hLufNP4R9K, 5683612]
[paragraph, [169.0, 1121.0, 501.0, 36.0], hLufNP4R9K, 5683612]
[paragraph, [169.0, 1157.0, 501.0, 36.0], hLufNP4R9K, 5683612]
[author, [1041.0, 1196.0, 233.0, 36.0], WvsDwRTdPH, 5683612]
[section-title, [278.0, 1285.0, 212.0, 49.5], sCe9al7J1F, 5683612]
[section-title, [901.0, 1299.0, 218.0, 49.5], hgdxNo_wtT, 5683612]
[paragraph, [200.0, 1357.0, 444.0, 36.0], u_-hWu6RJv, 5683612]
[paragraph, [200.0, 1393.0, 444.0, 36.0], u_-hWu6RJv, 5683612]
[paragraph, [200.0, 1429.0, 444.0, 36.0], u_-hWu6RJv, 5683612]
[paragraph, [200.0, 1465.0, 444.0, 36.0], u_-hWu6RJv, 5683612]
[paragraph, [799.0, 1358.0, 413.0, 36.0], yKNLD9C4pb, 5683612]
[paragraph, [799.0, 1394.0, 413.0, 36.0], yKNLD9C4pb, 5683612]
[paragraph, [799.0, 1430.0, 413.0, 36.0], yKNLD9C4pb, 5683612]
[paragraph, [799.0, 1466.0, 413.0, 36.0], yKNLD9C4pb, 5683612]
[paragraph, [799.0, 1502.0, 413.0, 36.0], yKNLD9C4pb, 5683612]
[paragraph, [799.0, 1538.0, 413.0, 36.0], yKNLD9C4pb, 5683612]
[paragraph, [799.0, 1574.0, 413.0, 36.0], yKNLD9C4pb, 5683612]
[author, [575.0, 1533.0, 111.0, 36.0], UuuKQfe2eg, 5683612]
[author, [1169.0, 1625.0, 102.0, 36.0], 7MuYORMqvG, 5683612]
[footnote, [123.0, 1673.0, 738.0, 36.0], C66AXchNPO, 5683612]
