[2200, 1700]
[paragraph, [356.0, 61.0, 1094.0, 36.0], shoonya_6sCXR8WNX05IM8, 5731683]
[paragraph, [356.0, 97.0, 1094.0, 36.0], shoonya_6sCXR8WNX05IM8, 5731683]
[paragraph, [356.0, 133.0, 1094.0, 36.0], shoonya_6sCXR8WNX05IM8, 5731683]
[paragraph, [356.0, 169.0, 1094.0, 36.0], shoonya_6sCXR8WNX05IM8, 5731683]
[paragraph, [356.0, 205.0, 1094.0, 36.0], shoonya_6sCXR8WNX05IM8, 5731683]
[paragraph, [356.0, 241.0, 1094.0, 36.0], shoonya_6sCXR8WNX05IM8, 5731683]
[paragraph, [356.0, 277.0, 1094.0, 36.0], shoonya_6sCXR8WNX05IM8, 5731683]
[ordered-list, [335.0, 353.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 389.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 425.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 461.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 497.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 533.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 569.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 605.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 641.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 677.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 713.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 749.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 785.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 821.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 857.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 893.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 929.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 965.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 1001.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 1037.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 1073.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 1109.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 1145.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 1181.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 1217.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 1253.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 1289.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 1325.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 1361.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 1397.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 1433.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 1469.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 1505.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 1541.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 1577.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 1613.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 1649.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 1685.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 1721.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 1757.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 1793.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 1829.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 1865.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[ordered-list, [335.0, 1901.0, 1117.0, 36.0], shoonya_0sGRBGAEDLXSTU, 5731683]
[folio, [352.0, 2021.0, 365.0, 36.0], 9hAvzD08__, 5731683]
