[1518, 1075]
[folio, [447.0, 112.0, 77.0, 36.0], XsZ5G2bwiI, 5722385]
[paragraph, [85.0, 172.0, 436.0, 36.0], shoonya_1s2KAVKBYY2MRM, 5722385]
[paragraph, [85.0, 208.0, 436.0, 36.0], shoonya_1s2KAVKBYY2MRM, 5722385]
[paragraph, [85.0, 244.0, 436.0, 36.0], shoonya_1s2KAVKBYY2MRM, 5722385]
[paragraph, [85.0, 280.0, 436.0, 36.0], shoonya_1s2KAVKBYY2MRM, 5722385]
[paragraph, [85.0, 316.0, 436.0, 36.0], shoonya_1s2KAVKBYY2MRM, 5722385]
[paragraph, [85.0, 352.0, 436.0, 36.0], shoonya_1s2KAVKBYY2MRM, 5722385]
[paragraph, [85.0, 388.0, 436.0, 36.0], shoonya_1s2KAVKBYY2MRM, 5722385]
[paragraph, [85.0, 424.0, 436.0, 36.0], shoonya_1s2KAVKBYY2MRM, 5722385]
[paragraph, [85.0, 460.0, 436.0, 36.0], shoonya_1s2KAVKBYY2MRM, 5722385]
[paragraph, [85.0, 496.0, 436.0, 36.0], shoonya_1s2KAVKBYY2MRM, 5722385]
[paragraph, [85.0, 532.0, 436.0, 36.0], shoonya_1s2KAVKBYY2MRM, 5722385]
[paragraph, [85.0, 568.0, 436.0, 36.0], shoonya_1s2KAVKBYY2MRM, 5722385]
[paragraph, [85.0, 604.0, 436.0, 36.0], shoonya_1s2KAVKBYY2MRM, 5722385]
[paragraph, [85.0, 640.0, 436.0, 36.0], shoonya_1s2KAVKBYY2MRM, 5722385]
[paragraph, [85.0, 676.0, 436.0, 36.0], shoonya_1s2KAVKBYY2MRM, 5722385]
[paragraph, [85.0, 712.0, 436.0, 36.0], shoonya_1s2KAVKBYY2MRM, 5722385]
[paragraph, [85.0, 748.0, 436.0, 36.0], shoonya_1s2KAVKBYY2MRM, 5722385]
[paragraph, [85.0, 784.0, 436.0, 36.0], shoonya_1s2KAVKBYY2MRM, 5722385]
[paragraph, [85.0, 820.0, 436.0, 36.0], shoonya_1s2KAVKBYY2MRM, 5722385]
[paragraph, [85.0, 856.0, 436.0, 36.0], shoonya_1s2KAVKBYY2MRM, 5722385]
[paragraph, [85.0, 892.0, 436.0, 36.0], shoonya_1s2KAVKBYY2MRM, 5722385]
[paragraph, [85.0, 928.0, 436.0, 36.0], shoonya_1s2KAVKBYY2MRM, 5722385]
[paragraph, [85.0, 964.0, 436.0, 36.0], shoonya_1s2KAVKBYY2MRM, 5722385]
[paragraph, [85.0, 1000.0, 436.0, 36.0], shoonya_1s2KAVKBYY2MRM, 5722385]
[paragraph, [85.0, 1036.0, 436.0, 36.0], shoonya_1s2KAVKBYY2MRM, 5722385]
[paragraph, [85.0, 1072.0, 436.0, 36.0], shoonya_1s2KAVKBYY2MRM, 5722385]
[paragraph, [85.0, 1108.0, 436.0, 36.0], shoonya_1s2KAVKBYY2MRM, 5722385]
[paragraph, [85.0, 1144.0, 436.0, 36.0], shoonya_1s2KAVKBYY2MRM, 5722385]
[paragraph, [85.0, 1180.0, 436.0, 36.0], shoonya_1s2KAVKBYY2MRM, 5722385]
[paragraph, [536.0, 208.0, 426.0, 36.0], shoonya_4sIXVWWVTIQRHV, 5722385]
[paragraph, [536.0, 244.0, 426.0, 36.0], shoonya_4sIXVWWVTIQRHV, 5722385]
[paragraph, [536.0, 280.0, 426.0, 36.0], shoonya_4sIXVWWVTIQRHV, 5722385]
[paragraph, [536.0, 316.0, 426.0, 36.0], shoonya_4sIXVWWVTIQRHV, 5722385]
[paragraph, [536.0, 352.0, 426.0, 36.0], shoonya_4sIXVWWVTIQRHV, 5722385]
[paragraph, [533.0, 423.0, 430.0, 36.0], shoonya_0sQLNZUMBLSU3P, 5722385]
[paragraph, [533.0, 459.0, 430.0, 36.0], shoonya_0sQLNZUMBLSU3P, 5722385]
[paragraph, [533.0, 495.0, 430.0, 36.0], shoonya_0sQLNZUMBLSU3P, 5722385]
[paragraph, [533.0, 531.0, 430.0, 36.0], shoonya_0sQLNZUMBLSU3P, 5722385]
[paragraph, [533.0, 567.0, 430.0, 36.0], shoonya_0sQLNZUMBLSU3P, 5722385]
[paragraph, [533.0, 603.0, 430.0, 36.0], shoonya_0sQLNZUMBLSU3P, 5722385]
[paragraph, [533.0, 639.0, 430.0, 36.0], shoonya_0sQLNZUMBLSU3P, 5722385]
[paragraph, [533.0, 675.0, 430.0, 36.0], shoonya_0sQLNZUMBLSU3P, 5722385]
[paragraph, [533.0, 711.0, 430.0, 36.0], shoonya_0sQLNZUMBLSU3P, 5722385]
[paragraph, [533.0, 747.0, 430.0, 36.0], shoonya_0sQLNZUMBLSU3P, 5722385]
[paragraph, [533.0, 783.0, 430.0, 36.0], shoonya_0sQLNZUMBLSU3P, 5722385]
[paragraph, [533.0, 819.0, 430.0, 36.0], shoonya_0sQLNZUMBLSU3P, 5722385]
[paragraph, [533.0, 855.0, 430.0, 36.0], shoonya_0sQLNZUMBLSU3P, 5722385]
[paragraph, [533.0, 891.0, 430.0, 36.0], shoonya_0sQLNZUMBLSU3P, 5722385]
[paragraph, [533.0, 927.0, 430.0, 36.0], shoonya_0sQLNZUMBLSU3P, 5722385]
[paragraph, [533.0, 963.0, 430.0, 36.0], shoonya_0sQLNZUMBLSU3P, 5722385]
[paragraph, [533.0, 999.0, 430.0, 36.0], shoonya_0sQLNZUMBLSU3P, 5722385]
[paragraph, [533.0, 1035.0, 430.0, 36.0], shoonya_0sQLNZUMBLSU3P, 5722385]
[paragraph, [531.0, 1092.0, 432.0, 36.0], shoonya_2sVRH09L8QJFKB, 5722385]
[paragraph, [531.0, 1128.0, 432.0, 36.0], shoonya_2sVRH09L8QJFKB, 5722385]
[paragraph, [531.0, 1164.0, 432.0, 36.0], shoonya_2sVRH09L8QJFKB, 5722385]
[paragraph, [531.0, 1200.0, 432.0, 36.0], shoonya_2sVRH09L8QJFKB, 5722385]
[paragraph, [531.0, 1236.0, 432.0, 36.0], shoonya_2sVRH09L8QJFKB, 5722385]
[paragraph, [531.0, 1272.0, 432.0, 36.0], shoonya_2sVRH09L8QJFKB, 5722385]
