[2200, 1700]
[paragraph, [372.0, 113.0, 1135.0, 36.0], shoonya_0sQPN6V9OYLN1Q, 5733885]
[paragraph, [372.0, 149.0, 1135.0, 36.0], shoonya_0sQPN6V9OYLN1Q, 5733885]
[paragraph, [372.0, 185.0, 1135.0, 36.0], shoonya_0sQPN6V9OYLN1Q, 5733885]
[paragraph, [372.0, 221.0, 1135.0, 36.0], shoonya_0sQPN6V9OYLN1Q, 5733885]
[paragraph, [372.0, 257.0, 1135.0, 36.0], shoonya_0sQPN6V9OYLN1Q, 5733885]
[paragraph, [372.0, 293.0, 1135.0, 36.0], shoonya_0sQPN6V9OYLN1Q, 5733885]
[paragraph, [372.0, 329.0, 1135.0, 36.0], shoonya_0sQPN6V9OYLN1Q, 5733885]
[paragraph, [372.0, 365.0, 1135.0, 36.0], shoonya_0sQPN6V9OYLN1Q, 5733885]
[paragraph, [372.0, 401.0, 1135.0, 36.0], shoonya_0sQPN6V9OYLN1Q, 5733885]
[paragraph, [372.0, 437.0, 1135.0, 36.0], shoonya_0sQPN6V9OYLN1Q, 5733885]
[paragraph, [372.0, 473.0, 1135.0, 36.0], shoonya_0sQPN6V9OYLN1Q, 5733885]
[paragraph, [372.0, 509.0, 1135.0, 36.0], shoonya_0sQPN6V9OYLN1Q, 5733885]
[paragraph, [372.0, 545.0, 1135.0, 36.0], shoonya_0sQPN6V9OYLN1Q, 5733885]
[paragraph, [372.0, 581.0, 1135.0, 36.0], shoonya_0sQPN6V9OYLN1Q, 5733885]
[paragraph, [372.0, 617.0, 1135.0, 36.0], shoonya_0sQPN6V9OYLN1Q, 5733885]
[paragraph, [372.0, 653.0, 1135.0, 36.0], shoonya_0sQPN6V9OYLN1Q, 5733885]
[paragraph, [372.0, 689.0, 1135.0, 36.0], shoonya_0sQPN6V9OYLN1Q, 5733885]
[paragraph, [371.0, 748.0, 1133.0, 36.0], shoonya_3sC5L79SOYPO4Z, 5733885]
[paragraph, [371.0, 784.0, 1133.0, 36.0], shoonya_3sC5L79SOYPO4Z, 5733885]
[paragraph, [371.0, 820.0, 1133.0, 36.0], shoonya_3sC5L79SOYPO4Z, 5733885]
[paragraph, [371.0, 856.0, 1133.0, 36.0], shoonya_3sC5L79SOYPO4Z, 5733885]
[paragraph, [371.0, 892.0, 1133.0, 36.0], shoonya_3sC5L79SOYPO4Z, 5733885]
[paragraph, [371.0, 928.0, 1133.0, 36.0], shoonya_3sC5L79SOYPO4Z, 5733885]
[paragraph, [371.0, 964.0, 1133.0, 36.0], shoonya_3sC5L79SOYPO4Z, 5733885]
[paragraph, [371.0, 1000.0, 1133.0, 36.0], shoonya_3sC5L79SOYPO4Z, 5733885]
[paragraph, [371.0, 1036.0, 1133.0, 36.0], shoonya_3sC5L79SOYPO4Z, 5733885]
[paragraph, [371.0, 1072.0, 1133.0, 36.0], shoonya_3sC5L79SOYPO4Z, 5733885]
[paragraph, [371.0, 1108.0, 1133.0, 36.0], shoonya_3sC5L79SOYPO4Z, 5733885]
[paragraph, [371.0, 1144.0, 1133.0, 36.0], shoonya_3sC5L79SOYPO4Z, 5733885]
[paragraph, [371.0, 1180.0, 1133.0, 36.0], shoonya_3sC5L79SOYPO4Z, 5733885]
[paragraph, [371.0, 1216.0, 1133.0, 36.0], shoonya_3sC5L79SOYPO4Z, 5733885]
[paragraph, [371.0, 1252.0, 1133.0, 36.0], shoonya_3sC5L79SOYPO4Z, 5733885]
[paragraph, [371.0, 1288.0, 1133.0, 36.0], shoonya_3sC5L79SOYPO4Z, 5733885]
[paragraph, [371.0, 1324.0, 1133.0, 36.0], shoonya_3sC5L79SOYPO4Z, 5733885]
[paragraph, [371.0, 1360.0, 1133.0, 36.0], shoonya_3sC5L79SOYPO4Z, 5733885]
[paragraph, [371.0, 1396.0, 1133.0, 36.0], shoonya_3sC5L79SOYPO4Z, 5733885]
[paragraph, [371.0, 1432.0, 1133.0, 36.0], shoonya_3sC5L79SOYPO4Z, 5733885]
[paragraph, [371.0, 1468.0, 1133.0, 36.0], shoonya_3sC5L79SOYPO4Z, 5733885]
[paragraph, [371.0, 1504.0, 1133.0, 36.0], shoonya_3sC5L79SOYPO4Z, 5733885]
[paragraph, [371.0, 1540.0, 1133.0, 36.0], shoonya_3sC5L79SOYPO4Z, 5733885]
[paragraph, [371.0, 1576.0, 1133.0, 36.0], shoonya_3sC5L79SOYPO4Z, 5733885]
[paragraph, [371.0, 1612.0, 1133.0, 36.0], shoonya_3sC5L79SOYPO4Z, 5733885]
[paragraph, [371.0, 1648.0, 1133.0, 36.0], shoonya_3sC5L79SOYPO4Z, 5733885]
[paragraph, [371.0, 1684.0, 1133.0, 36.0], shoonya_3sC5L79SOYPO4Z, 5733885]
[paragraph, [373.0, 1770.0, 1133.0, 36.0], shoonya_2s0LMYI9UKEOSX, 5733885]
[paragraph, [373.0, 1806.0, 1133.0, 36.0], shoonya_2s0LMYI9UKEOSX, 5733885]
[paragraph, [373.0, 1842.0, 1133.0, 36.0], shoonya_2s0LMYI9UKEOSX, 5733885]
[paragraph, [373.0, 1878.0, 1133.0, 36.0], shoonya_2s0LMYI9UKEOSX, 5733885]
[paragraph, [373.0, 1914.0, 1133.0, 36.0], shoonya_2s0LMYI9UKEOSX, 5733885]
[paragraph, [373.0, 1950.0, 1133.0, 36.0], shoonya_2s0LMYI9UKEOSX, 5733885]
[paragraph, [373.0, 1986.0, 1133.0, 36.0], shoonya_2s0LMYI9UKEOSX, 5733885]
