[581, 402]
[section-title, [142.0, 85.0, 109.0, 30.0], apdJBCptBS, 6496374]
[paragraph, [39.0, 136.0, 320.0, 18.0], shoonya_0s3S2RO3WU596E, 6496374]
[paragraph, [39.0, 154.0, 320.0, 18.0], shoonya_0s3S2RO3WU596E, 6496374]
[paragraph, [39.0, 172.0, 320.0, 18.0], shoonya_0s3S2RO3WU596E, 6496374]
[paragraph, [39.0, 190.0, 320.0, 18.0], shoonya_0s3S2RO3WU596E, 6496374]
[paragraph, [39.0, 208.0, 320.0, 18.0], shoonya_0s3S2RO3WU596E, 6496374]
[paragraph, [39.0, 226.0, 320.0, 18.0], shoonya_0s3S2RO3WU596E, 6496374]
[paragraph, [39.0, 244.0, 320.0, 18.0], shoonya_0s3S2RO3WU596E, 6496374]
[paragraph, [36.0, 265.0, 320.0, 18.0], dM_NERewmV, 6496374]
[paragraph, [36.0, 283.0, 320.0, 18.0], dM_NERewmV, 6496374]
[paragraph, [36.0, 301.0, 320.0, 18.0], dM_NERewmV, 6496374]
[paragraph, [36.0, 319.0, 320.0, 18.0], dM_NERewmV, 6496374]
[paragraph, [36.0, 337.0, 320.0, 18.0], dM_NERewmV, 6496374]
[paragraph, [36.0, 355.0, 320.0, 18.0], dM_NERewmV, 6496374]
[paragraph, [36.0, 373.0, 320.0, 18.0], dM_NERewmV, 6496374]
[paragraph, [36.0, 391.0, 320.0, 18.0], dM_NERewmV, 6496374]
[paragraph, [36.0, 409.0, 320.0, 18.0], dM_NERewmV, 6496374]
[paragraph, [36.0, 427.0, 320.0, 18.0], dM_NERewmV, 6496374]
[paragraph, [36.0, 445.0, 320.0, 18.0], dM_NERewmV, 6496374]
[paragraph, [36.0, 463.0, 320.0, 18.0], dM_NERewmV, 6496374]
[paragraph, [36.0, 481.0, 320.0, 18.0], dM_NERewmV, 6496374]
[paragraph, [36.0, 499.0, 320.0, 18.0], dM_NERewmV, 6496374]
