[567, 439]
[chapter-title, [49.0, 40.0, 213.0, 30.0], shoonya_0sOPGJ3U1FWU1K, 6460518]
[paragraph, [36.0, 277.0, 369.0, 18.0], w408V0SrS4, 6460518]
[paragraph, [36.0, 295.0, 369.0, 18.0], w408V0SrS4, 6460518]
[paragraph, [36.0, 313.0, 369.0, 18.0], w408V0SrS4, 6460518]
[paragraph, [33.0, 340.0, 186.0, 18.0], brdV5GZ64v, 6460518]
[paragraph, [33.0, 358.0, 186.0, 18.0], brdV5GZ64v, 6460518]
[paragraph, [33.0, 376.0, 186.0, 18.0], brdV5GZ64v, 6460518]
[paragraph, [33.0, 394.0, 186.0, 18.0], brdV5GZ64v, 6460518]
[paragraph, [33.0, 412.0, 186.0, 18.0], brdV5GZ64v, 6460518]
[paragraph, [33.0, 430.0, 186.0, 18.0], brdV5GZ64v, 6460518]
[paragraph, [33.0, 448.0, 186.0, 18.0], brdV5GZ64v, 6460518]
[paragraph, [33.0, 466.0, 186.0, 18.0], brdV5GZ64v, 6460518]
[paragraph, [33.0, 484.0, 186.0, 18.0], brdV5GZ64v, 6460518]
[paragraph, [221.0, 340.0, 185.0, 18.0], Q1HMyy09J3, 6460518]
[paragraph, [221.0, 358.0, 185.0, 18.0], Q1HMyy09J3, 6460518]
[paragraph, [221.0, 377.0, 191.0, 18.0], ThH3C1c44D, 6460518]
[paragraph, [221.0, 395.0, 191.0, 18.0], ThH3C1c44D, 6460518]
[paragraph, [221.0, 413.0, 191.0, 18.0], ThH3C1c44D, 6460518]
[paragraph, [221.0, 431.0, 191.0, 18.0], ThH3C1c44D, 6460518]
[paragraph, [224.0, 453.0, 188.0, 18.0], rJ7E6tEg8p, 6460518]
[paragraph, [224.0, 471.0, 188.0, 18.0], rJ7E6tEg8p, 6460518]
[paragraph, [224.0, 489.0, 188.0, 18.0], rJ7E6tEg8p, 6460518]
[footnote, [185.0, 512.0, 74.0, 18.0], vI7iwahSnk, 6460518]
