[1951, 1219]
[folio, [233.0, 123.0, 211.0, 36.0], mk0kOqVfLG, 5683201]
[paragraph, [120.0, 207.0, 967.0, 36.0], 7zt-MLIHqX, 5683201]
[paragraph, [120.0, 243.0, 967.0, 36.0], 7zt-MLIHqX, 5683201]
[paragraph, [120.0, 279.0, 967.0, 36.0], 7zt-MLIHqX, 5683201]
[paragraph, [120.0, 315.0, 967.0, 36.0], 7zt-MLIHqX, 5683201]
[paragraph, [120.0, 385.0, 963.0, 36.0], MThQqJA6Sj, 5683201]
[paragraph, [120.0, 421.0, 963.0, 36.0], MThQqJA6Sj, 5683201]
[paragraph, [123.0, 502.0, 972.0, 36.0], whyWHRX6X6, 5683201]
[paragraph, [123.0, 538.0, 972.0, 36.0], whyWHRX6X6, 5683201]
[paragraph, [123.0, 574.0, 972.0, 36.0], whyWHRX6X6, 5683201]
[paragraph, [123.0, 610.0, 972.0, 36.0], whyWHRX6X6, 5683201]
[paragraph, [123.0, 646.0, 972.0, 36.0], whyWHRX6X6, 5683201]
[paragraph, [123.0, 682.0, 972.0, 36.0], whyWHRX6X6, 5683201]
[paragraph, [123.0, 718.0, 972.0, 36.0], whyWHRX6X6, 5683201]
[paragraph, [123.0, 754.0, 972.0, 36.0], whyWHRX6X6, 5683201]
[paragraph, [123.0, 790.0, 972.0, 36.0], whyWHRX6X6, 5683201]
[paragraph, [123.0, 826.0, 972.0, 36.0], whyWHRX6X6, 5683201]
[paragraph, [123.0, 862.0, 972.0, 36.0], whyWHRX6X6, 5683201]
[paragraph, [123.0, 898.0, 972.0, 36.0], whyWHRX6X6, 5683201]
[paragraph, [123.0, 934.0, 972.0, 36.0], whyWHRX6X6, 5683201]
[paragraph, [123.0, 970.0, 972.0, 36.0], whyWHRX6X6, 5683201]
[paragraph, [123.0, 1006.0, 972.0, 36.0], whyWHRX6X6, 5683201]
[paragraph, [127.0, 1079.0, 966.0, 36.0], hIEKY1L3FA, 5683201]
[paragraph, [127.0, 1115.0, 966.0, 36.0], hIEKY1L3FA, 5683201]
[paragraph, [208.0, 1190.0, 879.0, 36.0], IcIhre6Ge2, 5683201]
[paragraph, [131.0, 1254.0, 964.0, 36.0], wnnGK9A5WT, 5683201]
[paragraph, [131.0, 1290.0, 964.0, 36.0], wnnGK9A5WT, 5683201]
[paragraph, [131.0, 1370.0, 964.0, 36.0], XtOtELujiz, 5683201]
[paragraph, [131.0, 1406.0, 964.0, 36.0], XtOtELujiz, 5683201]
[paragraph, [131.0, 1442.0, 964.0, 36.0], XtOtELujiz, 5683201]
[paragraph, [131.0, 1478.0, 964.0, 36.0], XtOtELujiz, 5683201]
[paragraph, [131.0, 1540.0, 966.0, 36.0], IzljU9xAOq, 5683201]
[paragraph, [131.0, 1576.0, 966.0, 36.0], IzljU9xAOq, 5683201]
[paragraph, [131.0, 1612.0, 966.0, 36.0], IzljU9xAOq, 5683201]
[paragraph, [131.0, 1648.0, 966.0, 36.0], IzljU9xAOq, 5683201]
[paragraph, [131.0, 1684.0, 966.0, 36.0], IzljU9xAOq, 5683201]
[paragraph, [131.0, 1720.0, 966.0, 36.0], IzljU9xAOq, 5683201]
[paragraph, [208.0, 1784.0, 886.0, 36.0], 0JRBg44QHi, 5683201]
