[1250, 888]
[chapter-title, [255.0, 20.0, 292.0, 30.0], shoonya_0sTS29499DWR2I, 5776094]
[paragraph, [59.0, 72.0, 653.0, 18.0], LxajleQJMx, 5776094]
[paragraph, [59.0, 90.0, 653.0, 18.0], LxajleQJMx, 5776094]
[paragraph, [59.0, 108.0, 653.0, 18.0], LxajleQJMx, 5776094]
[paragraph, [59.0, 126.0, 653.0, 18.0], LxajleQJMx, 5776094]
[paragraph, [59.0, 144.0, 653.0, 18.0], LxajleQJMx, 5776094]
[paragraph, [59.0, 162.0, 653.0, 18.0], LxajleQJMx, 5776094]
[paragraph, [59.0, 180.0, 653.0, 18.0], LxajleQJMx, 5776094]
[paragraph, [59.0, 198.0, 653.0, 18.0], LxajleQJMx, 5776094]
[paragraph, [59.0, 216.0, 653.0, 18.0], LxajleQJMx, 5776094]
[paragraph, [58.0, 250.0, 656.0, 18.0], p9xwpeVqVY, 5776094]
[paragraph, [58.0, 268.0, 656.0, 18.0], p9xwpeVqVY, 5776094]
[paragraph, [58.0, 286.0, 656.0, 18.0], p9xwpeVqVY, 5776094]
[paragraph, [58.0, 304.0, 656.0, 18.0], p9xwpeVqVY, 5776094]
[paragraph, [58.0, 322.0, 656.0, 18.0], p9xwpeVqVY, 5776094]
[paragraph, [54.0, 350.0, 662.0, 18.0], wwOP-Lbwcb, 5776094]
[paragraph, [54.0, 368.0, 662.0, 18.0], wwOP-Lbwcb, 5776094]
[paragraph, [54.0, 386.0, 662.0, 18.0], wwOP-Lbwcb, 5776094]
[paragraph, [54.0, 404.0, 662.0, 18.0], wwOP-Lbwcb, 5776094]
[paragraph, [54.0, 427.0, 665.0, 18.0], kRayZlYdH6, 5776094]
[paragraph, [54.0, 445.0, 665.0, 18.0], kRayZlYdH6, 5776094]
[paragraph, [54.0, 463.0, 665.0, 18.0], kRayZlYdH6, 5776094]
[paragraph, [54.0, 481.0, 665.0, 18.0], kRayZlYdH6, 5776094]
[paragraph, [54.0, 499.0, 665.0, 18.0], kRayZlYdH6, 5776094]
[paragraph, [54.0, 517.0, 665.0, 18.0], kRayZlYdH6, 5776094]
[paragraph, [54.0, 535.0, 665.0, 18.0], kRayZlYdH6, 5776094]
[jumpline, [330.0, 574.0, 205.0, 18.0], IkAxFzPkdI, 5776094]
[jumpline, [330.0, 592.0, 205.0, 18.0], IkAxFzPkdI, 5776094]
[jumpline, [330.0, 610.0, 205.0, 18.0], IkAxFzPkdI, 5776094]
[paragraph, [64.0, 650.0, 665.0, 18.0], Fy833gDBdg, 5776094]
[paragraph, [64.0, 668.0, 665.0, 18.0], Fy833gDBdg, 5776094]
[paragraph, [64.0, 686.0, 665.0, 18.0], Fy833gDBdg, 5776094]
[paragraph, [64.0, 704.0, 665.0, 18.0], Fy833gDBdg, 5776094]
[paragraph, [64.0, 722.0, 665.0, 18.0], Fy833gDBdg, 5776094]
[paragraph, [64.0, 740.0, 665.0, 18.0], Fy833gDBdg, 5776094]
[paragraph, [64.0, 758.0, 665.0, 18.0], Fy833gDBdg, 5776094]
[paragraph, [64.0, 776.0, 665.0, 18.0], Fy833gDBdg, 5776094]
[paragraph, [64.0, 794.0, 665.0, 18.0], Fy833gDBdg, 5776094]
[paragraph, [64.0, 812.0, 665.0, 18.0], Fy833gDBdg, 5776094]
[paragraph, [64.0, 830.0, 665.0, 18.0], Fy833gDBdg, 5776094]
[paragraph, [64.0, 848.0, 665.0, 18.0], Fy833gDBdg, 5776094]
[paragraph, [64.0, 866.0, 665.0, 18.0], Fy833gDBdg, 5776094]
[paragraph, [64.0, 884.0, 665.0, 18.0], Fy833gDBdg, 5776094]
[paragraph, [64.0, 902.0, 665.0, 18.0], Fy833gDBdg, 5776094]
[paragraph, [64.0, 920.0, 665.0, 18.0], Fy833gDBdg, 5776094]
[paragraph, [64.0, 938.0, 665.0, 18.0], Fy833gDBdg, 5776094]
[paragraph, [64.0, 956.0, 665.0, 18.0], Fy833gDBdg, 5776094]
[paragraph, [64.0, 974.0, 665.0, 18.0], Fy833gDBdg, 5776094]
[paragraph, [64.0, 992.0, 665.0, 18.0], Fy833gDBdg, 5776094]
[paragraph, [64.0, 1010.0, 665.0, 18.0], Fy833gDBdg, 5776094]
[paragraph, [64.0, 1028.0, 665.0, 18.0], Fy833gDBdg, 5776094]
[paragraph, [64.0, 1046.0, 665.0, 18.0], Fy833gDBdg, 5776094]
[paragraph, [64.0, 1064.0, 665.0, 18.0], Fy833gDBdg, 5776094]
