[596, 480]
[chapter-title, [193.0, 51.0, 117.0, 30.0], H4FgDyy25j, 6494145]
[headline, [109.0, 94.0, 275.0, 25.5], sSVv_OQ7x2, 6494145]
[headline, [109.0, 119.5, 275.0, 25.5], sSVv_OQ7x2, 6494145]
[headline, [109.0, 145.0, 275.0, 25.5], sSVv_OQ7x2, 6494145]
[paragraph, [87.0, 234.0, 323.0, 18.0], shoonya_0s05UIPJRQ1YGG, 6494145]
[paragraph, [87.0, 252.0, 323.0, 18.0], shoonya_0s05UIPJRQ1YGG, 6494145]
[paragraph, [87.0, 270.0, 323.0, 18.0], shoonya_0s05UIPJRQ1YGG, 6494145]
[paragraph, [87.0, 288.0, 323.0, 18.0], shoonya_0s05UIPJRQ1YGG, 6494145]
[paragraph, [87.0, 306.0, 323.0, 18.0], shoonya_0s05UIPJRQ1YGG, 6494145]
[paragraph, [87.0, 324.0, 323.0, 18.0], shoonya_0s05UIPJRQ1YGG, 6494145]
[paragraph, [87.0, 342.0, 323.0, 18.0], shoonya_0s05UIPJRQ1YGG, 6494145]
[paragraph, [87.0, 360.0, 323.0, 18.0], shoonya_0s05UIPJRQ1YGG, 6494145]
[paragraph, [87.0, 378.0, 323.0, 18.0], shoonya_0s05UIPJRQ1YGG, 6494145]
[paragraph, [87.0, 396.0, 323.0, 18.0], shoonya_0s05UIPJRQ1YGG, 6494145]
[paragraph, [87.0, 414.0, 323.0, 18.0], shoonya_0s05UIPJRQ1YGG, 6494145]
[paragraph, [87.0, 432.0, 323.0, 18.0], shoonya_0s05UIPJRQ1YGG, 6494145]
[paragraph, [87.0, 450.0, 323.0, 18.0], shoonya_0s05UIPJRQ1YGG, 6494145]
[paragraph, [114.0, 482.0, 273.0, 18.0], UUpUA7iD2m, 6494145]
[paragraph, [114.0, 500.0, 273.0, 18.0], UUpUA7iD2m, 6494145]
[paragraph, [114.0, 518.0, 273.0, 18.0], UUpUA7iD2m, 6494145]
