[1987, 1270]
[folio, [584.0, 125.0, 118.0, 36.0], shoonya_4sKJ07I4KCA8LF, 5682927]
[paragraph, [140.0, 189.0, 1003.0, 36.0], shoonya_0s4TZJZZJ8X8IR, 5682927]
[paragraph, [140.0, 225.0, 1003.0, 36.0], shoonya_0s4TZJZZJ8X8IR, 5682927]
[paragraph, [140.0, 261.0, 1003.0, 36.0], shoonya_0s4TZJZZJ8X8IR, 5682927]
[paragraph, [140.0, 297.0, 1003.0, 36.0], shoonya_0s4TZJZZJ8X8IR, 5682927]
[paragraph, [140.0, 333.0, 1003.0, 36.0], shoonya_0s4TZJZZJ8X8IR, 5682927]
[paragraph, [140.0, 369.0, 1003.0, 36.0], shoonya_0s4TZJZZJ8X8IR, 5682927]
[paragraph, [140.0, 405.0, 1003.0, 36.0], shoonya_0s4TZJZZJ8X8IR, 5682927]
[paragraph, [140.0, 441.0, 1003.0, 36.0], shoonya_0s4TZJZZJ8X8IR, 5682927]
[paragraph, [139.0, 508.0, 1005.0, 36.0], bin8vSONKQ, 5682927]
[paragraph, [139.0, 544.0, 1005.0, 36.0], bin8vSONKQ, 5682927]
[paragraph, [139.0, 580.0, 1005.0, 36.0], bin8vSONKQ, 5682927]
[paragraph, [139.0, 616.0, 1005.0, 36.0], bin8vSONKQ, 5682927]
[paragraph, [139.0, 652.0, 1005.0, 36.0], bin8vSONKQ, 5682927]
[paragraph, [139.0, 688.0, 1005.0, 36.0], bin8vSONKQ, 5682927]
[paragraph, [139.0, 724.0, 1005.0, 36.0], bin8vSONKQ, 5682927]
[paragraph, [139.0, 760.0, 1005.0, 36.0], bin8vSONKQ, 5682927]
[paragraph, [139.0, 796.0, 1005.0, 36.0], bin8vSONKQ, 5682927]
[paragraph, [139.0, 832.0, 1005.0, 36.0], bin8vSONKQ, 5682927]
[paragraph, [139.0, 868.0, 1005.0, 36.0], bin8vSONKQ, 5682927]
[paragraph, [139.0, 904.0, 1005.0, 36.0], bin8vSONKQ, 5682927]
[paragraph, [139.0, 940.0, 1005.0, 36.0], bin8vSONKQ, 5682927]
[paragraph, [139.0, 976.0, 1005.0, 36.0], bin8vSONKQ, 5682927]
[paragraph, [140.0, 1034.0, 1002.0, 36.0], shoonya_3sVKB9KN8ZFP92, 5682927]
[paragraph, [140.0, 1070.0, 1002.0, 36.0], shoonya_3sVKB9KN8ZFP92, 5682927]
[paragraph, [140.0, 1106.0, 1002.0, 36.0], shoonya_3sVKB9KN8ZFP92, 5682927]
[paragraph, [140.0, 1142.0, 1002.0, 36.0], shoonya_3sVKB9KN8ZFP92, 5682927]
[paragraph, [142.0, 1188.0, 1000.0, 36.0], WwneR-W899, 5682927]
[paragraph, [142.0, 1224.0, 1000.0, 36.0], WwneR-W899, 5682927]
[paragraph, [142.0, 1260.0, 1000.0, 36.0], WwneR-W899, 5682927]
[paragraph, [142.0, 1296.0, 1000.0, 36.0], WwneR-W899, 5682927]
[paragraph, [142.0, 1332.0, 1000.0, 36.0], WwneR-W899, 5682927]
[paragraph, [142.0, 1368.0, 1000.0, 36.0], WwneR-W899, 5682927]
[paragraph, [142.0, 1404.0, 1000.0, 36.0], WwneR-W899, 5682927]
[paragraph, [142.0, 1440.0, 1000.0, 36.0], WwneR-W899, 5682927]
[paragraph, [137.0, 1502.0, 1010.0, 36.0], shoonya_1sPESRAHQTPRXU, 5682927]
[paragraph, [137.0, 1538.0, 1010.0, 36.0], shoonya_1sPESRAHQTPRXU, 5682927]
[paragraph, [137.0, 1574.0, 1010.0, 36.0], shoonya_1sPESRAHQTPRXU, 5682927]
[paragraph, [137.0, 1610.0, 1010.0, 36.0], shoonya_1sPESRAHQTPRXU, 5682927]
[paragraph, [137.0, 1646.0, 1010.0, 36.0], shoonya_1sPESRAHQTPRXU, 5682927]
[paragraph, [137.0, 1682.0, 1010.0, 36.0], shoonya_1sPESRAHQTPRXU, 5682927]
[paragraph, [137.0, 1718.0, 1010.0, 36.0], shoonya_1sPESRAHQTPRXU, 5682927]
[paragraph, [137.0, 1754.0, 1010.0, 36.0], shoonya_1sPESRAHQTPRXU, 5682927]
[paragraph, [137.0, 1790.0, 1010.0, 36.0], shoonya_1sPESRAHQTPRXU, 5682927]
[paragraph, [137.0, 1826.0, 1010.0, 36.0], shoonya_1sPESRAHQTPRXU, 5682927]
