[842, 596]
[ordered-list, [65.0, 51.0, 469.0, 18.0], shoonya_1sCFPT0WB8UZOZ, 5707157]
[ordered-list, [65.0, 69.0, 469.0, 18.0], shoonya_1sCFPT0WB8UZOZ, 5707157]
[ordered-list, [65.0, 87.0, 469.0, 18.0], shoonya_1sCFPT0WB8UZOZ, 5707157]
[ordered-list, [65.0, 105.0, 469.0, 18.0], shoonya_1sCFPT0WB8UZOZ, 5707157]
[ordered-list, [65.0, 123.0, 469.0, 18.0], shoonya_1sCFPT0WB8UZOZ, 5707157]
[ordered-list, [65.0, 141.0, 469.0, 18.0], shoonya_1sCFPT0WB8UZOZ, 5707157]
[ordered-list, [65.0, 159.0, 469.0, 18.0], shoonya_1sCFPT0WB8UZOZ, 5707157]
[ordered-list, [65.0, 177.0, 469.0, 18.0], shoonya_1sCFPT0WB8UZOZ, 5707157]
[ordered-list, [65.0, 195.0, 469.0, 18.0], shoonya_1sCFPT0WB8UZOZ, 5707157]
[ordered-list, [65.0, 213.0, 469.0, 18.0], shoonya_1sCFPT0WB8UZOZ, 5707157]
[ordered-list, [65.0, 231.0, 469.0, 18.0], shoonya_1sCFPT0WB8UZOZ, 5707157]
[ordered-list, [65.0, 249.0, 469.0, 18.0], shoonya_1sCFPT0WB8UZOZ, 5707157]
[ordered-list, [65.0, 267.0, 469.0, 18.0], shoonya_1sCFPT0WB8UZOZ, 5707157]
[ordered-list, [65.0, 285.0, 469.0, 18.0], shoonya_1sCFPT0WB8UZOZ, 5707157]
[ordered-list, [65.0, 303.0, 469.0, 18.0], shoonya_1sCFPT0WB8UZOZ, 5707157]
[ordered-list, [65.0, 321.0, 469.0, 18.0], shoonya_1sCFPT0WB8UZOZ, 5707157]
[ordered-list, [65.0, 339.0, 469.0, 18.0], shoonya_1sCFPT0WB8UZOZ, 5707157]
[ordered-list, [65.0, 357.0, 469.0, 18.0], shoonya_1sCFPT0WB8UZOZ, 5707157]
[ordered-list, [65.0, 375.0, 469.0, 18.0], shoonya_1sCFPT0WB8UZOZ, 5707157]
[ordered-list, [65.0, 393.0, 469.0, 18.0], shoonya_1sCFPT0WB8UZOZ, 5707157]
[ordered-list, [65.0, 411.0, 469.0, 18.0], shoonya_1sCFPT0WB8UZOZ, 5707157]
[ordered-list, [65.0, 429.0, 469.0, 18.0], shoonya_1sCFPT0WB8UZOZ, 5707157]
[ordered-list, [65.0, 447.0, 469.0, 18.0], shoonya_1sCFPT0WB8UZOZ, 5707157]
[ordered-list, [65.0, 465.0, 469.0, 18.0], shoonya_1sCFPT0WB8UZOZ, 5707157]
[ordered-list, [65.0, 483.0, 469.0, 18.0], shoonya_1sCFPT0WB8UZOZ, 5707157]
[ordered-list, [65.0, 501.0, 469.0, 18.0], shoonya_1sCFPT0WB8UZOZ, 5707157]
[ordered-list, [65.0, 519.0, 469.0, 18.0], shoonya_1sCFPT0WB8UZOZ, 5707157]
[ordered-list, [65.0, 537.0, 469.0, 18.0], shoonya_1sCFPT0WB8UZOZ, 5707157]
[ordered-list, [65.0, 555.0, 469.0, 18.0], shoonya_1sCFPT0WB8UZOZ, 5707157]
[ordered-list, [65.0, 573.0, 469.0, 18.0], shoonya_1sCFPT0WB8UZOZ, 5707157]
[ordered-list, [65.0, 591.0, 469.0, 18.0], shoonya_1sCFPT0WB8UZOZ, 5707157]
[ordered-list, [65.0, 609.0, 469.0, 18.0], shoonya_1sCFPT0WB8UZOZ, 5707157]
[ordered-list, [65.0, 627.0, 469.0, 18.0], shoonya_1sCFPT0WB8UZOZ, 5707157]
[ordered-list, [65.0, 645.0, 469.0, 18.0], shoonya_1sCFPT0WB8UZOZ, 5707157]
[ordered-list, [65.0, 663.0, 469.0, 18.0], shoonya_1sCFPT0WB8UZOZ, 5707157]
[ordered-list, [65.0, 681.0, 469.0, 18.0], shoonya_1sCFPT0WB8UZOZ, 5707157]
[ordered-list, [65.0, 699.0, 469.0, 18.0], shoonya_1sCFPT0WB8UZOZ, 5707157]
[ordered-list, [65.0, 717.0, 469.0, 18.0], shoonya_1sCFPT0WB8UZOZ, 5707157]
[ordered-list, [65.0, 735.0, 469.0, 18.0], shoonya_1sCFPT0WB8UZOZ, 5707157]
