[1565, 1152]
[headline, [71.0, 84.0, 490.0, 37.5], shoonya_7s7NNAO6SJ0C3R, 5722201]
[paragraph, [85.0, 157.0, 586.0, 36.0], shoonya_3s5GV0MI6OTCWZ, 5722201]
[paragraph, [85.0, 193.0, 586.0, 36.0], shoonya_3s5GV0MI6OTCWZ, 5722201]
[paragraph, [85.0, 229.0, 586.0, 36.0], shoonya_3s5GV0MI6OTCWZ, 5722201]
[paragraph, [85.0, 265.0, 586.0, 36.0], shoonya_3s5GV0MI6OTCWZ, 5722201]
[paragraph, [85.0, 301.0, 586.0, 36.0], shoonya_3s5GV0MI6OTCWZ, 5722201]
[paragraph, [85.0, 337.0, 586.0, 36.0], shoonya_3s5GV0MI6OTCWZ, 5722201]
[paragraph, [85.0, 373.0, 586.0, 36.0], shoonya_3s5GV0MI6OTCWZ, 5722201]
[paragraph, [85.0, 409.0, 586.0, 36.0], shoonya_3s5GV0MI6OTCWZ, 5722201]
[paragraph, [85.0, 445.0, 586.0, 36.0], shoonya_3s5GV0MI6OTCWZ, 5722201]
[paragraph, [83.0, 516.0, 585.0, 36.0], shoonya_1sNPELDVRP9XM9, 5722201]
[paragraph, [83.0, 552.0, 585.0, 36.0], shoonya_1sNPELDVRP9XM9, 5722201]
[paragraph, [83.0, 588.0, 585.0, 36.0], shoonya_1sNPELDVRP9XM9, 5722201]
[paragraph, [83.0, 624.0, 585.0, 36.0], shoonya_1sNPELDVRP9XM9, 5722201]
[paragraph, [83.0, 660.0, 585.0, 36.0], shoonya_1sNPELDVRP9XM9, 5722201]
[paragraph, [83.0, 696.0, 585.0, 36.0], shoonya_1sNPELDVRP9XM9, 5722201]
[paragraph, [78.0, 764.0, 591.0, 36.0], shoonya_0sR71QOEBCUS64, 5722201]
[paragraph, [78.0, 800.0, 591.0, 36.0], shoonya_0sR71QOEBCUS64, 5722201]
[paragraph, [78.0, 836.0, 591.0, 36.0], shoonya_0sR71QOEBCUS64, 5722201]
[paragraph, [78.0, 872.0, 591.0, 36.0], shoonya_0sR71QOEBCUS64, 5722201]
[paragraph, [78.0, 908.0, 591.0, 36.0], shoonya_0sR71QOEBCUS64, 5722201]
[paragraph, [78.0, 944.0, 591.0, 36.0], shoonya_0sR71QOEBCUS64, 5722201]
[paragraph, [78.0, 984.0, 595.0, 36.0], shoonya_2sAFLQN7MFECU4, 5722201]
[paragraph, [78.0, 1020.0, 595.0, 36.0], shoonya_2sAFLQN7MFECU4, 5722201]
[paragraph, [78.0, 1056.0, 595.0, 36.0], shoonya_2sAFLQN7MFECU4, 5722201]
[paragraph, [78.0, 1092.0, 595.0, 36.0], shoonya_2sAFLQN7MFECU4, 5722201]
[paragraph, [79.0, 1161.0, 593.0, 36.0], shoonya_4sHOSBTXUSAIPD, 5722201]
[paragraph, [79.0, 1197.0, 593.0, 36.0], shoonya_4sHOSBTXUSAIPD, 5722201]
[paragraph, [79.0, 1233.0, 593.0, 36.0], shoonya_4sHOSBTXUSAIPD, 5722201]
[paragraph, [77.0, 1298.0, 595.0, 36.0], shoonya_6sN24N3AOBJBK6, 5722201]
[paragraph, [77.0, 1334.0, 595.0, 36.0], shoonya_6sN24N3AOBJBK6, 5722201]
[paragraph, [77.0, 1370.0, 595.0, 36.0], shoonya_6sN24N3AOBJBK6, 5722201]
