[1755, 1240]
[folio, [633.0, 72.0, 491.0, 36.0], dj2Iqh0ImW, 5743664]
[paragraph, [200.0, 205.0, 930.0, 36.0], shoonya_2s5HAC23N8ECHT, 5743664]
[paragraph, [200.0, 241.0, 930.0, 36.0], shoonya_2s5HAC23N8ECHT, 5743664]
[paragraph, [200.0, 277.0, 930.0, 36.0], shoonya_2s5HAC23N8ECHT, 5743664]
[paragraph, [200.0, 313.0, 930.0, 36.0], shoonya_2s5HAC23N8ECHT, 5743664]
[paragraph, [200.0, 349.0, 930.0, 36.0], shoonya_2s5HAC23N8ECHT, 5743664]
[paragraph, [200.0, 385.0, 930.0, 36.0], shoonya_2s5HAC23N8ECHT, 5743664]
[paragraph, [200.0, 421.0, 930.0, 36.0], shoonya_2s5HAC23N8ECHT, 5743664]
[paragraph, [200.0, 457.0, 930.0, 36.0], shoonya_2s5HAC23N8ECHT, 5743664]
[paragraph, [200.0, 493.0, 930.0, 36.0], shoonya_2s5HAC23N8ECHT, 5743664]
[paragraph, [200.0, 529.0, 930.0, 36.0], shoonya_2s5HAC23N8ECHT, 5743664]
[paragraph, [200.0, 565.0, 930.0, 36.0], shoonya_2s5HAC23N8ECHT, 5743664]
[paragraph, [200.0, 601.0, 930.0, 36.0], shoonya_2s5HAC23N8ECHT, 5743664]
[paragraph, [197.0, 657.0, 936.0, 36.0], shoonya_1s2LPI6D9APUJR, 5743664]
[paragraph, [197.0, 693.0, 936.0, 36.0], shoonya_1s2LPI6D9APUJR, 5743664]
[paragraph, [197.0, 729.0, 936.0, 36.0], shoonya_1s2LPI6D9APUJR, 5743664]
[paragraph, [197.0, 765.0, 936.0, 36.0], shoonya_1s2LPI6D9APUJR, 5743664]
[paragraph, [197.0, 801.0, 936.0, 36.0], shoonya_1s2LPI6D9APUJR, 5743664]
[paragraph, [197.0, 837.0, 936.0, 36.0], shoonya_1s2LPI6D9APUJR, 5743664]
[paragraph, [197.0, 873.0, 936.0, 36.0], shoonya_1s2LPI6D9APUJR, 5743664]
[paragraph, [197.0, 909.0, 936.0, 36.0], shoonya_1s2LPI6D9APUJR, 5743664]
[paragraph, [197.0, 945.0, 936.0, 36.0], shoonya_1s2LPI6D9APUJR, 5743664]
[paragraph, [197.0, 981.0, 936.0, 36.0], shoonya_1s2LPI6D9APUJR, 5743664]
[paragraph, [197.0, 1017.0, 936.0, 36.0], shoonya_1s2LPI6D9APUJR, 5743664]
[paragraph, [197.0, 1053.0, 936.0, 36.0], shoonya_1s2LPI6D9APUJR, 5743664]
[paragraph, [197.0, 1089.0, 936.0, 36.0], shoonya_1s2LPI6D9APUJR, 5743664]
[paragraph, [197.0, 1125.0, 936.0, 36.0], shoonya_1s2LPI6D9APUJR, 5743664]
[paragraph, [197.0, 1161.0, 936.0, 36.0], shoonya_1s2LPI6D9APUJR, 5743664]
[paragraph, [197.0, 1197.0, 936.0, 36.0], shoonya_1s2LPI6D9APUJR, 5743664]
[paragraph, [197.0, 1233.0, 936.0, 36.0], shoonya_1s2LPI6D9APUJR, 5743664]
[paragraph, [197.0, 1269.0, 936.0, 36.0], shoonya_1s2LPI6D9APUJR, 5743664]
[paragraph, [197.0, 1305.0, 936.0, 36.0], shoonya_1s2LPI6D9APUJR, 5743664]
[paragraph, [197.0, 1341.0, 936.0, 36.0], shoonya_1s2LPI6D9APUJR, 5743664]
[paragraph, [197.0, 1377.0, 936.0, 36.0], shoonya_1s2LPI6D9APUJR, 5743664]
[paragraph, [197.0, 1413.0, 936.0, 36.0], shoonya_1s2LPI6D9APUJR, 5743664]
[paragraph, [197.0, 1449.0, 936.0, 36.0], shoonya_1s2LPI6D9APUJR, 5743664]
[paragraph, [197.0, 1485.0, 936.0, 36.0], shoonya_1s2LPI6D9APUJR, 5743664]
[paragraph, [197.0, 1521.0, 936.0, 36.0], shoonya_1s2LPI6D9APUJR, 5743664]
[paragraph, [197.0, 1557.0, 936.0, 36.0], shoonya_1s2LPI6D9APUJR, 5743664]
