[1162, 749]
[folio, [306.0, 74.0, 82.0, 18.0], shoonya_3sT3990A0JRDJS, 5700076]
[paragraph, [73.0, 117.0, 601.0, 18.0], shoonya_1sOJH2NUMAUKIU, 5700076]
[paragraph, [73.0, 135.0, 601.0, 18.0], shoonya_1sOJH2NUMAUKIU, 5700076]
[paragraph, [73.0, 153.0, 601.0, 18.0], shoonya_1sOJH2NUMAUKIU, 5700076]
[paragraph, [73.0, 171.0, 601.0, 18.0], shoonya_1sOJH2NUMAUKIU, 5700076]
[paragraph, [73.0, 189.0, 601.0, 18.0], shoonya_1sOJH2NUMAUKIU, 5700076]
[paragraph, [73.0, 207.0, 601.0, 18.0], shoonya_1sOJH2NUMAUKIU, 5700076]
[paragraph, [73.0, 225.0, 601.0, 18.0], shoonya_1sOJH2NUMAUKIU, 5700076]
[paragraph, [73.0, 243.0, 601.0, 18.0], shoonya_1sOJH2NUMAUKIU, 5700076]
[paragraph, [73.0, 261.0, 601.0, 18.0], shoonya_1sOJH2NUMAUKIU, 5700076]
[paragraph, [73.0, 279.0, 601.0, 18.0], shoonya_1sOJH2NUMAUKIU, 5700076]
[paragraph, [73.0, 297.0, 601.0, 18.0], shoonya_1sOJH2NUMAUKIU, 5700076]
[paragraph, [73.0, 315.0, 601.0, 18.0], shoonya_1sOJH2NUMAUKIU, 5700076]
[paragraph, [73.0, 333.0, 601.0, 18.0], shoonya_1sOJH2NUMAUKIU, 5700076]
[paragraph, [73.0, 351.0, 601.0, 18.0], shoonya_1sOJH2NUMAUKIU, 5700076]
[paragraph, [73.0, 369.0, 601.0, 18.0], shoonya_1sOJH2NUMAUKIU, 5700076]
[paragraph, [73.0, 387.0, 601.0, 18.0], shoonya_1sOJH2NUMAUKIU, 5700076]
[paragraph, [73.0, 405.0, 601.0, 18.0], shoonya_1sOJH2NUMAUKIU, 5700076]
[paragraph, [73.0, 423.0, 601.0, 18.0], shoonya_1sOJH2NUMAUKIU, 5700076]
[paragraph, [73.0, 441.0, 601.0, 18.0], shoonya_1sOJH2NUMAUKIU, 5700076]
[paragraph, [73.0, 459.0, 601.0, 18.0], shoonya_1sOJH2NUMAUKIU, 5700076]
[paragraph, [73.0, 477.0, 601.0, 18.0], shoonya_1sOJH2NUMAUKIU, 5700076]
[paragraph, [73.0, 495.0, 601.0, 18.0], shoonya_1sOJH2NUMAUKIU, 5700076]
[paragraph, [73.0, 513.0, 601.0, 18.0], shoonya_1sOJH2NUMAUKIU, 5700076]
[paragraph, [73.0, 531.0, 601.0, 18.0], shoonya_1sOJH2NUMAUKIU, 5700076]
[paragraph, [73.0, 549.0, 601.0, 18.0], shoonya_1sOJH2NUMAUKIU, 5700076]
[paragraph, [73.0, 567.0, 601.0, 18.0], shoonya_1sOJH2NUMAUKIU, 5700076]
[paragraph, [77.0, 607.0, 592.0, 18.0], shoonya_0s1R6H2B8RXY4H, 5700076]
[paragraph, [77.0, 625.0, 592.0, 18.0], shoonya_0s1R6H2B8RXY4H, 5700076]
[paragraph, [77.0, 643.0, 592.0, 18.0], shoonya_0s1R6H2B8RXY4H, 5700076]
[paragraph, [77.0, 661.0, 592.0, 18.0], shoonya_0s1R6H2B8RXY4H, 5700076]
[paragraph, [77.0, 679.0, 592.0, 18.0], shoonya_0s1R6H2B8RXY4H, 5700076]
[paragraph, [77.0, 697.0, 592.0, 18.0], shoonya_0s1R6H2B8RXY4H, 5700076]
[paragraph, [77.0, 715.0, 592.0, 18.0], shoonya_0s1R6H2B8RXY4H, 5700076]
[paragraph, [77.0, 733.0, 592.0, 18.0], shoonya_0s1R6H2B8RXY4H, 5700076]
[paragraph, [77.0, 751.0, 592.0, 18.0], shoonya_0s1R6H2B8RXY4H, 5700076]
[paragraph, [77.0, 769.0, 592.0, 18.0], shoonya_0s1R6H2B8RXY4H, 5700076]
[paragraph, [77.0, 787.0, 592.0, 18.0], shoonya_0s1R6H2B8RXY4H, 5700076]
[paragraph, [77.0, 805.0, 592.0, 18.0], shoonya_0s1R6H2B8RXY4H, 5700076]
[paragraph, [77.0, 823.0, 592.0, 18.0], shoonya_0s1R6H2B8RXY4H, 5700076]
[paragraph, [77.0, 841.0, 592.0, 18.0], shoonya_0s1R6H2B8RXY4H, 5700076]
[paragraph, [77.0, 859.0, 592.0, 18.0], shoonya_0s1R6H2B8RXY4H, 5700076]
[paragraph, [77.0, 877.0, 592.0, 18.0], shoonya_0s1R6H2B8RXY4H, 5700076]
[paragraph, [77.0, 895.0, 592.0, 18.0], shoonya_0s1R6H2B8RXY4H, 5700076]
[paragraph, [78.0, 922.0, 594.0, 18.0], shoonya_2sUAH1WZ788N98, 5700076]
[paragraph, [78.0, 940.0, 594.0, 18.0], shoonya_2sUAH1WZ788N98, 5700076]
[paragraph, [78.0, 958.0, 594.0, 18.0], shoonya_2sUAH1WZ788N98, 5700076]
[paragraph, [78.0, 976.0, 594.0, 18.0], shoonya_2sUAH1WZ788N98, 5700076]
[paragraph, [78.0, 994.0, 594.0, 18.0], shoonya_2sUAH1WZ788N98, 5700076]
[paragraph, [78.0, 1012.0, 594.0, 18.0], shoonya_2sUAH1WZ788N98, 5700076]
[paragraph, [78.0, 1030.0, 594.0, 18.0], shoonya_2sUAH1WZ788N98, 5700076]
[paragraph, [78.0, 1048.0, 594.0, 18.0], shoonya_2sUAH1WZ788N98, 5700076]
[paragraph, [78.0, 1066.0, 594.0, 18.0], shoonya_2sUAH1WZ788N98, 5700076]
