[1951, 1219]
[folio, [791.0, 138.0, 184.0, 36.0], SlyjsOLl0s, 5682687]
[paragraph, [238.0, 210.0, 370.0, 36.0], shoonya_0s6IRTHBBPGB00, 5682687]
[paragraph, [236.0, 273.0, 156.0, 36.0], AHU7lx5kPo, 5682687]
[paragraph, [232.0, 330.0, 185.0, 36.0], b1lKZNCn6H, 5682687]
[paragraph, [239.0, 390.0, 374.0, 36.0], hqFWdapyvL, 5682687]
[paragraph, [146.0, 450.0, 909.0, 36.0], WQO9sYYQdi, 5682687]
[paragraph, [146.0, 486.0, 909.0, 36.0], WQO9sYYQdi, 5682687]
[paragraph, [146.0, 522.0, 909.0, 36.0], WQO9sYYQdi, 5682687]
[paragraph, [141.0, 569.0, 912.0, 36.0], 5vOixEgbOf, 5682687]
[paragraph, [141.0, 605.0, 912.0, 36.0], 5vOixEgbOf, 5682687]
[paragraph, [141.0, 641.0, 912.0, 36.0], 5vOixEgbOf, 5682687]
[paragraph, [141.0, 677.0, 912.0, 36.0], 5vOixEgbOf, 5682687]
[paragraph, [141.0, 713.0, 912.0, 36.0], 5vOixEgbOf, 5682687]
[paragraph, [141.0, 749.0, 912.0, 36.0], 5vOixEgbOf, 5682687]
[paragraph, [141.0, 785.0, 912.0, 36.0], 5vOixEgbOf, 5682687]
[paragraph, [141.0, 821.0, 912.0, 36.0], 5vOixEgbOf, 5682687]
[paragraph, [141.0, 857.0, 912.0, 36.0], 5vOixEgbOf, 5682687]
[paragraph, [137.0, 913.0, 912.0, 36.0], 62rACQjqcV, 5682687]
[paragraph, [137.0, 949.0, 912.0, 36.0], 62rACQjqcV, 5682687]
[paragraph, [137.0, 985.0, 912.0, 36.0], 62rACQjqcV, 5682687]
[paragraph, [137.0, 1021.0, 912.0, 36.0], 62rACQjqcV, 5682687]
[paragraph, [147.0, 1085.0, 903.0, 36.0], 9kolBxvKnM, 5682687]
[paragraph, [147.0, 1121.0, 903.0, 36.0], 9kolBxvKnM, 5682687]
[paragraph, [147.0, 1157.0, 903.0, 36.0], 9kolBxvKnM, 5682687]
[paragraph, [147.0, 1193.0, 903.0, 36.0], 9kolBxvKnM, 5682687]
[paragraph, [227.0, 1260.0, 815.0, 36.0], aULjtXW9WZ, 5682687]
[paragraph, [195.0, 1316.0, 844.0, 36.0], xxNET_f2fc, 5682687]
[paragraph, [145.0, 1368.0, 899.0, 36.0], J0awSstJVJ, 5682687]
[paragraph, [145.0, 1404.0, 899.0, 36.0], J0awSstJVJ, 5682687]
[paragraph, [145.0, 1440.0, 899.0, 36.0], J0awSstJVJ, 5682687]
[paragraph, [145.0, 1476.0, 899.0, 36.0], J0awSstJVJ, 5682687]
[paragraph, [145.0, 1512.0, 899.0, 36.0], J0awSstJVJ, 5682687]
[paragraph, [145.0, 1548.0, 899.0, 36.0], J0awSstJVJ, 5682687]
[paragraph, [145.0, 1584.0, 899.0, 36.0], J0awSstJVJ, 5682687]
[paragraph, [145.0, 1620.0, 899.0, 36.0], J0awSstJVJ, 5682687]
[paragraph, [145.0, 1656.0, 899.0, 36.0], J0awSstJVJ, 5682687]
[paragraph, [144.0, 1717.0, 898.0, 36.0], DPm_BhjyUt, 5682687]
[paragraph, [144.0, 1753.0, 898.0, 36.0], DPm_BhjyUt, 5682687]
[paragraph, [144.0, 1789.0, 898.0, 36.0], DPm_BhjyUt, 5682687]
