[4666, 3194]
[folio, [1381.0, 427.0, 434.0, 52.5], 0eD7S98bZh, 5692324]
[folio, [1381.0, 479.5, 434.0, 52.5], 0eD7S98bZh, 5692324]
[paragraph, [349.0, 558.0, 2484.0, 52.5], shoonya_1sLX18R2VEQQW1, 5692324]
[paragraph, [349.0, 610.5, 2484.0, 52.5], shoonya_1sLX18R2VEQQW1, 5692324]
[paragraph, [349.0, 663.0, 2484.0, 52.5], shoonya_1sLX18R2VEQQW1, 5692324]
[paragraph, [349.0, 715.5, 2484.0, 52.5], shoonya_1sLX18R2VEQQW1, 5692324]
[paragraph, [349.0, 768.0, 2484.0, 52.5], shoonya_1sLX18R2VEQQW1, 5692324]
[paragraph, [349.0, 820.5, 2484.0, 52.5], shoonya_1sLX18R2VEQQW1, 5692324]
[paragraph, [349.0, 873.0, 2484.0, 52.5], shoonya_1sLX18R2VEQQW1, 5692324]
[paragraph, [349.0, 925.5, 2484.0, 52.5], shoonya_1sLX18R2VEQQW1, 5692324]
[paragraph, [349.0, 978.0, 2484.0, 52.5], shoonya_1sLX18R2VEQQW1, 5692324]
[paragraph, [349.0, 1030.5, 2484.0, 52.5], shoonya_1sLX18R2VEQQW1, 5692324]
[paragraph, [349.0, 1083.0, 2484.0, 52.5], shoonya_1sLX18R2VEQQW1, 5692324]
[paragraph, [349.0, 1135.5, 2484.0, 52.5], shoonya_1sLX18R2VEQQW1, 5692324]
[paragraph, [349.0, 1188.0, 2484.0, 52.5], shoonya_1sLX18R2VEQQW1, 5692324]
[paragraph, [349.0, 1240.5, 2484.0, 52.5], shoonya_1sLX18R2VEQQW1, 5692324]
[paragraph, [349.0, 1293.0, 2484.0, 52.5], shoonya_1sLX18R2VEQQW1, 5692324]
[paragraph, [349.0, 1345.5, 2484.0, 52.5], shoonya_1sLX18R2VEQQW1, 5692324]
[paragraph, [349.0, 1398.0, 2484.0, 52.5], shoonya_1sLX18R2VEQQW1, 5692324]
[paragraph, [349.0, 1450.5, 2484.0, 52.5], shoonya_1sLX18R2VEQQW1, 5692324]
[paragraph, [349.0, 1503.0, 2484.0, 52.5], shoonya_1sLX18R2VEQQW1, 5692324]
[paragraph, [336.0, 1571.0, 2503.0, 52.5], shoonya_3sF4T9PA925VEA, 5692324]
[paragraph, [336.0, 1623.5, 2503.0, 52.5], shoonya_3sF4T9PA925VEA, 5692324]
[paragraph, [336.0, 1676.0, 2503.0, 52.5], shoonya_3sF4T9PA925VEA, 5692324]
[paragraph, [336.0, 1728.5, 2503.0, 52.5], shoonya_3sF4T9PA925VEA, 5692324]
[paragraph, [336.0, 1781.0, 2503.0, 52.5], shoonya_3sF4T9PA925VEA, 5692324]
[paragraph, [336.0, 1833.5, 2503.0, 52.5], shoonya_3sF4T9PA925VEA, 5692324]
[paragraph, [336.0, 1886.0, 2503.0, 52.5], shoonya_3sF4T9PA925VEA, 5692324]
[paragraph, [336.0, 1938.5, 2503.0, 52.5], shoonya_3sF4T9PA925VEA, 5692324]
[paragraph, [336.0, 1991.0, 2503.0, 52.5], shoonya_3sF4T9PA925VEA, 5692324]
