[2084, 1289]
[paragraph, [125.0, 269.0, 1035.0, 36.0], shoonya_2sV7RG34TAILID, 5660986]
[paragraph, [125.0, 305.0, 1035.0, 36.0], shoonya_2sV7RG34TAILID, 5660986]
[paragraph, [114.0, 435.0, 1045.0, 36.0], shoonya_3sTDUEBY6QC0UA, 5660986]
[paragraph, [114.0, 471.0, 1045.0, 36.0], shoonya_3sTDUEBY6QC0UA, 5660986]
[paragraph, [114.0, 507.0, 1045.0, 36.0], shoonya_3sTDUEBY6QC0UA, 5660986]
[paragraph, [112.0, 549.0, 1047.0, 36.0], shoonya_1sJBTDMB0IGSOU, 5660986]
[paragraph, [112.0, 585.0, 1047.0, 36.0], shoonya_1sJBTDMB0IGSOU, 5660986]
[paragraph, [112.0, 621.0, 1047.0, 36.0], shoonya_1sJBTDMB0IGSOU, 5660986]
[paragraph, [112.0, 657.0, 1047.0, 36.0], shoonya_1sJBTDMB0IGSOU, 5660986]
[paragraph, [112.0, 693.0, 1047.0, 36.0], shoonya_1sJBTDMB0IGSOU, 5660986]
[paragraph, [112.0, 729.0, 1047.0, 36.0], shoonya_1sJBTDMB0IGSOU, 5660986]
[paragraph, [112.0, 765.0, 1047.0, 36.0], shoonya_1sJBTDMB0IGSOU, 5660986]
[paragraph, [112.0, 801.0, 1047.0, 36.0], shoonya_1sJBTDMB0IGSOU, 5660986]
[paragraph, [112.0, 837.0, 1047.0, 36.0], shoonya_1sJBTDMB0IGSOU, 5660986]
[paragraph, [112.0, 873.0, 1047.0, 36.0], shoonya_1sJBTDMB0IGSOU, 5660986]
[paragraph, [112.0, 909.0, 1047.0, 36.0], shoonya_1sJBTDMB0IGSOU, 5660986]
[paragraph, [87.0, 946.0, 1070.0, 36.0], shoonya_0s68MBYFT7TJG2, 5660986]
[paragraph, [87.0, 982.0, 1070.0, 36.0], shoonya_0s68MBYFT7TJG2, 5660986]
[paragraph, [87.0, 1018.0, 1070.0, 36.0], shoonya_0s68MBYFT7TJG2, 5660986]
[paragraph, [87.0, 1054.0, 1070.0, 36.0], shoonya_0s68MBYFT7TJG2, 5660986]
[paragraph, [87.0, 1090.0, 1070.0, 36.0], shoonya_0s68MBYFT7TJG2, 5660986]
[paragraph, [87.0, 1126.0, 1070.0, 36.0], shoonya_0s68MBYFT7TJG2, 5660986]
[paragraph, [87.0, 1162.0, 1070.0, 36.0], shoonya_0s68MBYFT7TJG2, 5660986]
[paragraph, [87.0, 1198.0, 1070.0, 36.0], shoonya_0s68MBYFT7TJG2, 5660986]
[paragraph, [87.0, 1234.0, 1070.0, 36.0], shoonya_0s68MBYFT7TJG2, 5660986]
[paragraph, [87.0, 1270.0, 1070.0, 36.0], shoonya_0s68MBYFT7TJG2, 5660986]
[paragraph, [87.0, 1306.0, 1070.0, 36.0], shoonya_0s68MBYFT7TJG2, 5660986]
[paragraph, [87.0, 1342.0, 1070.0, 36.0], shoonya_0s68MBYFT7TJG2, 5660986]
[paragraph, [87.0, 1378.0, 1070.0, 36.0], shoonya_0s68MBYFT7TJG2, 5660986]
[paragraph, [87.0, 1414.0, 1070.0, 36.0], shoonya_0s68MBYFT7TJG2, 5660986]
[paragraph, [87.0, 1450.0, 1070.0, 36.0], shoonya_0s68MBYFT7TJG2, 5660986]
[paragraph, [87.0, 1486.0, 1070.0, 36.0], shoonya_0s68MBYFT7TJG2, 5660986]
[paragraph, [87.0, 1522.0, 1070.0, 36.0], shoonya_0s68MBYFT7TJG2, 5660986]
[paragraph, [87.0, 1558.0, 1070.0, 36.0], shoonya_0s68MBYFT7TJG2, 5660986]
[paragraph, [87.0, 1594.0, 1070.0, 36.0], shoonya_0s68MBYFT7TJG2, 5660986]
[paragraph, [87.0, 1630.0, 1070.0, 36.0], shoonya_0s68MBYFT7TJG2, 5660986]
[paragraph, [87.0, 1666.0, 1070.0, 36.0], shoonya_0s68MBYFT7TJG2, 5660986]
[paragraph, [87.0, 1702.0, 1070.0, 36.0], shoonya_0s68MBYFT7TJG2, 5660986]
[paragraph, [129.0, 1779.0, 1022.0, 36.0], shoonya_4sDWUA88B4KPP1, 5660986]
[paragraph, [129.0, 1815.0, 1022.0, 36.0], shoonya_4sDWUA88B4KPP1, 5660986]
[paragraph, [129.0, 1851.0, 1022.0, 36.0], shoonya_4sDWUA88B4KPP1, 5660986]
[folio, [633.0, 1938.0, 655.0, 36.0], shoonya_5sC2ZXJJQP5MAK, 5660986]
[folio, [633.0, 1974.0, 655.0, 36.0], shoonya_5sC2ZXJJQP5MAK, 5660986]
