[872, 605]
[folio, [498.0, 37.0, 52.0, 18.0], 8VeLCouJ2s, 6456804]
[paragraph, [54.0, 71.0, 245.0, 18.0], shoonya_1s4D44PCKZ10AJ, 6456804]
[paragraph, [54.0, 89.0, 245.0, 18.0], shoonya_1s4D44PCKZ10AJ, 6456804]
[paragraph, [54.0, 107.0, 245.0, 18.0], shoonya_1s4D44PCKZ10AJ, 6456804]
[paragraph, [54.0, 125.0, 245.0, 18.0], shoonya_1s4D44PCKZ10AJ, 6456804]
[paragraph, [54.0, 143.0, 245.0, 18.0], shoonya_1s4D44PCKZ10AJ, 6456804]
[paragraph, [54.0, 161.0, 245.0, 18.0], shoonya_1s4D44PCKZ10AJ, 6456804]
[paragraph, [54.0, 179.0, 245.0, 18.0], shoonya_1s4D44PCKZ10AJ, 6456804]
[paragraph, [54.0, 197.0, 245.0, 18.0], shoonya_1s4D44PCKZ10AJ, 6456804]
[paragraph, [54.0, 215.0, 245.0, 18.0], shoonya_1s4D44PCKZ10AJ, 6456804]
[paragraph, [54.0, 233.0, 245.0, 18.0], shoonya_1s4D44PCKZ10AJ, 6456804]
[paragraph, [54.0, 251.0, 245.0, 18.0], shoonya_1s4D44PCKZ10AJ, 6456804]
[paragraph, [54.0, 269.0, 245.0, 18.0], shoonya_1s4D44PCKZ10AJ, 6456804]
[paragraph, [54.0, 287.0, 245.0, 18.0], shoonya_1s4D44PCKZ10AJ, 6456804]
[paragraph, [54.0, 305.0, 245.0, 18.0], shoonya_1s4D44PCKZ10AJ, 6456804]
[paragraph, [54.0, 323.0, 245.0, 18.0], shoonya_1s4D44PCKZ10AJ, 6456804]
[paragraph, [54.0, 341.0, 245.0, 18.0], shoonya_1s4D44PCKZ10AJ, 6456804]
[paragraph, [54.0, 359.0, 245.0, 18.0], shoonya_1s4D44PCKZ10AJ, 6456804]
[paragraph, [54.0, 377.0, 245.0, 18.0], shoonya_1s4D44PCKZ10AJ, 6456804]
[paragraph, [54.0, 395.0, 245.0, 18.0], shoonya_1s4D44PCKZ10AJ, 6456804]
[paragraph, [54.0, 413.0, 245.0, 18.0], shoonya_1s4D44PCKZ10AJ, 6456804]
[paragraph, [54.0, 431.0, 245.0, 18.0], shoonya_1s4D44PCKZ10AJ, 6456804]
[paragraph, [54.0, 449.0, 245.0, 18.0], shoonya_1s4D44PCKZ10AJ, 6456804]
[paragraph, [54.0, 467.0, 245.0, 18.0], shoonya_1s4D44PCKZ10AJ, 6456804]
[paragraph, [54.0, 485.0, 245.0, 18.0], shoonya_1s4D44PCKZ10AJ, 6456804]
[paragraph, [54.0, 503.0, 245.0, 18.0], shoonya_1s4D44PCKZ10AJ, 6456804]
[paragraph, [54.0, 521.0, 245.0, 18.0], shoonya_1s4D44PCKZ10AJ, 6456804]
[paragraph, [54.0, 539.0, 245.0, 18.0], shoonya_1s4D44PCKZ10AJ, 6456804]
[paragraph, [54.0, 557.0, 245.0, 18.0], shoonya_1s4D44PCKZ10AJ, 6456804]
[paragraph, [54.0, 575.0, 245.0, 18.0], shoonya_1s4D44PCKZ10AJ, 6456804]
[paragraph, [54.0, 593.0, 245.0, 18.0], shoonya_1s4D44PCKZ10AJ, 6456804]
[paragraph, [54.0, 611.0, 245.0, 18.0], shoonya_1s4D44PCKZ10AJ, 6456804]
[paragraph, [301.0, 75.0, 255.0, 18.0], shoonya_0sYN18OQGFFPCE, 6456804]
[paragraph, [301.0, 93.0, 255.0, 18.0], shoonya_0sYN18OQGFFPCE, 6456804]
[paragraph, [301.0, 111.0, 255.0, 18.0], shoonya_0sYN18OQGFFPCE, 6456804]
[paragraph, [301.0, 129.0, 255.0, 18.0], shoonya_0sYN18OQGFFPCE, 6456804]
[paragraph, [301.0, 147.0, 255.0, 18.0], shoonya_0sYN18OQGFFPCE, 6456804]
[paragraph, [301.0, 165.0, 255.0, 18.0], shoonya_0sYN18OQGFFPCE, 6456804]
[paragraph, [301.0, 183.0, 255.0, 18.0], shoonya_0sYN18OQGFFPCE, 6456804]
[paragraph, [301.0, 201.0, 255.0, 18.0], shoonya_0sYN18OQGFFPCE, 6456804]
[paragraph, [301.0, 219.0, 255.0, 18.0], shoonya_0sYN18OQGFFPCE, 6456804]
[paragraph, [301.0, 237.0, 255.0, 18.0], shoonya_0sYN18OQGFFPCE, 6456804]
[paragraph, [301.0, 255.0, 255.0, 18.0], shoonya_0sYN18OQGFFPCE, 6456804]
[paragraph, [301.0, 273.0, 255.0, 18.0], shoonya_0sYN18OQGFFPCE, 6456804]
[paragraph, [301.0, 291.0, 255.0, 18.0], shoonya_0sYN18OQGFFPCE, 6456804]
[paragraph, [301.0, 309.0, 255.0, 18.0], shoonya_0sYN18OQGFFPCE, 6456804]
[paragraph, [301.0, 327.0, 255.0, 18.0], shoonya_0sYN18OQGFFPCE, 6456804]
[paragraph, [301.0, 345.0, 255.0, 18.0], shoonya_0sYN18OQGFFPCE, 6456804]
[paragraph, [301.0, 363.0, 255.0, 18.0], shoonya_0sYN18OQGFFPCE, 6456804]
[paragraph, [301.0, 381.0, 255.0, 18.0], shoonya_0sYN18OQGFFPCE, 6456804]
[paragraph, [301.0, 399.0, 255.0, 18.0], shoonya_0sYN18OQGFFPCE, 6456804]
[paragraph, [301.0, 417.0, 255.0, 18.0], shoonya_0sYN18OQGFFPCE, 6456804]
[paragraph, [301.0, 435.0, 255.0, 18.0], shoonya_0sYN18OQGFFPCE, 6456804]
[paragraph, [301.0, 453.0, 255.0, 18.0], shoonya_0sYN18OQGFFPCE, 6456804]
[paragraph, [301.0, 471.0, 255.0, 18.0], shoonya_0sYN18OQGFFPCE, 6456804]
[paragraph, [301.0, 489.0, 255.0, 18.0], shoonya_0sYN18OQGFFPCE, 6456804]
[paragraph, [301.0, 507.0, 255.0, 18.0], shoonya_0sYN18OQGFFPCE, 6456804]
[paragraph, [301.0, 525.0, 255.0, 18.0], shoonya_0sYN18OQGFFPCE, 6456804]
[paragraph, [301.0, 543.0, 255.0, 18.0], shoonya_0sYN18OQGFFPCE, 6456804]
[paragraph, [301.0, 561.0, 255.0, 18.0], shoonya_0sYN18OQGFFPCE, 6456804]
[paragraph, [301.0, 579.0, 255.0, 18.0], shoonya_0sYN18OQGFFPCE, 6456804]
[ordered-list, [305.0, 606.0, 246.0, 18.0], Khq5qEaZ7l, 6456804]
[ordered-list, [305.0, 624.0, 246.0, 18.0], Khq5qEaZ7l, 6456804]
