[2806, 1983]
[unordered-list, [224.0, 152.0, 1526.0, 46.5], shoonya_1sZPI8XJC1T512, 5697579]
[unordered-list, [224.0, 198.5, 1526.0, 46.5], shoonya_1sZPI8XJC1T512, 5697579]
[unordered-list, [224.0, 245.0, 1526.0, 46.5], shoonya_1sZPI8XJC1T512, 5697579]
[unordered-list, [224.0, 291.5, 1526.0, 46.5], shoonya_1sZPI8XJC1T512, 5697579]
[unordered-list, [224.0, 338.0, 1526.0, 46.5], shoonya_1sZPI8XJC1T512, 5697579]
[unordered-list, [224.0, 384.5, 1526.0, 46.5], shoonya_1sZPI8XJC1T512, 5697579]
[unordered-list, [224.0, 431.0, 1526.0, 46.5], shoonya_1sZPI8XJC1T512, 5697579]
[unordered-list, [224.0, 477.5, 1526.0, 46.5], shoonya_1sZPI8XJC1T512, 5697579]
[unordered-list, [224.0, 524.0, 1526.0, 46.5], shoonya_1sZPI8XJC1T512, 5697579]
[contact-info, [1263.0, 604.0, 559.0, 46.5], shoonya_3sZ66SV5AUZL9X, 5697579]
[contact-info, [1263.0, 650.5, 559.0, 46.5], shoonya_3sZ66SV5AUZL9X, 5697579]
[contact-info, [1263.0, 697.0, 559.0, 46.5], shoonya_3sZ66SV5AUZL9X, 5697579]
[contact-info, [1263.0, 743.5, 559.0, 46.5], shoonya_3sZ66SV5AUZL9X, 5697579]
[contact-info, [1263.0, 790.0, 559.0, 46.5], shoonya_3sZ66SV5AUZL9X, 5697579]
[contact-info, [1263.0, 836.5, 559.0, 46.5], shoonya_3sZ66SV5AUZL9X, 5697579]
[contact-info, [1263.0, 883.0, 559.0, 46.5], shoonya_3sZ66SV5AUZL9X, 5697579]
[contact-info, [1263.0, 929.5, 559.0, 46.5], shoonya_3sZ66SV5AUZL9X, 5697579]
[paragraph, [231.0, 690.0, 502.0, 46.5], shoonya_0sOISDJSEXM91Y, 5697579]
[contact-info, [232.0, 819.0, 603.0, 46.5], shoonya_4sUYVPNGMT9N4Q, 5697579]
[contact-info, [232.0, 865.5, 603.0, 46.5], shoonya_4sUYVPNGMT9N4Q, 5697579]
[paragraph, [203.0, 981.0, 1175.0, 46.5], Q6r8_m0xtS, 5697579]
[ordered-list, [229.0, 1040.0, 1505.0, 46.5], shoonya_6sEBEHU4DJX813, 5697579]
[ordered-list, [229.0, 1086.5, 1505.0, 46.5], shoonya_6sEBEHU4DJX813, 5697579]
[ordered-list, [229.0, 1133.0, 1505.0, 46.5], shoonya_6sEBEHU4DJX813, 5697579]
[ordered-list, [229.0, 1179.5, 1505.0, 46.5], shoonya_6sEBEHU4DJX813, 5697579]
[ordered-list, [229.0, 1226.0, 1505.0, 46.5], shoonya_6sEBEHU4DJX813, 5697579]
[ordered-list, [229.0, 1272.5, 1505.0, 46.5], shoonya_6sEBEHU4DJX813, 5697579]
[ordered-list, [229.0, 1319.0, 1505.0, 46.5], shoonya_6sEBEHU4DJX813, 5697579]
[ordered-list, [229.0, 1365.5, 1505.0, 46.5], shoonya_6sEBEHU4DJX813, 5697579]
[ordered-list, [229.0, 1412.0, 1505.0, 46.5], shoonya_6sEBEHU4DJX813, 5697579]
[ordered-list, [229.0, 1458.5, 1505.0, 46.5], shoonya_6sEBEHU4DJX813, 5697579]
[ordered-list, [229.0, 1505.0, 1505.0, 46.5], shoonya_6sEBEHU4DJX813, 5697579]
[ordered-list, [229.0, 1551.5, 1505.0, 46.5], shoonya_6sEBEHU4DJX813, 5697579]
[ordered-list, [229.0, 1598.0, 1505.0, 46.5], shoonya_6sEBEHU4DJX813, 5697579]
[ordered-list, [229.0, 1644.5, 1505.0, 46.5], shoonya_6sEBEHU4DJX813, 5697579]
[ordered-list, [229.0, 1691.0, 1505.0, 46.5], shoonya_6sEBEHU4DJX813, 5697579]
[folio, [225.0, 2469.0, 282.0, 46.5], shoonya_2sL5AP9V0XXWJE, 5697579]
