[1350, 900]
[folio, [168.0, 182.0, 223.0, 18.0], mSXbIR2ij1, 5759989]
[folio, [168.0, 200.0, 223.0, 18.0], mSXbIR2ij1, 5759989]
[paragraph, [152.0, 235.0, 570.0, 18.0], shoonya_0s92X2JGGKEFKH, 5759989]
[paragraph, [152.0, 253.0, 570.0, 18.0], shoonya_0s92X2JGGKEFKH, 5759989]
[paragraph, [152.0, 271.0, 570.0, 18.0], shoonya_0s92X2JGGKEFKH, 5759989]
[paragraph, [152.0, 289.0, 570.0, 18.0], shoonya_0s92X2JGGKEFKH, 5759989]
[paragraph, [152.0, 307.0, 570.0, 18.0], shoonya_0s92X2JGGKEFKH, 5759989]
[paragraph, [152.0, 325.0, 570.0, 18.0], shoonya_0s92X2JGGKEFKH, 5759989]
[paragraph, [152.0, 343.0, 570.0, 18.0], shoonya_0s92X2JGGKEFKH, 5759989]
[paragraph, [152.0, 361.0, 570.0, 18.0], shoonya_0s92X2JGGKEFKH, 5759989]
[paragraph, [152.0, 379.0, 570.0, 18.0], shoonya_0s92X2JGGKEFKH, 5759989]
[paragraph, [152.0, 397.0, 570.0, 18.0], shoonya_0s92X2JGGKEFKH, 5759989]
[paragraph, [152.0, 415.0, 570.0, 18.0], shoonya_0s92X2JGGKEFKH, 5759989]
[paragraph, [152.0, 433.0, 570.0, 18.0], shoonya_0s92X2JGGKEFKH, 5759989]
[paragraph, [152.0, 451.0, 570.0, 18.0], shoonya_0s92X2JGGKEFKH, 5759989]
[paragraph, [152.0, 469.0, 570.0, 18.0], shoonya_0s92X2JGGKEFKH, 5759989]
[section-title, [156.0, 503.0, 282.0, 30.0], shoonya_5sTPJDD742ABV1, 5759989]
[paragraph, [154.0, 545.0, 570.0, 18.0], shoonya_2sOPVOBCB9VK7K, 5759989]
[paragraph, [154.0, 563.0, 570.0, 18.0], shoonya_2sOPVOBCB9VK7K, 5759989]
[paragraph, [154.0, 581.0, 570.0, 18.0], shoonya_2sOPVOBCB9VK7K, 5759989]
[paragraph, [154.0, 599.0, 570.0, 18.0], shoonya_2sOPVOBCB9VK7K, 5759989]
[paragraph, [154.0, 617.0, 570.0, 18.0], shoonya_2sOPVOBCB9VK7K, 5759989]
[paragraph, [154.0, 635.0, 570.0, 18.0], shoonya_2sOPVOBCB9VK7K, 5759989]
[paragraph, [154.0, 653.0, 570.0, 18.0], shoonya_2sOPVOBCB9VK7K, 5759989]
[paragraph, [154.0, 671.0, 570.0, 18.0], shoonya_2sOPVOBCB9VK7K, 5759989]
[paragraph, [154.0, 689.0, 570.0, 18.0], shoonya_2sOPVOBCB9VK7K, 5759989]
[paragraph, [154.0, 707.0, 570.0, 18.0], shoonya_2sOPVOBCB9VK7K, 5759989]
[paragraph, [154.0, 725.0, 570.0, 18.0], shoonya_2sOPVOBCB9VK7K, 5759989]
[paragraph, [156.0, 756.0, 567.0, 18.0], shoonya_4sAI7LOFZ0WJFQ, 5759989]
[paragraph, [156.0, 774.0, 567.0, 18.0], shoonya_4sAI7LOFZ0WJFQ, 5759989]
[paragraph, [156.0, 792.0, 567.0, 18.0], shoonya_4sAI7LOFZ0WJFQ, 5759989]
[paragraph, [156.0, 810.0, 567.0, 18.0], shoonya_4sAI7LOFZ0WJFQ, 5759989]
[paragraph, [156.0, 828.0, 567.0, 18.0], shoonya_4sAI7LOFZ0WJFQ, 5759989]
[paragraph, [156.0, 846.0, 567.0, 18.0], shoonya_4sAI7LOFZ0WJFQ, 5759989]
[paragraph, [156.0, 864.0, 567.0, 18.0], shoonya_4sAI7LOFZ0WJFQ, 5759989]
[paragraph, [156.0, 882.0, 567.0, 18.0], shoonya_4sAI7LOFZ0WJFQ, 5759989]
[paragraph, [156.0, 900.0, 567.0, 18.0], shoonya_4sAI7LOFZ0WJFQ, 5759989]
[paragraph, [156.0, 918.0, 567.0, 18.0], shoonya_4sAI7LOFZ0WJFQ, 5759989]
[paragraph, [156.0, 953.0, 566.0, 18.0], 6Y2yYJgNUF, 5759989]
[paragraph, [156.0, 971.0, 566.0, 18.0], 6Y2yYJgNUF, 5759989]
[paragraph, [156.0, 989.0, 566.0, 18.0], 6Y2yYJgNUF, 5759989]
[paragraph, [156.0, 1007.0, 566.0, 18.0], 6Y2yYJgNUF, 5759989]
[paragraph, [155.0, 1040.0, 562.0, 18.0], Un_S4b-H9k, 5759989]
[paragraph, [155.0, 1058.0, 562.0, 18.0], Un_S4b-H9k, 5759989]
[paragraph, [155.0, 1076.0, 562.0, 18.0], Un_S4b-H9k, 5759989]
[folio, [199.0, 1102.0, 111.0, 18.0], 54RQiMgj2S, 5759989]
