[1275, 750]
[folio, [231.0, 89.0, 275.0, 18.0], shoonya_0sEL8N0U5XDOD3, 5767368]
[folio, [231.0, 107.0, 275.0, 18.0], shoonya_0sEL8N0U5XDOD3, 5767368]
[paragraph, [65.0, 154.0, 609.0, 18.0], shoonya_2sM9HAZSH7O8K7, 5767368]
[paragraph, [65.0, 172.0, 609.0, 18.0], shoonya_2sM9HAZSH7O8K7, 5767368]
[paragraph, [65.0, 190.0, 609.0, 18.0], shoonya_2sM9HAZSH7O8K7, 5767368]
[paragraph, [65.0, 208.0, 609.0, 18.0], shoonya_2sM9HAZSH7O8K7, 5767368]
[paragraph, [65.0, 226.0, 609.0, 18.0], shoonya_2sM9HAZSH7O8K7, 5767368]
[paragraph, [65.0, 244.0, 609.0, 18.0], shoonya_2sM9HAZSH7O8K7, 5767368]
[paragraph, [65.0, 262.0, 609.0, 18.0], shoonya_2sM9HAZSH7O8K7, 5767368]
[paragraph, [65.0, 280.0, 609.0, 18.0], shoonya_2sM9HAZSH7O8K7, 5767368]
[paragraph, [65.0, 298.0, 609.0, 18.0], shoonya_2sM9HAZSH7O8K7, 5767368]
[paragraph, [65.0, 316.0, 609.0, 18.0], shoonya_2sM9HAZSH7O8K7, 5767368]
[paragraph, [65.0, 334.0, 609.0, 18.0], shoonya_2sM9HAZSH7O8K7, 5767368]
[paragraph, [65.0, 352.0, 609.0, 18.0], shoonya_2sM9HAZSH7O8K7, 5767368]
[paragraph, [65.0, 370.0, 609.0, 18.0], shoonya_2sM9HAZSH7O8K7, 5767368]
[paragraph, [65.0, 388.0, 609.0, 18.0], shoonya_2sM9HAZSH7O8K7, 5767368]
[paragraph, [65.0, 406.0, 609.0, 18.0], shoonya_2sM9HAZSH7O8K7, 5767368]
[paragraph, [65.0, 424.0, 609.0, 18.0], shoonya_2sM9HAZSH7O8K7, 5767368]
[paragraph, [60.0, 460.0, 612.0, 18.0], shoonya_1sBRRKP9SGWF7N, 5767368]
[paragraph, [60.0, 478.0, 612.0, 18.0], shoonya_1sBRRKP9SGWF7N, 5767368]
[paragraph, [60.0, 496.0, 612.0, 18.0], shoonya_1sBRRKP9SGWF7N, 5767368]
[paragraph, [60.0, 514.0, 612.0, 18.0], shoonya_1sBRRKP9SGWF7N, 5767368]
[paragraph, [60.0, 532.0, 612.0, 18.0], shoonya_1sBRRKP9SGWF7N, 5767368]
[paragraph, [60.0, 550.0, 612.0, 18.0], shoonya_1sBRRKP9SGWF7N, 5767368]
[paragraph, [60.0, 568.0, 612.0, 18.0], shoonya_1sBRRKP9SGWF7N, 5767368]
[paragraph, [60.0, 586.0, 612.0, 18.0], shoonya_1sBRRKP9SGWF7N, 5767368]
[paragraph, [60.0, 604.0, 612.0, 18.0], shoonya_1sBRRKP9SGWF7N, 5767368]
[paragraph, [60.0, 622.0, 612.0, 18.0], shoonya_1sBRRKP9SGWF7N, 5767368]
[paragraph, [55.0, 656.0, 627.0, 18.0], Gyri8vcVJ4, 5767368]
[paragraph, [55.0, 674.0, 627.0, 18.0], Gyri8vcVJ4, 5767368]
[paragraph, [55.0, 692.0, 627.0, 18.0], Gyri8vcVJ4, 5767368]
[paragraph, [55.0, 710.0, 627.0, 18.0], Gyri8vcVJ4, 5767368]
[paragraph, [55.0, 728.0, 627.0, 18.0], Gyri8vcVJ4, 5767368]
[paragraph, [55.0, 746.0, 627.0, 18.0], Gyri8vcVJ4, 5767368]
[paragraph, [55.0, 764.0, 627.0, 18.0], Gyri8vcVJ4, 5767368]
[paragraph, [55.0, 782.0, 627.0, 18.0], Gyri8vcVJ4, 5767368]
[paragraph, [55.0, 800.0, 627.0, 18.0], Gyri8vcVJ4, 5767368]
[paragraph, [55.0, 818.0, 627.0, 18.0], Gyri8vcVJ4, 5767368]
[paragraph, [55.0, 836.0, 627.0, 18.0], Gyri8vcVJ4, 5767368]
[paragraph, [55.0, 854.0, 627.0, 18.0], Gyri8vcVJ4, 5767368]
[paragraph, [55.0, 872.0, 627.0, 18.0], Gyri8vcVJ4, 5767368]
[paragraph, [55.0, 890.0, 627.0, 18.0], Gyri8vcVJ4, 5767368]
[paragraph, [55.0, 908.0, 627.0, 18.0], Gyri8vcVJ4, 5767368]
[paragraph, [55.0, 926.0, 627.0, 18.0], Gyri8vcVJ4, 5767368]
[paragraph, [55.0, 944.0, 627.0, 18.0], Gyri8vcVJ4, 5767368]
[paragraph, [55.0, 962.0, 627.0, 18.0], Gyri8vcVJ4, 5767368]
[paragraph, [55.0, 980.0, 627.0, 18.0], Gyri8vcVJ4, 5767368]
[paragraph, [55.0, 998.0, 627.0, 18.0], Gyri8vcVJ4, 5767368]
[paragraph, [55.0, 1016.0, 627.0, 18.0], Gyri8vcVJ4, 5767368]
[ordered-list, [62.0, 1056.0, 626.0, 18.0], sEUACcDjnj, 5767368]
[ordered-list, [62.0, 1074.0, 626.0, 18.0], sEUACcDjnj, 5767368]
[ordered-list, [62.0, 1092.0, 626.0, 18.0], sEUACcDjnj, 5767368]
[ordered-list, [62.0, 1110.0, 626.0, 18.0], sEUACcDjnj, 5767368]
[ordered-list, [62.0, 1128.0, 626.0, 18.0], sEUACcDjnj, 5767368]
[ordered-list, [62.0, 1146.0, 626.0, 18.0], sEUACcDjnj, 5767368]
[ordered-list, [62.0, 1164.0, 626.0, 18.0], sEUACcDjnj, 5767368]
[ordered-list, [62.0, 1182.0, 626.0, 18.0], sEUACcDjnj, 5767368]
