[2094, 1548]
[paragraph, [51.0, 97.0, 714.0, 36.0], shoonya_1sFS7ZGCX9TQHH, 5713247]
[paragraph, [51.0, 133.0, 714.0, 36.0], shoonya_1sFS7ZGCX9TQHH, 5713247]
[paragraph, [51.0, 169.0, 714.0, 36.0], shoonya_1sFS7ZGCX9TQHH, 5713247]
[paragraph, [51.0, 205.0, 714.0, 36.0], shoonya_1sFS7ZGCX9TQHH, 5713247]
[paragraph, [51.0, 241.0, 714.0, 36.0], shoonya_1sFS7ZGCX9TQHH, 5713247]
[paragraph, [51.0, 277.0, 714.0, 36.0], shoonya_1sFS7ZGCX9TQHH, 5713247]
[paragraph, [51.0, 313.0, 714.0, 36.0], shoonya_1sFS7ZGCX9TQHH, 5713247]
[paragraph, [766.0, 104.0, 702.0, 36.0], shoonya_3sREAIMJZZHEGC, 5713247]
[paragraph, [766.0, 140.0, 702.0, 36.0], shoonya_3sREAIMJZZHEGC, 5713247]
[paragraph, [766.0, 176.0, 702.0, 36.0], shoonya_3sREAIMJZZHEGC, 5713247]
[paragraph, [766.0, 212.0, 702.0, 36.0], shoonya_3sREAIMJZZHEGC, 5713247]
[paragraph, [766.0, 248.0, 702.0, 36.0], shoonya_3sREAIMJZZHEGC, 5713247]
[paragraph, [766.0, 284.0, 702.0, 36.0], shoonya_3sREAIMJZZHEGC, 5713247]
[paragraph, [766.0, 320.0, 702.0, 36.0], shoonya_3sREAIMJZZHEGC, 5713247]
[paragraph, [56.0, 382.0, 710.0, 36.0], shoonya_2sM6AYB6RXS9MP, 5713247]
[paragraph, [56.0, 418.0, 710.0, 36.0], shoonya_2sM6AYB6RXS9MP, 5713247]
[paragraph, [56.0, 454.0, 710.0, 36.0], shoonya_2sM6AYB6RXS9MP, 5713247]
[paragraph, [56.0, 490.0, 710.0, 36.0], shoonya_2sM6AYB6RXS9MP, 5713247]
[paragraph, [56.0, 526.0, 710.0, 36.0], shoonya_2sM6AYB6RXS9MP, 5713247]
[paragraph, [56.0, 562.0, 710.0, 36.0], shoonya_2sM6AYB6RXS9MP, 5713247]
[author, [1089.0, 385.0, 373.0, 36.0], lZm3KHpDsp, 5713247]
[paragraph, [768.0, 421.0, 712.0, 36.0], shoonya_8sWLDM2RNXK8FY, 5713247]
[paragraph, [768.0, 457.0, 712.0, 36.0], shoonya_8sWLDM2RNXK8FY, 5713247]
[paragraph, [768.0, 493.0, 712.0, 36.0], shoonya_8sWLDM2RNXK8FY, 5713247]
[paragraph, [768.0, 529.0, 712.0, 36.0], shoonya_8sWLDM2RNXK8FY, 5713247]
[paragraph, [768.0, 565.0, 712.0, 36.0], shoonya_8sWLDM2RNXK8FY, 5713247]
[paragraph, [768.0, 601.0, 712.0, 36.0], shoonya_8sWLDM2RNXK8FY, 5713247]
[paragraph, [768.0, 637.0, 712.0, 36.0], shoonya_8sWLDM2RNXK8FY, 5713247]
[paragraph, [768.0, 673.0, 712.0, 36.0], shoonya_8sWLDM2RNXK8FY, 5713247]
[paragraph, [768.0, 709.0, 712.0, 36.0], shoonya_8sWLDM2RNXK8FY, 5713247]
[paragraph, [768.0, 745.0, 712.0, 36.0], shoonya_8sWLDM2RNXK8FY, 5713247]
[paragraph, [58.0, 615.0, 711.0, 36.0], shoonya_0sLI7H27HR8DOK, 5713247]
[paragraph, [58.0, 651.0, 711.0, 36.0], shoonya_0sLI7H27HR8DOK, 5713247]
[paragraph, [58.0, 687.0, 711.0, 36.0], shoonya_0sLI7H27HR8DOK, 5713247]
[paragraph, [58.0, 723.0, 711.0, 36.0], shoonya_0sLI7H27HR8DOK, 5713247]
[paragraph, [58.0, 759.0, 711.0, 36.0], shoonya_0sLI7H27HR8DOK, 5713247]
[paragraph, [58.0, 795.0, 711.0, 36.0], shoonya_0sLI7H27HR8DOK, 5713247]
[paragraph, [58.0, 831.0, 711.0, 36.0], shoonya_0sLI7H27HR8DOK, 5713247]
[paragraph, [58.0, 867.0, 711.0, 36.0], shoonya_0sLI7H27HR8DOK, 5713247]
[paragraph, [58.0, 903.0, 711.0, 36.0], shoonya_0sLI7H27HR8DOK, 5713247]
[paragraph, [58.0, 939.0, 711.0, 36.0], shoonya_0sLI7H27HR8DOK, 5713247]
[paragraph, [58.0, 975.0, 711.0, 36.0], shoonya_0sLI7H27HR8DOK, 5713247]
[author, [1217.0, 793.0, 239.0, 36.0], ER3ZrwXusH, 5713247]
[paragraph, [768.0, 832.0, 729.0, 36.0], QMKyr80xWg, 5713247]
[paragraph, [768.0, 868.0, 729.0, 36.0], QMKyr80xWg, 5713247]
[paragraph, [768.0, 904.0, 729.0, 36.0], QMKyr80xWg, 5713247]
