[1034, 680]
[folio, [220.0, 66.0, 218.0, 18.0], y5Ny0lcZEK, 5740068]
[paragraph, [61.0, 120.0, 558.0, 18.0], eKyn4atZDg, 5740068]
[paragraph, [61.0, 138.0, 558.0, 18.0], eKyn4atZDg, 5740068]
[paragraph, [61.0, 156.0, 558.0, 18.0], eKyn4atZDg, 5740068]
[paragraph, [61.0, 174.0, 558.0, 18.0], eKyn4atZDg, 5740068]
[paragraph, [61.0, 192.0, 558.0, 18.0], eKyn4atZDg, 5740068]
[paragraph, [61.0, 210.0, 558.0, 18.0], eKyn4atZDg, 5740068]
[paragraph, [61.0, 228.0, 558.0, 18.0], eKyn4atZDg, 5740068]
[paragraph, [61.0, 246.0, 558.0, 18.0], eKyn4atZDg, 5740068]
[paragraph, [61.0, 264.0, 558.0, 18.0], eKyn4atZDg, 5740068]
[paragraph, [61.0, 282.0, 558.0, 18.0], eKyn4atZDg, 5740068]
[paragraph, [61.0, 300.0, 558.0, 18.0], eKyn4atZDg, 5740068]
[paragraph, [61.0, 318.0, 558.0, 18.0], eKyn4atZDg, 5740068]
[paragraph, [61.0, 336.0, 558.0, 18.0], eKyn4atZDg, 5740068]
[paragraph, [61.0, 354.0, 558.0, 18.0], eKyn4atZDg, 5740068]
[paragraph, [61.0, 372.0, 558.0, 18.0], eKyn4atZDg, 5740068]
[paragraph, [65.0, 420.0, 547.0, 18.0], RKGxXQSsOU, 5740068]
[paragraph, [65.0, 438.0, 547.0, 18.0], RKGxXQSsOU, 5740068]
[paragraph, [65.0, 456.0, 547.0, 18.0], RKGxXQSsOU, 5740068]
[paragraph, [65.0, 474.0, 547.0, 18.0], RKGxXQSsOU, 5740068]
[paragraph, [65.0, 492.0, 547.0, 18.0], RKGxXQSsOU, 5740068]
[paragraph, [65.0, 510.0, 547.0, 18.0], RKGxXQSsOU, 5740068]
[paragraph, [65.0, 528.0, 547.0, 18.0], RKGxXQSsOU, 5740068]
[paragraph, [65.0, 546.0, 547.0, 18.0], RKGxXQSsOU, 5740068]
[paragraph, [65.0, 564.0, 547.0, 18.0], RKGxXQSsOU, 5740068]
[paragraph, [65.0, 582.0, 547.0, 18.0], RKGxXQSsOU, 5740068]
[paragraph, [65.0, 600.0, 547.0, 18.0], RKGxXQSsOU, 5740068]
[paragraph, [65.0, 618.0, 547.0, 18.0], RKGxXQSsOU, 5740068]
[paragraph, [65.0, 636.0, 547.0, 18.0], RKGxXQSsOU, 5740068]
[paragraph, [65.0, 654.0, 547.0, 18.0], RKGxXQSsOU, 5740068]
[paragraph, [65.0, 672.0, 547.0, 18.0], RKGxXQSsOU, 5740068]
[paragraph, [65.0, 690.0, 547.0, 18.0], RKGxXQSsOU, 5740068]
[paragraph, [65.0, 708.0, 547.0, 18.0], RKGxXQSsOU, 5740068]
[paragraph, [65.0, 726.0, 547.0, 18.0], RKGxXQSsOU, 5740068]
[paragraph, [65.0, 744.0, 547.0, 18.0], RKGxXQSsOU, 5740068]
[paragraph, [65.0, 762.0, 547.0, 18.0], RKGxXQSsOU, 5740068]
[paragraph, [65.0, 780.0, 547.0, 18.0], RKGxXQSsOU, 5740068]
[paragraph, [65.0, 798.0, 547.0, 18.0], RKGxXQSsOU, 5740068]
[paragraph, [65.0, 816.0, 547.0, 18.0], RKGxXQSsOU, 5740068]
[paragraph, [65.0, 834.0, 547.0, 18.0], RKGxXQSsOU, 5740068]
[paragraph, [65.0, 852.0, 547.0, 18.0], RKGxXQSsOU, 5740068]
[paragraph, [68.0, 888.0, 543.0, 18.0], PdGduh8jKQ, 5740068]
[paragraph, [68.0, 906.0, 543.0, 18.0], PdGduh8jKQ, 5740068]
[paragraph, [68.0, 924.0, 543.0, 18.0], PdGduh8jKQ, 5740068]
[paragraph, [68.0, 942.0, 543.0, 18.0], PdGduh8jKQ, 5740068]
