[3509, 2480]
[paragraph, [350.0, 391.0, 1803.0, 52.5], shoonya_0sUTHKMT1IM3UH, 5724453]
[paragraph, [350.0, 443.5, 1803.0, 52.5], shoonya_0sUTHKMT1IM3UH, 5724453]
[paragraph, [350.0, 496.0, 1803.0, 52.5], shoonya_0sUTHKMT1IM3UH, 5724453]
[paragraph, [350.0, 548.5, 1803.0, 52.5], shoonya_0sUTHKMT1IM3UH, 5724453]
[paragraph, [344.0, 653.0, 1810.0, 52.5], _M6Ol97xp7, 5724453]
[paragraph, [344.0, 705.5, 1810.0, 52.5], _M6Ol97xp7, 5724453]
[paragraph, [344.0, 758.0, 1810.0, 52.5], _M6Ol97xp7, 5724453]
[paragraph, [344.0, 810.5, 1810.0, 52.5], _M6Ol97xp7, 5724453]
[paragraph, [344.0, 863.0, 1810.0, 52.5], _M6Ol97xp7, 5724453]
[paragraph, [344.0, 915.5, 1810.0, 52.5], _M6Ol97xp7, 5724453]
[paragraph, [344.0, 968.0, 1810.0, 52.5], _M6Ol97xp7, 5724453]
[paragraph, [344.0, 1020.5, 1810.0, 52.5], _M6Ol97xp7, 5724453]
[paragraph, [344.0, 1073.0, 1810.0, 52.5], _M6Ol97xp7, 5724453]
[paragraph, [344.0, 1125.5, 1810.0, 52.5], _M6Ol97xp7, 5724453]
[paragraph, [344.0, 1178.0, 1810.0, 52.5], _M6Ol97xp7, 5724453]
[paragraph, [344.0, 1230.5, 1810.0, 52.5], _M6Ol97xp7, 5724453]
[paragraph, [344.0, 1283.0, 1810.0, 52.5], _M6Ol97xp7, 5724453]
[paragraph, [344.0, 1335.5, 1810.0, 52.5], _M6Ol97xp7, 5724453]
[paragraph, [344.0, 1388.0, 1810.0, 52.5], _M6Ol97xp7, 5724453]
[paragraph, [344.0, 1440.5, 1810.0, 52.5], _M6Ol97xp7, 5724453]
[paragraph, [344.0, 1493.0, 1810.0, 52.5], _M6Ol97xp7, 5724453]
[paragraph, [344.0, 1545.5, 1810.0, 52.5], _M6Ol97xp7, 5724453]
[paragraph, [344.0, 1638.0, 1801.0, 52.5], SX1m30M4Qm, 5724453]
[paragraph, [344.0, 1690.5, 1801.0, 52.5], SX1m30M4Qm, 5724453]
[paragraph, [344.0, 1743.0, 1801.0, 52.5], SX1m30M4Qm, 5724453]
[paragraph, [344.0, 1795.5, 1801.0, 52.5], SX1m30M4Qm, 5724453]
[paragraph, [344.0, 1848.0, 1801.0, 52.5], SX1m30M4Qm, 5724453]
[paragraph, [344.0, 1900.5, 1801.0, 52.5], SX1m30M4Qm, 5724453]
[paragraph, [344.0, 1953.0, 1801.0, 52.5], SX1m30M4Qm, 5724453]
[paragraph, [344.0, 2005.5, 1801.0, 52.5], SX1m30M4Qm, 5724453]
[paragraph, [344.0, 2058.0, 1801.0, 52.5], SX1m30M4Qm, 5724453]
[paragraph, [344.0, 2110.5, 1801.0, 52.5], SX1m30M4Qm, 5724453]
[paragraph, [344.0, 2163.0, 1801.0, 52.5], SX1m30M4Qm, 5724453]
[paragraph, [344.0, 2215.5, 1801.0, 52.5], SX1m30M4Qm, 5724453]
[paragraph, [344.0, 2268.0, 1801.0, 52.5], SX1m30M4Qm, 5724453]
[paragraph, [344.0, 2320.5, 1801.0, 52.5], SX1m30M4Qm, 5724453]
[paragraph, [344.0, 2373.0, 1801.0, 52.5], SX1m30M4Qm, 5724453]
[paragraph, [344.0, 2425.5, 1801.0, 52.5], SX1m30M4Qm, 5724453]
[paragraph, [344.0, 2478.0, 1801.0, 52.5], SX1m30M4Qm, 5724453]
[paragraph, [344.0, 2530.5, 1801.0, 52.5], SX1m30M4Qm, 5724453]
[paragraph, [344.0, 2583.0, 1801.0, 52.5], SX1m30M4Qm, 5724453]
[paragraph, [344.0, 2635.5, 1801.0, 52.5], SX1m30M4Qm, 5724453]
[paragraph, [344.0, 2688.0, 1801.0, 52.5], SX1m30M4Qm, 5724453]
[paragraph, [344.0, 2740.5, 1801.0, 52.5], SX1m30M4Qm, 5724453]
[paragraph, [347.0, 2846.0, 1804.0, 52.5], MOa-MhZN_W, 5724453]
[paragraph, [347.0, 2898.5, 1804.0, 52.5], MOa-MhZN_W, 5724453]
[paragraph, [347.0, 2951.0, 1804.0, 52.5], MOa-MhZN_W, 5724453]
[paragraph, [347.0, 3003.5, 1804.0, 52.5], MOa-MhZN_W, 5724453]
