[979, 597]
[section-title, [225.0, 19.0, 164.0, 30.0], _f82WoFfDk, 5756439]
[folio, [16.0, 83.0, 183.0, 18.0], FaV0XXIqem, 5756439]
[paragraph, [14.0, 114.0, 564.0, 18.0], 63RRGo5XT-, 5756439]
[paragraph, [14.0, 132.0, 564.0, 18.0], 63RRGo5XT-, 5756439]
[ordered-list, [16.0, 173.0, 580.0, 18.0], MF1PM9O6zr, 5756439]
[ordered-list, [16.0, 191.0, 580.0, 18.0], MF1PM9O6zr, 5756439]
[ordered-list, [16.0, 209.0, 580.0, 18.0], MF1PM9O6zr, 5756439]
[ordered-list, [16.0, 227.0, 580.0, 18.0], MF1PM9O6zr, 5756439]
[ordered-list, [16.0, 245.0, 580.0, 18.0], MF1PM9O6zr, 5756439]
[ordered-list, [16.0, 263.0, 580.0, 18.0], MF1PM9O6zr, 5756439]
[ordered-list, [16.0, 281.0, 580.0, 18.0], MF1PM9O6zr, 5756439]
[ordered-list, [16.0, 299.0, 580.0, 18.0], MF1PM9O6zr, 5756439]
[ordered-list, [16.0, 317.0, 580.0, 18.0], MF1PM9O6zr, 5756439]
[ordered-list, [16.0, 335.0, 580.0, 18.0], MF1PM9O6zr, 5756439]
[ordered-list, [16.0, 353.0, 580.0, 18.0], MF1PM9O6zr, 5756439]
[ordered-list, [16.0, 371.0, 580.0, 18.0], MF1PM9O6zr, 5756439]
[ordered-list, [16.0, 389.0, 580.0, 18.0], MF1PM9O6zr, 5756439]
[ordered-list, [16.0, 407.0, 580.0, 18.0], MF1PM9O6zr, 5756439]
[ordered-list, [16.0, 425.0, 580.0, 18.0], MF1PM9O6zr, 5756439]
[ordered-list, [16.0, 443.0, 580.0, 18.0], MF1PM9O6zr, 5756439]
[ordered-list, [16.0, 461.0, 580.0, 18.0], MF1PM9O6zr, 5756439]
[ordered-list, [16.0, 479.0, 580.0, 18.0], MF1PM9O6zr, 5756439]
[ordered-list, [16.0, 497.0, 580.0, 18.0], MF1PM9O6zr, 5756439]
[ordered-list, [16.0, 515.0, 580.0, 18.0], MF1PM9O6zr, 5756439]
[ordered-list, [16.0, 533.0, 580.0, 18.0], MF1PM9O6zr, 5756439]
[ordered-list, [16.0, 551.0, 580.0, 18.0], MF1PM9O6zr, 5756439]
[ordered-list, [16.0, 569.0, 580.0, 18.0], MF1PM9O6zr, 5756439]
[ordered-list, [16.0, 587.0, 580.0, 18.0], MF1PM9O6zr, 5756439]
[ordered-list, [16.0, 605.0, 580.0, 18.0], MF1PM9O6zr, 5756439]
[ordered-list, [16.0, 623.0, 580.0, 18.0], MF1PM9O6zr, 5756439]
[sub-ordered-list, [23.0, 261.0, 553.0, 18.0], Zxmr2OUarJ, 5756439]
[sub-ordered-list, [23.0, 279.0, 553.0, 18.0], Zxmr2OUarJ, 5756439]
[sub-ordered-list, [23.0, 297.0, 553.0, 18.0], Zxmr2OUarJ, 5756439]
[sub-ordered-list, [23.0, 315.0, 553.0, 18.0], Zxmr2OUarJ, 5756439]
[sub-ordered-list, [23.0, 333.0, 553.0, 18.0], Zxmr2OUarJ, 5756439]
[sub-ordered-list, [21.0, 501.0, 567.0, 18.0], bmBrrZG9_p, 5756439]
[sub-ordered-list, [21.0, 519.0, 567.0, 18.0], bmBrrZG9_p, 5756439]
[sub-ordered-list, [21.0, 537.0, 567.0, 18.0], bmBrrZG9_p, 5756439]
[sub-ordered-list, [21.0, 555.0, 567.0, 18.0], bmBrrZG9_p, 5756439]
[sub-ordered-list, [21.0, 573.0, 567.0, 18.0], bmBrrZG9_p, 5756439]
[sub-ordered-list, [21.0, 591.0, 567.0, 18.0], bmBrrZG9_p, 5756439]
[paragraph, [336.0, 651.0, 149.0, 18.0], 3p3HoFrV0D, 5756439]
[paragraph, [336.0, 669.0, 149.0, 18.0], 3p3HoFrV0D, 5756439]
[paragraph, [41.0, 693.0, 381.0, 18.0], bHSI26ErEO, 5756439]
[ordered-list, [35.0, 714.0, 439.0, 18.0], BLsVA6r59g, 5756439]
[ordered-list, [35.0, 732.0, 439.0, 18.0], BLsVA6r59g, 5756439]
[ordered-list, [35.0, 750.0, 439.0, 18.0], BLsVA6r59g, 5756439]
[ordered-list, [35.0, 768.0, 439.0, 18.0], BLsVA6r59g, 5756439]
[ordered-list, [35.0, 786.0, 439.0, 18.0], BLsVA6r59g, 5756439]
[ordered-list, [35.0, 804.0, 439.0, 18.0], BLsVA6r59g, 5756439]
[ordered-list, [35.0, 822.0, 439.0, 18.0], BLsVA6r59g, 5756439]
[ordered-list, [35.0, 840.0, 439.0, 18.0], BLsVA6r59g, 5756439]
[ordered-list, [35.0, 858.0, 439.0, 18.0], BLsVA6r59g, 5756439]
[ordered-list, [35.0, 876.0, 439.0, 18.0], BLsVA6r59g, 5756439]
[ordered-list, [35.0, 894.0, 439.0, 18.0], BLsVA6r59g, 5756439]
[paragraph, [425.0, 909.0, 74.0, 18.0], g2kBm9Ectj, 5756439]
[paragraph, [377.0, 927.0, 152.0, 18.0], nNaCYzRVuC, 5756439]
[paragraph, [360.0, 946.0, 195.0, 18.0], jthWIlh25P, 5756439]
