[1253, 865]
[chapter-title, [319.0, 35.0, 319.0, 30.0], shoonya_0sQGG7BF31ZO7J, 5776684]
[paragraph, [159.0, 77.0, 648.0, 18.0], THIRhiCH_d, 5776684]
[paragraph, [159.0, 95.0, 648.0, 18.0], THIRhiCH_d, 5776684]
[paragraph, [160.0, 134.0, 653.0, 18.0], anEOZxNeqe, 5776684]
[paragraph, [160.0, 152.0, 653.0, 18.0], anEOZxNeqe, 5776684]
[paragraph, [161.0, 185.0, 651.0, 18.0], lv1oLvdtYh, 5776684]
[paragraph, [161.0, 203.0, 651.0, 18.0], lv1oLvdtYh, 5776684]
[paragraph, [161.0, 230.0, 654.0, 18.0], 8C2i41aqwp, 5776684]
[paragraph, [161.0, 248.0, 654.0, 18.0], 8C2i41aqwp, 5776684]
[paragraph, [161.0, 266.0, 654.0, 18.0], 8C2i41aqwp, 5776684]
[paragraph, [161.0, 284.0, 654.0, 18.0], 8C2i41aqwp, 5776684]
[paragraph, [161.0, 311.0, 650.0, 18.0], zpEjcdGq2s, 5776684]
[paragraph, [161.0, 329.0, 650.0, 18.0], zpEjcdGq2s, 5776684]
[paragraph, [160.0, 361.0, 420.0, 18.0], 7IyWXHI7Ej, 5776684]
[paragraph, [159.0, 386.0, 611.0, 18.0], OZjr6XveG7, 5776684]
[paragraph, [159.0, 404.0, 611.0, 18.0], OZjr6XveG7, 5776684]
[paragraph, [160.0, 433.0, 545.0, 18.0], ItMWVaPatm, 5776684]
[paragraph, [154.0, 460.0, 649.0, 18.0], rTBmW7wHh4, 5776684]
[paragraph, [154.0, 478.0, 649.0, 18.0], rTBmW7wHh4, 5776684]
[paragraph, [154.0, 496.0, 649.0, 18.0], rTBmW7wHh4, 5776684]
[paragraph, [154.0, 514.0, 649.0, 18.0], rTBmW7wHh4, 5776684]
[paragraph, [154.0, 532.0, 649.0, 18.0], rTBmW7wHh4, 5776684]
[paragraph, [155.0, 561.0, 654.0, 18.0], gfnKltVNFQ, 5776684]
[paragraph, [155.0, 579.0, 654.0, 18.0], gfnKltVNFQ, 5776684]
[paragraph, [156.0, 611.0, 115.0, 18.0], MJS7ZJDAs6, 5776684]
[paragraph, [155.0, 640.0, 653.0, 18.0], iwnCSQpEBh, 5776684]
[paragraph, [155.0, 658.0, 653.0, 18.0], iwnCSQpEBh, 5776684]
[paragraph, [155.0, 676.0, 653.0, 18.0], iwnCSQpEBh, 5776684]
[paragraph, [156.0, 713.0, 655.0, 18.0], GI9vSVGD49, 5776684]
[paragraph, [156.0, 731.0, 655.0, 18.0], GI9vSVGD49, 5776684]
[paragraph, [158.0, 764.0, 569.0, 18.0], GRNov_yeo4, 5776684]
[paragraph, [158.0, 782.0, 569.0, 18.0], GRNov_yeo4, 5776684]
[paragraph, [158.0, 816.0, 496.0, 18.0], QCsCUfd6tH, 5776684]
[paragraph, [159.0, 835.0, 653.0, 18.0], HZ6rA-Zi_W, 5776684]
[paragraph, [159.0, 853.0, 653.0, 18.0], HZ6rA-Zi_W, 5776684]
[paragraph, [161.0, 888.0, 514.0, 18.0], mz6L8RxeA1, 5776684]
[paragraph, [161.0, 914.0, 657.0, 18.0], QY52ss-fD2, 5776684]
[paragraph, [161.0, 932.0, 657.0, 18.0], QY52ss-fD2, 5776684]
[paragraph, [161.0, 950.0, 657.0, 18.0], QY52ss-fD2, 5776684]
[paragraph, [161.0, 968.0, 657.0, 18.0], QY52ss-fD2, 5776684]
[paragraph, [161.0, 986.0, 657.0, 18.0], QY52ss-fD2, 5776684]
[paragraph, [155.0, 1017.0, 666.0, 18.0], eHbSXbjLE6, 5776684]
[paragraph, [155.0, 1035.0, 666.0, 18.0], eHbSXbjLE6, 5776684]
[paragraph, [155.0, 1053.0, 666.0, 18.0], eHbSXbjLE6, 5776684]
[paragraph, [155.0, 1071.0, 666.0, 18.0], eHbSXbjLE6, 5776684]
