[3509, 2482]
[folio, [884.0, 375.0, 446.0, 52.5], G0qEmG2Kg2, 5691988]
[paragraph, [158.0, 499.0, 493.0, 52.5], lYSp9zWnjB, 5691988]
[paragraph, [158.0, 551.5, 493.0, 52.5], lYSp9zWnjB, 5691988]
[paragraph, [136.0, 601.0, 1877.0, 52.5], htYn6S0dvV, 5691988]
[paragraph, [136.0, 653.5, 1877.0, 52.5], htYn6S0dvV, 5691988]
[paragraph, [136.0, 706.0, 1877.0, 52.5], htYn6S0dvV, 5691988]
[paragraph, [111.0, 772.0, 1913.0, 52.5], lub0bVE_EM, 5691988]
[paragraph, [111.0, 824.5, 1913.0, 52.5], lub0bVE_EM, 5691988]
[paragraph, [111.0, 877.0, 1913.0, 52.5], lub0bVE_EM, 5691988]
[paragraph, [111.0, 929.5, 1913.0, 52.5], lub0bVE_EM, 5691988]
[paragraph, [124.0, 1020.0, 1902.0, 52.5], 5Fr_XumyFY, 5691988]
[paragraph, [124.0, 1072.5, 1902.0, 52.5], 5Fr_XumyFY, 5691988]
[paragraph, [124.0, 1125.0, 1902.0, 52.5], 5Fr_XumyFY, 5691988]
[paragraph, [139.0, 1200.0, 1885.0, 52.5], b_TBNKCwAZ, 5691988]
[paragraph, [139.0, 1252.5, 1885.0, 52.5], b_TBNKCwAZ, 5691988]
[paragraph, [139.0, 1305.0, 1885.0, 52.5], b_TBNKCwAZ, 5691988]
[paragraph, [139.0, 1357.5, 1885.0, 52.5], b_TBNKCwAZ, 5691988]
[paragraph, [139.0, 1410.0, 1885.0, 52.5], b_TBNKCwAZ, 5691988]
[paragraph, [139.0, 1462.5, 1885.0, 52.5], b_TBNKCwAZ, 5691988]
[paragraph, [164.0, 1532.0, 1889.0, 52.5], jkJsOE-5t9, 5691988]
[paragraph, [164.0, 1584.5, 1889.0, 52.5], jkJsOE-5t9, 5691988]
[paragraph, [164.0, 1637.0, 1889.0, 52.5], jkJsOE-5t9, 5691988]
[paragraph, [192.0, 1700.0, 1827.0, 52.5], shoonya_0sGU3TZ6OYF5JT, 5691988]
[paragraph, [192.0, 1752.5, 1827.0, 52.5], shoonya_0sGU3TZ6OYF5JT, 5691988]
[paragraph, [192.0, 1805.0, 1827.0, 52.5], shoonya_0sGU3TZ6OYF5JT, 5691988]
[paragraph, [192.0, 1857.5, 1827.0, 52.5], shoonya_0sGU3TZ6OYF5JT, 5691988]
[paragraph, [192.0, 1910.0, 1827.0, 52.5], shoonya_0sGU3TZ6OYF5JT, 5691988]
[paragraph, [204.0, 1960.0, 1821.0, 52.5], q8g1B3apLB, 5691988]
[paragraph, [204.0, 2012.5, 1821.0, 52.5], q8g1B3apLB, 5691988]
[paragraph, [204.0, 2065.0, 1821.0, 52.5], q8g1B3apLB, 5691988]
[paragraph, [167.0, 2128.0, 1855.0, 52.5], Ts_qykaisX, 5691988]
[paragraph, [167.0, 2180.5, 1855.0, 52.5], Ts_qykaisX, 5691988]
[paragraph, [167.0, 2233.0, 1855.0, 52.5], Ts_qykaisX, 5691988]
[paragraph, [167.0, 2285.5, 1855.0, 52.5], Ts_qykaisX, 5691988]
[paragraph, [167.0, 2338.0, 1855.0, 52.5], Ts_qykaisX, 5691988]
[paragraph, [167.0, 2390.5, 1855.0, 52.5], Ts_qykaisX, 5691988]
[paragraph, [195.0, 2466.0, 1852.0, 52.5], FJ88XvPtkL, 5691988]
[paragraph, [195.0, 2518.5, 1852.0, 52.5], FJ88XvPtkL, 5691988]
[paragraph, [195.0, 2571.0, 1852.0, 52.5], FJ88XvPtkL, 5691988]
[paragraph, [189.0, 2637.0, 1803.0, 52.5], qDI3mpDXMe, 5691988]
[paragraph, [189.0, 2689.5, 1803.0, 52.5], qDI3mpDXMe, 5691988]
[paragraph, [189.0, 2742.0, 1803.0, 52.5], qDI3mpDXMe, 5691988]
[paragraph, [294.0, 2807.0, 1572.0, 52.5], kOkzX1sk92, 5691988]
[paragraph, [297.0, 2888.0, 1464.0, 52.5], M4v2Gq2Dl8, 5691988]
[paragraph, [170.0, 2978.0, 1811.0, 52.5], ac5ZSrnC5L, 5691988]
[paragraph, [170.0, 3030.5, 1811.0, 52.5], ac5ZSrnC5L, 5691988]
[paragraph, [170.0, 3083.0, 1811.0, 52.5], ac5ZSrnC5L, 5691988]
[paragraph, [170.0, 3135.5, 1811.0, 52.5], ac5ZSrnC5L, 5691988]
[paragraph, [307.0, 3232.0, 1743.0, 52.5], GLrVASJ6gK, 5691988]
[paragraph, [307.0, 3284.5, 1743.0, 52.5], GLrVASJ6gK, 5691988]
