[792, 612]
[folio, [128.0, 55.0, 95.0, 18.0], fRyymqviGT, 6492427]
[paragraph, [91.0, 82.0, 406.0, 18.0], HUcCdPueFG, 6492427]
[paragraph, [91.0, 100.0, 406.0, 18.0], HUcCdPueFG, 6492427]
[paragraph, [91.0, 118.0, 406.0, 18.0], HUcCdPueFG, 6492427]
[paragraph, [91.0, 136.0, 406.0, 18.0], HUcCdPueFG, 6492427]
[paragraph, [91.0, 154.0, 406.0, 18.0], HUcCdPueFG, 6492427]
[paragraph, [91.0, 172.0, 406.0, 18.0], HUcCdPueFG, 6492427]
[paragraph, [91.0, 190.0, 406.0, 18.0], HUcCdPueFG, 6492427]
[paragraph, [87.0, 227.0, 417.0, 18.0], YEZakWaeG5, 6492427]
[paragraph, [87.0, 245.0, 417.0, 18.0], YEZakWaeG5, 6492427]
[paragraph, [87.0, 263.0, 417.0, 18.0], YEZakWaeG5, 6492427]
[paragraph, [87.0, 281.0, 417.0, 18.0], YEZakWaeG5, 6492427]
[paragraph, [87.0, 299.0, 417.0, 18.0], YEZakWaeG5, 6492427]
[paragraph, [87.0, 317.0, 417.0, 18.0], YEZakWaeG5, 6492427]
[paragraph, [87.0, 335.0, 417.0, 18.0], YEZakWaeG5, 6492427]
[paragraph, [87.0, 353.0, 417.0, 18.0], YEZakWaeG5, 6492427]
[paragraph, [87.0, 371.0, 417.0, 18.0], YEZakWaeG5, 6492427]
[paragraph, [87.0, 389.0, 417.0, 18.0], YEZakWaeG5, 6492427]
[paragraph, [87.0, 407.0, 417.0, 18.0], YEZakWaeG5, 6492427]
[paragraph, [87.0, 425.0, 417.0, 18.0], YEZakWaeG5, 6492427]
[paragraph, [87.0, 443.0, 417.0, 18.0], YEZakWaeG5, 6492427]
[paragraph, [87.0, 461.0, 417.0, 18.0], YEZakWaeG5, 6492427]
[paragraph, [87.0, 479.0, 417.0, 18.0], YEZakWaeG5, 6492427]
[paragraph, [87.0, 497.0, 417.0, 18.0], YEZakWaeG5, 6492427]
[paragraph, [87.0, 515.0, 417.0, 18.0], YEZakWaeG5, 6492427]
[paragraph, [87.0, 533.0, 417.0, 18.0], YEZakWaeG5, 6492427]
[paragraph, [93.0, 567.0, 411.0, 18.0], jL46IZ2Jll, 6492427]
[paragraph, [93.0, 585.0, 411.0, 18.0], jL46IZ2Jll, 6492427]
[paragraph, [93.0, 603.0, 411.0, 18.0], jL46IZ2Jll, 6492427]
[paragraph, [93.0, 621.0, 411.0, 18.0], jL46IZ2Jll, 6492427]
[paragraph, [93.0, 639.0, 411.0, 18.0], jL46IZ2Jll, 6492427]
[paragraph, [93.0, 657.0, 411.0, 18.0], jL46IZ2Jll, 6492427]
[paragraph, [93.0, 675.0, 411.0, 18.0], jL46IZ2Jll, 6492427]
[paragraph, [139.0, 714.0, 369.0, 18.0], NF0Apq-J6V, 6492427]
