[2165, 1429]
[folio, [164.0, 151.0, 114.0, 36.0], aZKz2Q7VFp, 5655190]
[paragraph, [160.0, 250.0, 1170.0, 36.0], shoonya_0sSLCAF25DPLS9, 5655190]
[paragraph, [160.0, 286.0, 1170.0, 36.0], shoonya_0sSLCAF25DPLS9, 5655190]
[paragraph, [160.0, 322.0, 1170.0, 36.0], shoonya_0sSLCAF25DPLS9, 5655190]
[paragraph, [160.0, 358.0, 1170.0, 36.0], shoonya_0sSLCAF25DPLS9, 5655190]
[paragraph, [160.0, 394.0, 1170.0, 36.0], shoonya_0sSLCAF25DPLS9, 5655190]
[paragraph, [160.0, 430.0, 1170.0, 36.0], shoonya_0sSLCAF25DPLS9, 5655190]
[paragraph, [160.0, 466.0, 1170.0, 36.0], shoonya_0sSLCAF25DPLS9, 5655190]
[paragraph, [160.0, 502.0, 1170.0, 36.0], shoonya_0sSLCAF25DPLS9, 5655190]
[paragraph, [160.0, 538.0, 1170.0, 36.0], shoonya_0sSLCAF25DPLS9, 5655190]
[paragraph, [160.0, 574.0, 1170.0, 36.0], shoonya_0sSLCAF25DPLS9, 5655190]
[paragraph, [160.0, 610.0, 1170.0, 36.0], shoonya_0sSLCAF25DPLS9, 5655190]
[paragraph, [160.0, 646.0, 1170.0, 36.0], shoonya_0sSLCAF25DPLS9, 5655190]
[paragraph, [160.0, 682.0, 1170.0, 36.0], shoonya_0sSLCAF25DPLS9, 5655190]
[paragraph, [169.0, 756.0, 1170.0, 36.0], shoonya_2s9FK2KZXF8XRQ, 5655190]
[paragraph, [169.0, 792.0, 1170.0, 36.0], shoonya_2s9FK2KZXF8XRQ, 5655190]
[paragraph, [169.0, 828.0, 1170.0, 36.0], shoonya_2s9FK2KZXF8XRQ, 5655190]
[paragraph, [169.0, 864.0, 1170.0, 36.0], shoonya_2s9FK2KZXF8XRQ, 5655190]
[paragraph, [169.0, 900.0, 1170.0, 36.0], shoonya_2s9FK2KZXF8XRQ, 5655190]
[paragraph, [169.0, 936.0, 1170.0, 36.0], shoonya_2s9FK2KZXF8XRQ, 5655190]
[paragraph, [169.0, 972.0, 1170.0, 36.0], shoonya_2s9FK2KZXF8XRQ, 5655190]
[paragraph, [169.0, 1008.0, 1170.0, 36.0], shoonya_2s9FK2KZXF8XRQ, 5655190]
[paragraph, [169.0, 1044.0, 1170.0, 36.0], shoonya_2s9FK2KZXF8XRQ, 5655190]
[paragraph, [169.0, 1080.0, 1170.0, 36.0], shoonya_2s9FK2KZXF8XRQ, 5655190]
[paragraph, [169.0, 1170.0, 1173.0, 36.0], shoonya_3sMZ93A5Q7YQFN, 5655190]
[paragraph, [169.0, 1206.0, 1173.0, 36.0], shoonya_3sMZ93A5Q7YQFN, 5655190]
[paragraph, [169.0, 1242.0, 1173.0, 36.0], shoonya_3sMZ93A5Q7YQFN, 5655190]
[paragraph, [169.0, 1278.0, 1173.0, 36.0], shoonya_3sMZ93A5Q7YQFN, 5655190]
[paragraph, [169.0, 1314.0, 1173.0, 36.0], shoonya_3sMZ93A5Q7YQFN, 5655190]
[paragraph, [169.0, 1350.0, 1173.0, 36.0], shoonya_3sMZ93A5Q7YQFN, 5655190]
[paragraph, [167.0, 1437.0, 1178.0, 36.0], shoonya_1s6PUBWJ83PSOO, 5655190]
[paragraph, [167.0, 1473.0, 1178.0, 36.0], shoonya_1s6PUBWJ83PSOO, 5655190]
[paragraph, [167.0, 1509.0, 1178.0, 36.0], shoonya_1s6PUBWJ83PSOO, 5655190]
[paragraph, [167.0, 1545.0, 1178.0, 36.0], shoonya_1s6PUBWJ83PSOO, 5655190]
[paragraph, [167.0, 1581.0, 1178.0, 36.0], shoonya_1s6PUBWJ83PSOO, 5655190]
[paragraph, [167.0, 1617.0, 1178.0, 36.0], shoonya_1s6PUBWJ83PSOO, 5655190]
[paragraph, [167.0, 1653.0, 1178.0, 36.0], shoonya_1s6PUBWJ83PSOO, 5655190]
[paragraph, [167.0, 1689.0, 1178.0, 36.0], shoonya_1s6PUBWJ83PSOO, 5655190]
[paragraph, [167.0, 1725.0, 1178.0, 36.0], shoonya_1s6PUBWJ83PSOO, 5655190]
[paragraph, [167.0, 1761.0, 1178.0, 36.0], shoonya_1s6PUBWJ83PSOO, 5655190]
[paragraph, [167.0, 1797.0, 1178.0, 36.0], shoonya_1s6PUBWJ83PSOO, 5655190]
[paragraph, [167.0, 1833.0, 1178.0, 36.0], shoonya_1s6PUBWJ83PSOO, 5655190]
[paragraph, [167.0, 1869.0, 1178.0, 36.0], shoonya_1s6PUBWJ83PSOO, 5655190]
[paragraph, [167.0, 1905.0, 1178.0, 36.0], shoonya_1s6PUBWJ83PSOO, 5655190]
[paragraph, [167.0, 1941.0, 1178.0, 36.0], shoonya_1s6PUBWJ83PSOO, 5655190]
[paragraph, [167.0, 1977.0, 1178.0, 36.0], shoonya_1s6PUBWJ83PSOO, 5655190]
