[1200, 825]
[paragraph, [134.0, 98.0, 551.0, 18.0], shoonya_2sF5E0XWSKRT6E, 5691050]
[paragraph, [134.0, 116.0, 551.0, 18.0], shoonya_2sF5E0XWSKRT6E, 5691050]
[paragraph, [134.0, 134.0, 551.0, 18.0], shoonya_2sF5E0XWSKRT6E, 5691050]
[paragraph, [134.0, 152.0, 551.0, 18.0], shoonya_2sF5E0XWSKRT6E, 5691050]
[paragraph, [134.0, 170.0, 551.0, 18.0], shoonya_2sF5E0XWSKRT6E, 5691050]
[paragraph, [134.0, 188.0, 551.0, 18.0], shoonya_2sF5E0XWSKRT6E, 5691050]
[paragraph, [134.0, 206.0, 551.0, 18.0], shoonya_2sF5E0XWSKRT6E, 5691050]
[paragraph, [134.0, 224.0, 551.0, 18.0], shoonya_2sF5E0XWSKRT6E, 5691050]
[paragraph, [134.0, 242.0, 551.0, 18.0], shoonya_2sF5E0XWSKRT6E, 5691050]
[paragraph, [134.0, 260.0, 551.0, 18.0], shoonya_2sF5E0XWSKRT6E, 5691050]
[paragraph, [134.0, 278.0, 551.0, 18.0], shoonya_2sF5E0XWSKRT6E, 5691050]
[paragraph, [134.0, 296.0, 551.0, 18.0], shoonya_2sF5E0XWSKRT6E, 5691050]
[paragraph, [134.0, 314.0, 551.0, 18.0], shoonya_2sF5E0XWSKRT6E, 5691050]
[paragraph, [134.0, 332.0, 551.0, 18.0], shoonya_2sF5E0XWSKRT6E, 5691050]
[paragraph, [134.0, 350.0, 551.0, 18.0], shoonya_2sF5E0XWSKRT6E, 5691050]
[paragraph, [134.0, 368.0, 551.0, 18.0], shoonya_2sF5E0XWSKRT6E, 5691050]
[paragraph, [134.0, 386.0, 551.0, 18.0], shoonya_2sF5E0XWSKRT6E, 5691050]
[paragraph, [134.0, 404.0, 551.0, 18.0], shoonya_2sF5E0XWSKRT6E, 5691050]
[paragraph, [134.0, 422.0, 551.0, 18.0], shoonya_2sF5E0XWSKRT6E, 5691050]
[paragraph, [134.0, 440.0, 551.0, 18.0], shoonya_2sF5E0XWSKRT6E, 5691050]
[paragraph, [134.0, 458.0, 551.0, 18.0], shoonya_2sF5E0XWSKRT6E, 5691050]
[paragraph, [134.0, 476.0, 551.0, 18.0], shoonya_2sF5E0XWSKRT6E, 5691050]
[paragraph, [134.0, 494.0, 551.0, 18.0], shoonya_2sF5E0XWSKRT6E, 5691050]
[paragraph, [134.0, 512.0, 551.0, 18.0], shoonya_2sF5E0XWSKRT6E, 5691050]
[paragraph, [134.0, 530.0, 551.0, 18.0], shoonya_2sF5E0XWSKRT6E, 5691050]
[paragraph, [134.0, 548.0, 551.0, 18.0], shoonya_2sF5E0XWSKRT6E, 5691050]
[paragraph, [134.0, 566.0, 551.0, 18.0], shoonya_2sF5E0XWSKRT6E, 5691050]
[paragraph, [134.0, 584.0, 551.0, 18.0], shoonya_2sF5E0XWSKRT6E, 5691050]
[paragraph, [134.0, 602.0, 551.0, 18.0], shoonya_2sF5E0XWSKRT6E, 5691050]
[paragraph, [136.0, 633.0, 550.0, 18.0], shoonya_0sQPF3NDW9RU87, 5691050]
[paragraph, [136.0, 651.0, 550.0, 18.0], shoonya_0sQPF3NDW9RU87, 5691050]
[paragraph, [136.0, 669.0, 550.0, 18.0], shoonya_0sQPF3NDW9RU87, 5691050]
[paragraph, [136.0, 687.0, 550.0, 18.0], shoonya_0sQPF3NDW9RU87, 5691050]
[paragraph, [136.0, 705.0, 550.0, 18.0], shoonya_0sQPF3NDW9RU87, 5691050]
[paragraph, [136.0, 723.0, 550.0, 18.0], shoonya_0sQPF3NDW9RU87, 5691050]
[paragraph, [136.0, 741.0, 550.0, 18.0], shoonya_0sQPF3NDW9RU87, 5691050]
[paragraph, [136.0, 759.0, 550.0, 18.0], shoonya_0sQPF3NDW9RU87, 5691050]
[paragraph, [136.0, 777.0, 550.0, 18.0], shoonya_0sQPF3NDW9RU87, 5691050]
[paragraph, [136.0, 795.0, 550.0, 18.0], shoonya_0sQPF3NDW9RU87, 5691050]
[paragraph, [136.0, 813.0, 550.0, 18.0], shoonya_0sQPF3NDW9RU87, 5691050]
[paragraph, [136.0, 831.0, 550.0, 18.0], shoonya_0sQPF3NDW9RU87, 5691050]
[paragraph, [136.0, 849.0, 550.0, 18.0], shoonya_0sQPF3NDW9RU87, 5691050]
[paragraph, [136.0, 867.0, 550.0, 18.0], shoonya_0sQPF3NDW9RU87, 5691050]
[paragraph, [136.0, 885.0, 550.0, 18.0], shoonya_0sQPF3NDW9RU87, 5691050]
[paragraph, [136.0, 903.0, 550.0, 18.0], shoonya_0sQPF3NDW9RU87, 5691050]
[paragraph, [136.0, 921.0, 550.0, 18.0], shoonya_0sQPF3NDW9RU87, 5691050]
[paragraph, [136.0, 939.0, 550.0, 18.0], shoonya_0sQPF3NDW9RU87, 5691050]
[paragraph, [136.0, 957.0, 550.0, 18.0], shoonya_0sQPF3NDW9RU87, 5691050]
[paragraph, [136.0, 975.0, 550.0, 18.0], shoonya_0sQPF3NDW9RU87, 5691050]
[paragraph, [136.0, 993.0, 550.0, 18.0], shoonya_0sQPF3NDW9RU87, 5691050]
[paragraph, [136.0, 1011.0, 550.0, 18.0], shoonya_0sQPF3NDW9RU87, 5691050]
[paragraph, [136.0, 1029.0, 550.0, 18.0], shoonya_0sQPF3NDW9RU87, 5691050]
