[3968, 2806]
[paragraph, [180.0, 271.0, 1196.0, 52.5], shoonya_4s1FHG8LZC2PDZ, 5683609]
[paragraph, [180.0, 323.5, 1196.0, 52.5], shoonya_4s1FHG8LZC2PDZ, 5683609]
[paragraph, [180.0, 376.0, 1196.0, 52.5], shoonya_4s1FHG8LZC2PDZ, 5683609]
[paragraph, [180.0, 428.5, 1196.0, 52.5], shoonya_4s1FHG8LZC2PDZ, 5683609]
[paragraph, [180.0, 481.0, 1196.0, 52.5], shoonya_4s1FHG8LZC2PDZ, 5683609]
[paragraph, [180.0, 533.5, 1196.0, 52.5], shoonya_4s1FHG8LZC2PDZ, 5683609]
[paragraph, [180.0, 586.0, 1196.0, 52.5], shoonya_4s1FHG8LZC2PDZ, 5683609]
[paragraph, [180.0, 638.5, 1196.0, 52.5], shoonya_4s1FHG8LZC2PDZ, 5683609]
[paragraph, [180.0, 691.0, 1196.0, 52.5], shoonya_4s1FHG8LZC2PDZ, 5683609]
[paragraph, [180.0, 743.5, 1196.0, 52.5], shoonya_4s1FHG8LZC2PDZ, 5683609]
[paragraph, [180.0, 796.0, 1196.0, 52.5], shoonya_4s1FHG8LZC2PDZ, 5683609]
[paragraph, [180.0, 848.5, 1196.0, 52.5], shoonya_4s1FHG8LZC2PDZ, 5683609]
[paragraph, [180.0, 901.0, 1196.0, 52.5], shoonya_4s1FHG8LZC2PDZ, 5683609]
[paragraph, [180.0, 953.5, 1196.0, 52.5], shoonya_4s1FHG8LZC2PDZ, 5683609]
[paragraph, [180.0, 1006.0, 1196.0, 52.5], shoonya_4s1FHG8LZC2PDZ, 5683609]
[paragraph, [180.0, 1058.5, 1196.0, 52.5], shoonya_4s1FHG8LZC2PDZ, 5683609]
[paragraph, [180.0, 1111.0, 1196.0, 52.5], shoonya_4s1FHG8LZC2PDZ, 5683609]
[paragraph, [180.0, 1163.5, 1196.0, 52.5], shoonya_4s1FHG8LZC2PDZ, 5683609]
[paragraph, [180.0, 1216.0, 1196.0, 52.5], shoonya_4s1FHG8LZC2PDZ, 5683609]
[paragraph, [180.0, 1268.5, 1196.0, 52.5], shoonya_4s1FHG8LZC2PDZ, 5683609]
[paragraph, [180.0, 1321.0, 1196.0, 52.5], shoonya_4s1FHG8LZC2PDZ, 5683609]
[paragraph, [1419.0, 281.0, 1196.0, 52.5], shoonya_3sW2R0XWAOLGND, 5683609]
[paragraph, [1419.0, 333.5, 1196.0, 52.5], shoonya_3sW2R0XWAOLGND, 5683609]
[paragraph, [1419.0, 386.0, 1196.0, 52.5], shoonya_3sW2R0XWAOLGND, 5683609]
[paragraph, [1419.0, 438.5, 1196.0, 52.5], shoonya_3sW2R0XWAOLGND, 5683609]
[paragraph, [1419.0, 491.0, 1196.0, 52.5], shoonya_3sW2R0XWAOLGND, 5683609]
[paragraph, [1419.0, 543.5, 1196.0, 52.5], shoonya_3sW2R0XWAOLGND, 5683609]
[paragraph, [1419.0, 596.0, 1196.0, 52.5], shoonya_3sW2R0XWAOLGND, 5683609]
[paragraph, [1419.0, 648.5, 1196.0, 52.5], shoonya_3sW2R0XWAOLGND, 5683609]
[paragraph, [1419.0, 701.0, 1196.0, 52.5], shoonya_3sW2R0XWAOLGND, 5683609]
[paragraph, [1419.0, 753.5, 1196.0, 52.5], shoonya_3sW2R0XWAOLGND, 5683609]
[paragraph, [1419.0, 806.0, 1196.0, 52.5], shoonya_3sW2R0XWAOLGND, 5683609]
[paragraph, [1419.0, 858.5, 1196.0, 52.5], shoonya_3sW2R0XWAOLGND, 5683609]
[paragraph, [1419.0, 911.0, 1196.0, 52.5], shoonya_3sW2R0XWAOLGND, 5683609]
[paragraph, [1419.0, 963.5, 1196.0, 52.5], shoonya_3sW2R0XWAOLGND, 5683609]
[paragraph, [1419.0, 1016.0, 1196.0, 52.5], shoonya_3sW2R0XWAOLGND, 5683609]
[paragraph, [1419.0, 1068.5, 1196.0, 52.5], shoonya_3sW2R0XWAOLGND, 5683609]
[paragraph, [1419.0, 1121.0, 1196.0, 52.5], shoonya_3sW2R0XWAOLGND, 5683609]
[paragraph, [1419.0, 1173.5, 1196.0, 52.5], shoonya_3sW2R0XWAOLGND, 5683609]
[paragraph, [1419.0, 1226.0, 1196.0, 52.5], shoonya_3sW2R0XWAOLGND, 5683609]
[paragraph, [1419.0, 1278.5, 1196.0, 52.5], shoonya_3sW2R0XWAOLGND, 5683609]
[paragraph, [1419.0, 1331.0, 1196.0, 52.5], shoonya_3sW2R0XWAOLGND, 5683609]
[paragraph, [162.0, 1408.0, 1216.0, 52.5], shoonya_6sHFFUIMUVWL4O, 5683609]
