[842, 1191]
[headline, [116.0, 107.0, 343.0, 25.5], 0f8B_4fXr4, 5725633]
[headline, [116.0, 132.5, 343.0, 25.5], 0f8B_4fXr4, 5725633]
[headline, [116.0, 158.0, 343.0, 25.5], 0f8B_4fXr4, 5725633]
[sub-headline, [117.0, 517.0, 275.0, 25.5], Rh4_CuERHH, 5725633]
[sub-headline, [117.0, 542.5, 275.0, 25.5], Rh4_CuERHH, 5725633]
[subsub-headline, [111.0, 571.0, 339.0, 22.5], shoonya_5sRNY4ZP2SNBDE, 5725633]
[paragraph, [648.0, 617.0, 241.0, 18.0], shoonya_6sW6CGVRW1KOWJ, 5725633]
[paragraph, [648.0, 635.0, 241.0, 18.0], shoonya_6sW6CGVRW1KOWJ, 5725633]
[paragraph, [648.0, 653.0, 241.0, 18.0], shoonya_6sW6CGVRW1KOWJ, 5725633]
[paragraph, [648.0, 671.0, 241.0, 18.0], shoonya_6sW6CGVRW1KOWJ, 5725633]
[paragraph, [648.0, 689.0, 241.0, 18.0], shoonya_6sW6CGVRW1KOWJ, 5725633]
[paragraph, [648.0, 707.0, 241.0, 18.0], shoonya_6sW6CGVRW1KOWJ, 5725633]
[paragraph, [648.0, 725.0, 241.0, 18.0], shoonya_6sW6CGVRW1KOWJ, 5725633]
[paragraph, [648.0, 743.0, 241.0, 18.0], shoonya_6sW6CGVRW1KOWJ, 5725633]
[paragraph, [648.0, 761.0, 241.0, 18.0], shoonya_6sW6CGVRW1KOWJ, 5725633]
[paragraph, [317.0, 618.0, 218.0, 18.0], shoonya_2s9F4OZ0A7E8ZW, 5725633]
[paragraph, [317.0, 636.0, 218.0, 18.0], shoonya_2s9F4OZ0A7E8ZW, 5725633]
[paragraph, [317.0, 654.0, 218.0, 18.0], shoonya_2s9F4OZ0A7E8ZW, 5725633]
[paragraph, [113.0, 619.0, 195.0, 18.0], shoonya_8s6MEX5KP4P266, 5725633]
[paragraph, [113.0, 637.0, 195.0, 18.0], shoonya_8s6MEX5KP4P266, 5725633]
[paragraph, [113.0, 655.0, 195.0, 18.0], shoonya_8s6MEX5KP4P266, 5725633]
[paragraph, [113.0, 673.0, 195.0, 18.0], shoonya_8s6MEX5KP4P266, 5725633]
[paragraph, [113.0, 691.0, 195.0, 18.0], shoonya_8s6MEX5KP4P266, 5725633]
[paragraph, [113.0, 709.0, 195.0, 18.0], shoonya_8s6MEX5KP4P266, 5725633]
[paragraph, [113.0, 727.0, 195.0, 18.0], shoonya_8s6MEX5KP4P266, 5725633]
[paragraph, [113.0, 745.0, 195.0, 18.0], shoonya_8s6MEX5KP4P266, 5725633]
[paragraph, [319.0, 697.0, 195.0, 18.0], shoonya_4s56M6UUP4Z2PE, 5725633]
[paragraph, [319.0, 715.0, 195.0, 18.0], shoonya_4s56M6UUP4Z2PE, 5725633]
[paragraph, [319.0, 733.0, 195.0, 18.0], shoonya_4s56M6UUP4Z2PE, 5725633]
[paragraph, [319.0, 751.0, 195.0, 18.0], shoonya_4s56M6UUP4Z2PE, 5725633]
