[612, 792]
[section-title, [366.0, 81.0, 96.0, 30.0], shoonya_0sSG3CZ2X6LX86, 6532565]
[paragraph, [95.0, 130.0, 626.0, 18.0], Vl386mPTt8, 6532565]
[paragraph, [95.0, 148.0, 626.0, 18.0], Vl386mPTt8, 6532565]
[paragraph, [95.0, 166.0, 626.0, 18.0], Vl386mPTt8, 6532565]
[paragraph, [95.0, 184.0, 626.0, 18.0], Vl386mPTt8, 6532565]
[paragraph, [95.0, 202.0, 626.0, 18.0], Vl386mPTt8, 6532565]
[paragraph, [93.0, 241.0, 625.0, 18.0], EvFP3NdjDM, 6532565]
[paragraph, [93.0, 259.0, 625.0, 18.0], EvFP3NdjDM, 6532565]
[paragraph, [93.0, 277.0, 625.0, 18.0], EvFP3NdjDM, 6532565]
[paragraph, [95.0, 311.0, 632.0, 18.0], lpn2-XaRNl, 6532565]
[paragraph, [95.0, 329.0, 632.0, 18.0], lpn2-XaRNl, 6532565]
[paragraph, [95.0, 347.0, 632.0, 18.0], lpn2-XaRNl, 6532565]
[paragraph, [95.0, 365.0, 632.0, 18.0], lpn2-XaRNl, 6532565]
[paragraph, [95.0, 383.0, 632.0, 18.0], lpn2-XaRNl, 6532565]
[paragraph, [95.0, 401.0, 632.0, 18.0], lpn2-XaRNl, 6532565]
[paragraph, [95.0, 419.0, 632.0, 18.0], lpn2-XaRNl, 6532565]
[paragraph, [95.0, 437.0, 632.0, 18.0], lpn2-XaRNl, 6532565]
[paragraph, [95.0, 455.0, 632.0, 18.0], lpn2-XaRNl, 6532565]
[folio, [352.0, 545.0, 91.0, 18.0], lmkx-tFgiQ, 6532565]
