[2339, 1653]
[section-title, [611.0, 410.0, 528.0, 52.5], JiX120GiZ3, 5687060]
[section-title, [611.0, 462.5, 528.0, 52.5], JiX120GiZ3, 5687060]
[section-title, [611.0, 515.0, 528.0, 52.5], JiX120GiZ3, 5687060]
[section-title, [611.0, 567.5, 528.0, 52.5], JiX120GiZ3, 5687060]
[section-title, [611.0, 620.0, 528.0, 52.5], JiX120GiZ3, 5687060]
[sub-section-title, [348.0, 606.0, 1038.0, 55.5], 89CCizq-YH, 5687060]
[sub-section-title, [348.0, 661.5, 1038.0, 55.5], 89CCizq-YH, 5687060]
[sub-section-title, [348.0, 717.0, 1038.0, 55.5], 89CCizq-YH, 5687060]
[sub-section-title, [348.0, 772.5, 1038.0, 55.5], 89CCizq-YH, 5687060]
[sub-section-title, [348.0, 828.0, 1038.0, 55.5], 89CCizq-YH, 5687060]
[sub-section-title, [348.0, 883.5, 1038.0, 55.5], 89CCizq-YH, 5687060]
[sub-section-title, [348.0, 939.0, 1038.0, 55.5], 89CCizq-YH, 5687060]
[sub-section-title, [348.0, 994.5, 1038.0, 55.5], 89CCizq-YH, 5687060]
[sub-section-title, [348.0, 1050.0, 1038.0, 55.5], 89CCizq-YH, 5687060]
[sub-section-title, [348.0, 1105.5, 1038.0, 55.5], 89CCizq-YH, 5687060]
[sub-section-title, [348.0, 1161.0, 1038.0, 55.5], 89CCizq-YH, 5687060]
[sub-section-title, [348.0, 1216.5, 1038.0, 55.5], 89CCizq-YH, 5687060]
[sub-section-title, [348.0, 1272.0, 1038.0, 55.5], 89CCizq-YH, 5687060]
[sub-section-title, [348.0, 1327.5, 1038.0, 55.5], 89CCizq-YH, 5687060]
[sub-section-title, [348.0, 1383.0, 1038.0, 55.5], 89CCizq-YH, 5687060]
[figure-caption, [670.0, 2006.0, 310.0, 36.0], shoonya_1s0H1R9CZP3LDS, 5687060]
