[978, 707]
[paragraph, [75.0, 88.0, 591.0, 18.0], 3lUhxBa4Sc, 5774004]
[paragraph, [75.0, 106.0, 591.0, 18.0], 3lUhxBa4Sc, 5774004]
[paragraph, [75.0, 124.0, 591.0, 18.0], 3lUhxBa4Sc, 5774004]
[paragraph, [75.0, 142.0, 591.0, 18.0], 3lUhxBa4Sc, 5774004]
[ordered-list, [75.0, 160.0, 588.0, 18.0], FPqe1LtEI_, 5774004]
[ordered-list, [75.0, 178.0, 588.0, 18.0], FPqe1LtEI_, 5774004]
[ordered-list, [75.0, 196.0, 588.0, 18.0], FPqe1LtEI_, 5774004]
[ordered-list, [75.0, 214.0, 588.0, 18.0], FPqe1LtEI_, 5774004]
[ordered-list, [75.0, 232.0, 588.0, 18.0], FPqe1LtEI_, 5774004]
[ordered-list, [75.0, 250.0, 588.0, 18.0], FPqe1LtEI_, 5774004]
[ordered-list, [75.0, 268.0, 588.0, 18.0], FPqe1LtEI_, 5774004]
[ordered-list, [75.0, 286.0, 588.0, 18.0], FPqe1LtEI_, 5774004]
[ordered-list, [70.0, 324.0, 593.0, 18.0], shoonya_0sQLUUKBXCCGH8, 5774004]
[ordered-list, [70.0, 342.0, 593.0, 18.0], shoonya_0sQLUUKBXCCGH8, 5774004]
[ordered-list, [70.0, 360.0, 593.0, 18.0], shoonya_0sQLUUKBXCCGH8, 5774004]
[ordered-list, [70.0, 378.0, 593.0, 18.0], shoonya_0sQLUUKBXCCGH8, 5774004]
[ordered-list, [70.0, 396.0, 593.0, 18.0], shoonya_0sQLUUKBXCCGH8, 5774004]
[ordered-list, [70.0, 414.0, 593.0, 18.0], shoonya_0sQLUUKBXCCGH8, 5774004]
[ordered-list, [70.0, 432.0, 593.0, 18.0], shoonya_0sQLUUKBXCCGH8, 5774004]
[ordered-list, [70.0, 450.0, 593.0, 18.0], shoonya_0sQLUUKBXCCGH8, 5774004]
[ordered-list, [70.0, 468.0, 593.0, 18.0], shoonya_0sQLUUKBXCCGH8, 5774004]
[ordered-list, [70.0, 486.0, 593.0, 18.0], shoonya_0sQLUUKBXCCGH8, 5774004]
[ordered-list, [70.0, 504.0, 593.0, 18.0], shoonya_0sQLUUKBXCCGH8, 5774004]
[ordered-list, [70.0, 522.0, 593.0, 18.0], shoonya_0sQLUUKBXCCGH8, 5774004]
[ordered-list, [70.0, 540.0, 593.0, 18.0], shoonya_0sQLUUKBXCCGH8, 5774004]
[ordered-list, [70.0, 558.0, 593.0, 18.0], shoonya_0sQLUUKBXCCGH8, 5774004]
[ordered-list, [70.0, 576.0, 593.0, 18.0], shoonya_0sQLUUKBXCCGH8, 5774004]
[ordered-list, [70.0, 594.0, 593.0, 18.0], shoonya_0sQLUUKBXCCGH8, 5774004]
[ordered-list, [70.0, 612.0, 593.0, 18.0], shoonya_0sQLUUKBXCCGH8, 5774004]
[ordered-list, [70.0, 630.0, 593.0, 18.0], shoonya_0sQLUUKBXCCGH8, 5774004]
[ordered-list, [70.0, 648.0, 593.0, 18.0], shoonya_0sQLUUKBXCCGH8, 5774004]
[ordered-list, [70.0, 666.0, 593.0, 18.0], shoonya_0sQLUUKBXCCGH8, 5774004]
[ordered-list, [70.0, 684.0, 593.0, 18.0], shoonya_0sQLUUKBXCCGH8, 5774004]
[ordered-list, [70.0, 702.0, 593.0, 18.0], shoonya_0sQLUUKBXCCGH8, 5774004]
[ordered-list, [70.0, 720.0, 593.0, 18.0], shoonya_0sQLUUKBXCCGH8, 5774004]
[ordered-list, [70.0, 738.0, 593.0, 18.0], shoonya_0sQLUUKBXCCGH8, 5774004]
[ordered-list, [70.0, 756.0, 593.0, 18.0], shoonya_0sQLUUKBXCCGH8, 5774004]
[ordered-list, [70.0, 774.0, 593.0, 18.0], shoonya_0sQLUUKBXCCGH8, 5774004]
[ordered-list, [70.0, 792.0, 593.0, 18.0], shoonya_0sQLUUKBXCCGH8, 5774004]
[ordered-list, [70.0, 810.0, 593.0, 18.0], shoonya_0sQLUUKBXCCGH8, 5774004]
[ordered-list, [70.0, 828.0, 593.0, 18.0], shoonya_0sQLUUKBXCCGH8, 5774004]
[ordered-list, [70.0, 846.0, 593.0, 18.0], shoonya_0sQLUUKBXCCGH8, 5774004]
[ordered-list, [70.0, 864.0, 593.0, 18.0], shoonya_0sQLUUKBXCCGH8, 5774004]
[ordered-list, [70.0, 882.0, 593.0, 18.0], shoonya_0sQLUUKBXCCGH8, 5774004]
[ordered-list, [70.0, 900.0, 593.0, 18.0], shoonya_0sQLUUKBXCCGH8, 5774004]
