[1754, 1241]
[paragraph, [209.0, 135.0, 893.0, 36.0], shoonya_2sVYDDV533FQFR, 5715070]
[paragraph, [209.0, 171.0, 893.0, 36.0], shoonya_2sVYDDV533FQFR, 5715070]
[paragraph, [209.0, 207.0, 893.0, 36.0], shoonya_2sVYDDV533FQFR, 5715070]
[paragraph, [209.0, 243.0, 893.0, 36.0], shoonya_2sVYDDV533FQFR, 5715070]
[paragraph, [209.0, 279.0, 893.0, 36.0], shoonya_2sVYDDV533FQFR, 5715070]
[paragraph, [209.0, 315.0, 893.0, 36.0], shoonya_2sVYDDV533FQFR, 5715070]
[paragraph, [209.0, 351.0, 893.0, 36.0], shoonya_2sVYDDV533FQFR, 5715070]
[paragraph, [209.0, 387.0, 893.0, 36.0], shoonya_2sVYDDV533FQFR, 5715070]
[paragraph, [209.0, 423.0, 893.0, 36.0], shoonya_2sVYDDV533FQFR, 5715070]
[paragraph, [209.0, 459.0, 893.0, 36.0], shoonya_2sVYDDV533FQFR, 5715070]
[paragraph, [209.0, 495.0, 893.0, 36.0], shoonya_2sVYDDV533FQFR, 5715070]
[paragraph, [209.0, 531.0, 893.0, 36.0], shoonya_2sVYDDV533FQFR, 5715070]
[paragraph, [209.0, 567.0, 893.0, 36.0], shoonya_2sVYDDV533FQFR, 5715070]
[paragraph, [209.0, 603.0, 893.0, 36.0], shoonya_2sVYDDV533FQFR, 5715070]
[paragraph, [209.0, 639.0, 893.0, 36.0], shoonya_2sVYDDV533FQFR, 5715070]
[paragraph, [209.0, 675.0, 893.0, 36.0], shoonya_2sVYDDV533FQFR, 5715070]
[paragraph, [209.0, 711.0, 893.0, 36.0], shoonya_2sVYDDV533FQFR, 5715070]
[paragraph, [209.0, 747.0, 893.0, 36.0], shoonya_2sVYDDV533FQFR, 5715070]
[paragraph, [209.0, 783.0, 893.0, 36.0], shoonya_2sVYDDV533FQFR, 5715070]
[section-title, [214.0, 854.0, 762.0, 49.5], 76_iQiOOlu, 5715070]
[paragraph, [214.0, 933.0, 881.0, 36.0], shoonya_0s3QOK8KNQO91B, 5715070]
[paragraph, [214.0, 969.0, 881.0, 36.0], shoonya_0s3QOK8KNQO91B, 5715070]
[paragraph, [214.0, 1005.0, 881.0, 36.0], shoonya_0s3QOK8KNQO91B, 5715070]
[paragraph, [214.0, 1041.0, 881.0, 36.0], shoonya_0s3QOK8KNQO91B, 5715070]
[paragraph, [214.0, 1077.0, 881.0, 36.0], shoonya_0s3QOK8KNQO91B, 5715070]
[paragraph, [214.0, 1113.0, 881.0, 36.0], shoonya_0s3QOK8KNQO91B, 5715070]
[paragraph, [214.0, 1149.0, 881.0, 36.0], shoonya_0s3QOK8KNQO91B, 5715070]
[paragraph, [214.0, 1185.0, 881.0, 36.0], shoonya_0s3QOK8KNQO91B, 5715070]
[paragraph, [214.0, 1221.0, 881.0, 36.0], shoonya_0s3QOK8KNQO91B, 5715070]
[paragraph, [214.0, 1257.0, 881.0, 36.0], shoonya_0s3QOK8KNQO91B, 5715070]
[paragraph, [214.0, 1293.0, 881.0, 36.0], shoonya_0s3QOK8KNQO91B, 5715070]
[paragraph, [214.0, 1329.0, 881.0, 36.0], shoonya_0s3QOK8KNQO91B, 5715070]
[paragraph, [214.0, 1365.0, 881.0, 36.0], shoonya_0s3QOK8KNQO91B, 5715070]
[paragraph, [214.0, 1401.0, 881.0, 36.0], shoonya_0s3QOK8KNQO91B, 5715070]
[paragraph, [214.0, 1437.0, 881.0, 36.0], shoonya_0s3QOK8KNQO91B, 5715070]
[paragraph, [214.0, 1473.0, 881.0, 36.0], shoonya_0s3QOK8KNQO91B, 5715070]
