[3508, 2481]
[contact-info, [525.0, 99.0, 1448.0, 52.5], 31VnQexYwf, 6490740]
[contact-info, [525.0, 151.5, 1448.0, 52.5], 31VnQexYwf, 6490740]
[contact-info, [525.0, 204.0, 1448.0, 52.5], 31VnQexYwf, 6490740]
[headline, [705.0, 590.0, 1063.0, 52.5], tGoaC-rait, 6490740]
[headline, [705.0, 642.5, 1063.0, 52.5], tGoaC-rait, 6490740]
[sub-headline, [628.0, 827.0, 1231.0, 73.5], J2p4HqFLQK, 6490740]
[dateline, [1927.0, 1076.0, 326.0, 52.5], ZGHv0qgmKI, 6490740]
[paragraph, [217.0, 1346.0, 457.0, 52.5], f2i46RCr3T, 6490740]
[paragraph, [208.0, 1461.0, 2083.0, 52.5], 8tWbGD2jGs, 6490740]
[paragraph, [208.0, 1513.5, 2083.0, 52.5], 8tWbGD2jGs, 6490740]
[paragraph, [208.0, 1566.0, 2083.0, 52.5], 8tWbGD2jGs, 6490740]
[paragraph, [208.0, 1618.5, 2083.0, 52.5], 8tWbGD2jGs, 6490740]
[paragraph, [208.0, 1671.0, 2083.0, 52.5], 8tWbGD2jGs, 6490740]
[paragraph, [208.0, 1723.5, 2083.0, 52.5], 8tWbGD2jGs, 6490740]
[paragraph, [211.0, 1834.0, 2061.0, 52.5], o5a2zRwkQt, 6490740]
[paragraph, [211.0, 1886.5, 2061.0, 52.5], o5a2zRwkQt, 6490740]
[paragraph, [211.0, 1939.0, 2061.0, 52.5], o5a2zRwkQt, 6490740]
[paragraph, [211.0, 1991.5, 2061.0, 52.5], o5a2zRwkQt, 6490740]
[paragraph, [211.0, 2044.0, 2061.0, 52.5], o5a2zRwkQt, 6490740]
[paragraph, [211.0, 2096.5, 2061.0, 52.5], o5a2zRwkQt, 6490740]
[paragraph, [211.0, 2149.0, 2061.0, 52.5], o5a2zRwkQt, 6490740]
[paragraph, [211.0, 2201.5, 2061.0, 52.5], o5a2zRwkQt, 6490740]
[paragraph, [211.0, 2254.0, 2061.0, 52.5], o5a2zRwkQt, 6490740]
[paragraph, [211.0, 2306.5, 2061.0, 52.5], o5a2zRwkQt, 6490740]
[paragraph, [211.0, 2359.0, 2061.0, 52.5], o5a2zRwkQt, 6490740]
[section-title, [208.0, 2596.0, 516.0, 93.0], m-I0nNvCSc, 6490740]
[sub-section-title, [202.0, 2746.0, 743.0, 73.5], PQcbEcFcaO, 6490740]
[paragraph, [208.0, 2858.0, 2073.0, 52.5], 5uOJld4WX5, 6490740]
[paragraph, [208.0, 2910.5, 2073.0, 52.5], 5uOJld4WX5, 6490740]
[sub-section-title, [208.0, 3066.0, 721.0, 73.5], 6t6UQX5Srp, 6490740]
[paragraph, [211.0, 3178.0, 1125.0, 52.5], at6flBCItg, 6490740]
