[1565, 1152]
[paragraph, [99.0, 117.0, 305.0, 36.0], shoonya_4sDTLCSVDTJ1YJ, 5713311]
[paragraph, [99.0, 153.0, 305.0, 36.0], shoonya_4sDTLCSVDTJ1YJ, 5713311]
[paragraph, [99.0, 189.0, 305.0, 36.0], shoonya_4sDTLCSVDTJ1YJ, 5713311]
[paragraph, [99.0, 225.0, 305.0, 36.0], shoonya_4sDTLCSVDTJ1YJ, 5713311]
[paragraph, [99.0, 261.0, 305.0, 36.0], shoonya_4sDTLCSVDTJ1YJ, 5713311]
[paragraph, [99.0, 297.0, 305.0, 36.0], shoonya_4sDTLCSVDTJ1YJ, 5713311]
[paragraph, [99.0, 333.0, 305.0, 36.0], shoonya_4sDTLCSVDTJ1YJ, 5713311]
[paragraph, [727.0, 120.0, 315.0, 36.0], shoonya_7sGB5NS93PSHBF, 5713311]
[paragraph, [727.0, 156.0, 315.0, 36.0], shoonya_7sGB5NS93PSHBF, 5713311]
[paragraph, [727.0, 192.0, 315.0, 36.0], shoonya_7sGB5NS93PSHBF, 5713311]
[paragraph, [727.0, 228.0, 315.0, 36.0], shoonya_7sGB5NS93PSHBF, 5713311]
[paragraph, [727.0, 264.0, 315.0, 36.0], shoonya_7sGB5NS93PSHBF, 5713311]
[paragraph, [727.0, 300.0, 315.0, 36.0], shoonya_7sGB5NS93PSHBF, 5713311]
[paragraph, [727.0, 336.0, 315.0, 36.0], shoonya_7sGB5NS93PSHBF, 5713311]
[paragraph, [727.0, 372.0, 315.0, 36.0], shoonya_7sGB5NS93PSHBF, 5713311]
[paragraph, [727.0, 408.0, 315.0, 36.0], shoonya_7sGB5NS93PSHBF, 5713311]
[paragraph, [727.0, 444.0, 315.0, 36.0], shoonya_7sGB5NS93PSHBF, 5713311]
[paragraph, [727.0, 480.0, 315.0, 36.0], shoonya_7sGB5NS93PSHBF, 5713311]
[paragraph, [727.0, 516.0, 315.0, 36.0], shoonya_7sGB5NS93PSHBF, 5713311]
[paragraph, [727.0, 552.0, 315.0, 36.0], shoonya_7sGB5NS93PSHBF, 5713311]
[paragraph, [727.0, 588.0, 315.0, 36.0], shoonya_7sGB5NS93PSHBF, 5713311]
[paragraph, [727.0, 624.0, 315.0, 36.0], shoonya_7sGB5NS93PSHBF, 5713311]
[paragraph, [727.0, 660.0, 315.0, 36.0], shoonya_7sGB5NS93PSHBF, 5713311]
[paragraph, [727.0, 696.0, 315.0, 36.0], shoonya_7sGB5NS93PSHBF, 5713311]
[paragraph, [727.0, 732.0, 315.0, 36.0], shoonya_7sGB5NS93PSHBF, 5713311]
[paragraph, [727.0, 768.0, 315.0, 36.0], shoonya_7sGB5NS93PSHBF, 5713311]
[paragraph, [727.0, 804.0, 315.0, 36.0], shoonya_7sGB5NS93PSHBF, 5713311]
[paragraph, [727.0, 840.0, 315.0, 36.0], shoonya_7sGB5NS93PSHBF, 5713311]
[paragraph, [727.0, 876.0, 315.0, 36.0], shoonya_7sGB5NS93PSHBF, 5713311]
[paragraph, [727.0, 912.0, 315.0, 36.0], shoonya_7sGB5NS93PSHBF, 5713311]
[paragraph, [727.0, 948.0, 315.0, 36.0], shoonya_7sGB5NS93PSHBF, 5713311]
[paragraph, [727.0, 984.0, 315.0, 36.0], shoonya_7sGB5NS93PSHBF, 5713311]
[paragraph, [405.0, 121.0, 325.0, 36.0], shoonya_5sBW9JDKQ64FAQ, 5713311]
[paragraph, [405.0, 157.0, 325.0, 36.0], shoonya_5sBW9JDKQ64FAQ, 5713311]
