[2339, 1654]
[paragraph, [183.0, 199.0, 1288.0, 36.0], shoonya_5sFMM4RGJANDQ0, 5751118]
[paragraph, [183.0, 235.0, 1288.0, 36.0], shoonya_5sFMM4RGJANDQ0, 5751118]
[paragraph, [183.0, 271.0, 1288.0, 36.0], shoonya_5sFMM4RGJANDQ0, 5751118]
[paragraph, [183.0, 307.0, 1288.0, 36.0], shoonya_5sFMM4RGJANDQ0, 5751118]
[paragraph, [183.0, 343.0, 1288.0, 36.0], shoonya_5sFMM4RGJANDQ0, 5751118]
[paragraph, [183.0, 379.0, 1288.0, 36.0], shoonya_5sFMM4RGJANDQ0, 5751118]
[paragraph, [183.0, 415.0, 1288.0, 36.0], shoonya_5sFMM4RGJANDQ0, 5751118]
[paragraph, [183.0, 451.0, 1288.0, 36.0], shoonya_5sFMM4RGJANDQ0, 5751118]
[paragraph, [183.0, 487.0, 1288.0, 36.0], shoonya_5sFMM4RGJANDQ0, 5751118]
[paragraph, [183.0, 523.0, 1288.0, 36.0], shoonya_5sFMM4RGJANDQ0, 5751118]
[paragraph, [183.0, 559.0, 1288.0, 36.0], shoonya_5sFMM4RGJANDQ0, 5751118]
[paragraph, [183.0, 595.0, 1288.0, 36.0], shoonya_5sFMM4RGJANDQ0, 5751118]
[paragraph, [183.0, 631.0, 1288.0, 36.0], shoonya_5sFMM4RGJANDQ0, 5751118]
[paragraph, [183.0, 667.0, 1288.0, 36.0], shoonya_5sFMM4RGJANDQ0, 5751118]
[paragraph, [183.0, 703.0, 1288.0, 36.0], shoonya_5sFMM4RGJANDQ0, 5751118]
[paragraph, [183.0, 739.0, 1288.0, 36.0], shoonya_5sFMM4RGJANDQ0, 5751118]
[paragraph, [183.0, 775.0, 1288.0, 36.0], shoonya_5sFMM4RGJANDQ0, 5751118]
[paragraph, [290.0, 863.0, 599.0, 36.0], shoonya_1s3IWTNAA9WZRX, 5751118]
[paragraph, [290.0, 899.0, 599.0, 36.0], shoonya_1s3IWTNAA9WZRX, 5751118]
[paragraph, [287.0, 979.0, 1137.0, 36.0], WQqU_2aiTk, 5751118]
[paragraph, [287.0, 1015.0, 1137.0, 36.0], WQqU_2aiTk, 5751118]
[paragraph, [289.0, 1097.0, 1005.0, 36.0], RGTm2PuAks, 5751118]
[paragraph, [289.0, 1133.0, 1005.0, 36.0], RGTm2PuAks, 5751118]
[paragraph, [192.0, 1223.0, 1265.0, 36.0], IRIUIqqmrL, 5751118]
[paragraph, [192.0, 1259.0, 1265.0, 36.0], IRIUIqqmrL, 5751118]
[paragraph, [192.0, 1295.0, 1265.0, 36.0], IRIUIqqmrL, 5751118]
[paragraph, [192.0, 1331.0, 1265.0, 36.0], IRIUIqqmrL, 5751118]
[paragraph, [284.0, 1425.0, 697.0, 36.0], sLgFNmUH4I, 5751118]
[paragraph, [284.0, 1461.0, 697.0, 36.0], sLgFNmUH4I, 5751118]
[paragraph, [284.0, 1545.0, 757.0, 36.0], UPPWl02uet, 5751118]
[paragraph, [284.0, 1581.0, 757.0, 36.0], UPPWl02uet, 5751118]
[paragraph, [284.0, 1663.0, 322.0, 36.0], q-ujmUjAoZ, 5751118]
[paragraph, [284.0, 1699.0, 322.0, 36.0], q-ujmUjAoZ, 5751118]
[paragraph, [291.0, 1785.0, 382.0, 36.0], wJT4gDoFOq, 5751118]
[paragraph, [291.0, 1821.0, 382.0, 36.0], wJT4gDoFOq, 5751118]
[paragraph, [192.0, 1908.0, 1268.0, 36.0], shoonya_4sNGMZAVWREFKE, 5751118]
[paragraph, [192.0, 1944.0, 1268.0, 36.0], shoonya_4sNGMZAVWREFKE, 5751118]
[paragraph, [192.0, 1980.0, 1268.0, 36.0], shoonya_4sNGMZAVWREFKE, 5751118]
[paragraph, [192.0, 2016.0, 1268.0, 36.0], shoonya_4sNGMZAVWREFKE, 5751118]
[folio, [187.0, 2163.0, 256.0, 36.0], IBrpC2AxuA, 5751118]
