[3508, 2480]
[folio, [1674.0, 294.0, 638.0, 52.5], ud3ASXiLQg, 5728136]
[website-link, [229.0, 300.0, 514.0, 18.0], Q_U1J3nsYL, 5728136]
[website-link, [229.0, 318.0, 514.0, 18.0], Q_U1J3nsYL, 5728136]
[website-link, [229.0, 336.0, 514.0, 18.0], Q_U1J3nsYL, 5728136]
[folio, [1658.0, 365.0, 635.0, 52.5], xADg2PAkYP, 5728136]
[website-link, [210.0, 368.0, 517.0, 18.0], rQlWn_yKbV, 5728136]
[website-link, [210.0, 386.0, 517.0, 18.0], rQlWn_yKbV, 5728136]
[website-link, [210.0, 404.0, 517.0, 18.0], rQlWn_yKbV, 5728136]
[folio, [1655.0, 430.0, 682.0, 52.5], vdNhfG4hfw, 5728136]
[website-link, [226.0, 440.0, 499.0, 18.0], SJscfYE7Z8, 5728136]
[website-link, [226.0, 458.0, 499.0, 18.0], SJscfYE7Z8, 5728136]
[website-link, [226.0, 476.0, 499.0, 18.0], SJscfYE7Z8, 5728136]
[website-link, [226.0, 494.0, 499.0, 18.0], SJscfYE7Z8, 5728136]
[flag, [622.0, 741.0, 1228.0, 52.5], shoonya_1sW87LW9KD555A, 5728136]
[flag, [622.0, 793.5, 1228.0, 52.5], shoonya_1sW87LW9KD555A, 5728136]
[flag, [622.0, 846.0, 1228.0, 52.5], shoonya_1sW87LW9KD555A, 5728136]
[flag, [622.0, 898.5, 1228.0, 52.5], shoonya_1sW87LW9KD555A, 5728136]
[flag, [622.0, 951.0, 1228.0, 52.5], shoonya_1sW87LW9KD555A, 5728136]
[flag, [622.0, 1003.5, 1228.0, 52.5], shoonya_1sW87LW9KD555A, 5728136]
[flag, [622.0, 1056.0, 1228.0, 52.5], shoonya_1sW87LW9KD555A, 5728136]
[flag, [622.0, 1108.5, 1228.0, 52.5], shoonya_1sW87LW9KD555A, 5728136]
[flag, [622.0, 1161.0, 1228.0, 52.5], shoonya_1sW87LW9KD555A, 5728136]
[flag, [622.0, 1213.5, 1228.0, 52.5], shoonya_1sW87LW9KD555A, 5728136]
[flag, [622.0, 1266.0, 1228.0, 52.5], shoonya_1sW87LW9KD555A, 5728136]
[folio, [561.0, 1357.0, 1329.0, 52.5], kH2ptCivYB, 5728136]
[folio, [561.0, 1409.5, 1329.0, 52.5], kH2ptCivYB, 5728136]
[folio, [561.0, 1462.0, 1329.0, 52.5], kH2ptCivYB, 5728136]
[folio, [561.0, 1514.5, 1329.0, 52.5], kH2ptCivYB, 5728136]
[folio, [561.0, 1567.0, 1329.0, 52.5], kH2ptCivYB, 5728136]
[dateline, [762.0, 1716.0, 843.0, 52.5], CZ9N4pjOaT, 5728136]
[dateline, [762.0, 1768.5, 843.0, 52.5], CZ9N4pjOaT, 5728136]
[dateline, [762.0, 1821.0, 843.0, 52.5], CZ9N4pjOaT, 5728136]
[dateline, [762.0, 1873.5, 843.0, 52.5], CZ9N4pjOaT, 5728136]
[dateline, [99.0, 1874.0, 551.0, 52.5], 06ZaNJWFsC, 5728136]
[dateline, [99.0, 1926.5, 551.0, 52.5], 06ZaNJWFsC, 5728136]
[dateline, [99.0, 1979.0, 551.0, 52.5], 06ZaNJWFsC, 5728136]
[dateline, [1767.0, 1896.0, 465.0, 52.5], rGIO04l1Gd, 5728136]
[dateline, [1767.0, 1948.5, 465.0, 52.5], rGIO04l1Gd, 5728136]
[dateline, [1767.0, 2001.0, 465.0, 52.5], rGIO04l1Gd, 5728136]
[folio, [1863.0, 2082.0, 337.0, 52.5], HD3gBBfv0w, 5728136]
[folio, [1863.0, 2134.5, 337.0, 52.5], HD3gBBfv0w, 5728136]
[folio, [1863.0, 2187.0, 337.0, 52.5], HD3gBBfv0w, 5728136]
[folio, [1863.0, 2239.5, 337.0, 52.5], HD3gBBfv0w, 5728136]
[folio, [189.0, 2097.0, 313.0, 52.5], sBGqpVLGNK, 5728136]
[folio, [189.0, 2149.5, 313.0, 52.5], sBGqpVLGNK, 5728136]
[folio, [189.0, 2202.0, 313.0, 52.5], sBGqpVLGNK, 5728136]
[section-title, [1072.0, 2233.0, 320.0, 93.0], jddC60ea82, 5728136]
[headline, [510.0, 2410.0, 1487.0, 52.5], shoonya_4sR6UME14EH2D8, 5728136]
[headline, [510.0, 2462.5, 1487.0, 52.5], shoonya_4sR6UME14EH2D8, 5728136]
[folio, [996.0, 2757.0, 501.0, 52.5], shoonya_2sUXIVT4739EGZ, 5728136]
[folio, [996.0, 2809.5, 501.0, 52.5], shoonya_2sUXIVT4739EGZ, 5728136]
[folio, [996.0, 2862.0, 501.0, 52.5], shoonya_2sUXIVT4739EGZ, 5728136]
[folio, [996.0, 2914.5, 501.0, 52.5], shoonya_2sUXIVT4739EGZ, 5728136]
[folio, [996.0, 2967.0, 501.0, 52.5], shoonya_2sUXIVT4739EGZ, 5728136]
[contact-info, [1692.0, 3291.0, 198.0, 52.5], zuHV7m_qOM, 5728136]
[contact-info, [1692.0, 3343.5, 198.0, 52.5], zuHV7m_qOM, 5728136]
[contact-info, [1692.0, 3396.0, 198.0, 52.5], zuHV7m_qOM, 5728136]
[footnote, [229.0, 3331.0, 1029.0, 52.5], oplaJz0OxM, 5728136]
[footnote, [229.0, 3383.5, 1029.0, 52.5], oplaJz0OxM, 5728136]
[website-link, [755.0, 3394.0, 436.0, 18.0], shoonya_3sH49HA93MESA6, 5728136]
[website-link, [755.0, 3412.0, 436.0, 18.0], shoonya_3sH49HA93MESA6, 5728136]
