[1320, 1176]
[folio, [927.0, 61.0, 174.0, 18.0], x6MBeRPf_h, 5693741]
[folio, [927.0, 79.0, 174.0, 18.0], x6MBeRPf_h, 5693741]
[folio, [927.0, 97.0, 174.0, 18.0], x6MBeRPf_h, 5693741]
[folio, [927.0, 115.0, 174.0, 18.0], x6MBeRPf_h, 5693741]
[folio, [927.0, 133.0, 174.0, 18.0], x6MBeRPf_h, 5693741]
[folio, [927.0, 151.0, 174.0, 18.0], x6MBeRPf_h, 5693741]
[paragraph, [419.0, 183.0, 327.0, 18.0], YSUoJbwTcD, 5693741]
[paragraph, [419.0, 201.0, 327.0, 18.0], YSUoJbwTcD, 5693741]
[paragraph, [419.0, 219.0, 327.0, 18.0], YSUoJbwTcD, 5693741]
[paragraph, [419.0, 237.0, 327.0, 18.0], YSUoJbwTcD, 5693741]
[paragraph, [419.0, 255.0, 327.0, 18.0], YSUoJbwTcD, 5693741]
[paragraph, [419.0, 273.0, 327.0, 18.0], YSUoJbwTcD, 5693741]
[paragraph, [419.0, 291.0, 327.0, 18.0], YSUoJbwTcD, 5693741]
[paragraph, [419.0, 309.0, 327.0, 18.0], YSUoJbwTcD, 5693741]
[paragraph, [419.0, 327.0, 327.0, 18.0], YSUoJbwTcD, 5693741]
[paragraph, [419.0, 345.0, 327.0, 18.0], YSUoJbwTcD, 5693741]
[paragraph, [419.0, 363.0, 327.0, 18.0], YSUoJbwTcD, 5693741]
[paragraph, [88.0, 185.0, 315.0, 18.0], YgRiFB2onH, 5693741]
[paragraph, [88.0, 203.0, 315.0, 18.0], YgRiFB2onH, 5693741]
[paragraph, [88.0, 221.0, 315.0, 18.0], YgRiFB2onH, 5693741]
[paragraph, [88.0, 239.0, 315.0, 18.0], YgRiFB2onH, 5693741]
[paragraph, [88.0, 257.0, 315.0, 18.0], YgRiFB2onH, 5693741]
[paragraph, [88.0, 275.0, 315.0, 18.0], YgRiFB2onH, 5693741]
[paragraph, [769.0, 187.0, 328.0, 18.0], SU7tSZJgVi, 5693741]
[paragraph, [769.0, 205.0, 328.0, 18.0], SU7tSZJgVi, 5693741]
[paragraph, [769.0, 223.0, 328.0, 18.0], SU7tSZJgVi, 5693741]
[paragraph, [769.0, 241.0, 328.0, 18.0], SU7tSZJgVi, 5693741]
[paragraph, [769.0, 259.0, 328.0, 18.0], SU7tSZJgVi, 5693741]
[paragraph, [769.0, 277.0, 328.0, 18.0], SU7tSZJgVi, 5693741]
[paragraph, [769.0, 295.0, 328.0, 18.0], SU7tSZJgVi, 5693741]
[paragraph, [769.0, 313.0, 328.0, 18.0], SU7tSZJgVi, 5693741]
[paragraph, [769.0, 331.0, 328.0, 18.0], SU7tSZJgVi, 5693741]
[paragraph, [769.0, 349.0, 328.0, 18.0], SU7tSZJgVi, 5693741]
[paragraph, [769.0, 367.0, 328.0, 18.0], SU7tSZJgVi, 5693741]
[paragraph, [769.0, 385.0, 328.0, 18.0], SU7tSZJgVi, 5693741]
[paragraph, [769.0, 403.0, 328.0, 18.0], SU7tSZJgVi, 5693741]
[paragraph, [769.0, 421.0, 328.0, 18.0], SU7tSZJgVi, 5693741]
[paragraph, [769.0, 439.0, 328.0, 18.0], SU7tSZJgVi, 5693741]
[paragraph, [769.0, 457.0, 328.0, 18.0], SU7tSZJgVi, 5693741]
[paragraph, [769.0, 475.0, 328.0, 18.0], SU7tSZJgVi, 5693741]
[paragraph, [769.0, 493.0, 328.0, 18.0], SU7tSZJgVi, 5693741]
[paragraph, [769.0, 511.0, 328.0, 18.0], SU7tSZJgVi, 5693741]
[paragraph, [769.0, 529.0, 328.0, 18.0], SU7tSZJgVi, 5693741]
[paragraph, [769.0, 547.0, 328.0, 18.0], SU7tSZJgVi, 5693741]
[paragraph, [769.0, 565.0, 328.0, 18.0], SU7tSZJgVi, 5693741]
[paragraph, [89.0, 298.0, 317.0, 18.0], 8BbEcbahWM, 5693741]
[paragraph, [89.0, 316.0, 317.0, 18.0], 8BbEcbahWM, 5693741]
[paragraph, [89.0, 334.0, 317.0, 18.0], 8BbEcbahWM, 5693741]
[paragraph, [89.0, 352.0, 317.0, 18.0], 8BbEcbahWM, 5693741]
[paragraph, [89.0, 370.0, 317.0, 18.0], 8BbEcbahWM, 5693741]
[paragraph, [89.0, 388.0, 317.0, 18.0], 8BbEcbahWM, 5693741]
[paragraph, [88.0, 414.0, 320.0, 18.0], URXt2jIuZU, 5693741]
[paragraph, [88.0, 432.0, 320.0, 18.0], URXt2jIuZU, 5693741]
[paragraph, [88.0, 450.0, 320.0, 18.0], URXt2jIuZU, 5693741]
[paragraph, [88.0, 468.0, 320.0, 18.0], URXt2jIuZU, 5693741]
[paragraph, [88.0, 486.0, 320.0, 18.0], URXt2jIuZU, 5693741]
[paragraph, [88.0, 504.0, 320.0, 18.0], URXt2jIuZU, 5693741]
[paragraph, [88.0, 522.0, 320.0, 18.0], URXt2jIuZU, 5693741]
[paragraph, [88.0, 540.0, 320.0, 18.0], URXt2jIuZU, 5693741]
[paragraph, [88.0, 558.0, 320.0, 18.0], URXt2jIuZU, 5693741]
[paragraph, [82.0, 585.0, 325.0, 18.0], UnBl_YLS_W, 5693741]
[paragraph, [82.0, 603.0, 325.0, 18.0], UnBl_YLS_W, 5693741]
[paragraph, [82.0, 621.0, 325.0, 18.0], UnBl_YLS_W, 5693741]
[paragraph, [82.0, 639.0, 325.0, 18.0], UnBl_YLS_W, 5693741]
[paragraph, [82.0, 657.0, 325.0, 18.0], UnBl_YLS_W, 5693741]
[paragraph, [82.0, 675.0, 325.0, 18.0], UnBl_YLS_W, 5693741]
[paragraph, [82.0, 693.0, 325.0, 18.0], UnBl_YLS_W, 5693741]
[paragraph, [82.0, 711.0, 325.0, 18.0], UnBl_YLS_W, 5693741]
[paragraph, [82.0, 729.0, 325.0, 18.0], UnBl_YLS_W, 5693741]
[paragraph, [82.0, 747.0, 325.0, 18.0], UnBl_YLS_W, 5693741]
[paragraph, [82.0, 765.0, 325.0, 18.0], UnBl_YLS_W, 5693741]
[paragraph, [82.0, 783.0, 325.0, 18.0], UnBl_YLS_W, 5693741]
[paragraph, [82.0, 801.0, 325.0, 18.0], UnBl_YLS_W, 5693741]
[paragraph, [82.0, 819.0, 325.0, 18.0], UnBl_YLS_W, 5693741]
[paragraph, [82.0, 837.0, 325.0, 18.0], UnBl_YLS_W, 5693741]
[paragraph, [82.0, 855.0, 325.0, 18.0], UnBl_YLS_W, 5693741]
[paragraph, [778.0, 591.0, 317.0, 18.0], 4yc_xkK7yl, 5693741]
[paragraph, [778.0, 609.0, 317.0, 18.0], 4yc_xkK7yl, 5693741]
[paragraph, [778.0, 627.0, 317.0, 18.0], 4yc_xkK7yl, 5693741]
[paragraph, [778.0, 645.0, 317.0, 18.0], 4yc_xkK7yl, 5693741]
[paragraph, [778.0, 663.0, 317.0, 18.0], 4yc_xkK7yl, 5693741]
[paragraph, [778.0, 681.0, 317.0, 18.0], 4yc_xkK7yl, 5693741]
[paragraph, [778.0, 699.0, 317.0, 18.0], 4yc_xkK7yl, 5693741]
[paragraph, [778.0, 717.0, 317.0, 18.0], 4yc_xkK7yl, 5693741]
[paragraph, [778.0, 735.0, 317.0, 18.0], 4yc_xkK7yl, 5693741]
[paragraph, [778.0, 753.0, 317.0, 18.0], 4yc_xkK7yl, 5693741]
