[1755, 1241]
[folio, [204.0, 58.0, 437.0, 36.0], sXCimiUStl, 5760719]
[paragraph, [280.0, 122.0, 636.0, 36.0], gmll4nOiRS, 5760719]
[paragraph, [280.0, 158.0, 636.0, 36.0], gmll4nOiRS, 5760719]
[paragraph, [280.0, 194.0, 636.0, 36.0], gmll4nOiRS, 5760719]
[paragraph, [280.0, 230.0, 636.0, 36.0], gmll4nOiRS, 5760719]
[paragraph, [280.0, 266.0, 636.0, 36.0], gmll4nOiRS, 5760719]
[paragraph, [280.0, 302.0, 636.0, 36.0], gmll4nOiRS, 5760719]
[paragraph, [280.0, 338.0, 636.0, 36.0], gmll4nOiRS, 5760719]
[paragraph, [280.0, 374.0, 636.0, 36.0], gmll4nOiRS, 5760719]
[paragraph, [280.0, 410.0, 636.0, 36.0], gmll4nOiRS, 5760719]
[paragraph, [280.0, 446.0, 636.0, 36.0], gmll4nOiRS, 5760719]
[paragraph, [280.0, 482.0, 636.0, 36.0], gmll4nOiRS, 5760719]
[paragraph, [280.0, 518.0, 636.0, 36.0], gmll4nOiRS, 5760719]
[paragraph, [280.0, 554.0, 636.0, 36.0], gmll4nOiRS, 5760719]
[paragraph, [280.0, 590.0, 636.0, 36.0], gmll4nOiRS, 5760719]
[paragraph, [206.0, 647.0, 823.0, 36.0], shoonya_0sH67VB275T42O, 5760719]
[paragraph, [206.0, 683.0, 823.0, 36.0], shoonya_0sH67VB275T42O, 5760719]
[paragraph, [206.0, 719.0, 823.0, 36.0], shoonya_0sH67VB275T42O, 5760719]
[paragraph, [206.0, 755.0, 823.0, 36.0], shoonya_0sH67VB275T42O, 5760719]
[paragraph, [206.0, 791.0, 823.0, 36.0], shoonya_0sH67VB275T42O, 5760719]
[paragraph, [206.0, 827.0, 823.0, 36.0], shoonya_0sH67VB275T42O, 5760719]
[paragraph, [206.0, 863.0, 823.0, 36.0], shoonya_0sH67VB275T42O, 5760719]
[paragraph, [204.0, 924.0, 831.0, 36.0], 5JW8al90D7, 5760719]
[paragraph, [204.0, 960.0, 831.0, 36.0], 5JW8al90D7, 5760719]
[paragraph, [204.0, 996.0, 831.0, 36.0], 5JW8al90D7, 5760719]
[paragraph, [204.0, 1032.0, 831.0, 36.0], 5JW8al90D7, 5760719]
[paragraph, [200.0, 1090.0, 831.0, 36.0], 8Dn6RjzZaP, 5760719]
[paragraph, [200.0, 1126.0, 831.0, 36.0], 8Dn6RjzZaP, 5760719]
[paragraph, [200.0, 1162.0, 831.0, 36.0], 8Dn6RjzZaP, 5760719]
[paragraph, [200.0, 1198.0, 831.0, 36.0], 8Dn6RjzZaP, 5760719]
[paragraph, [200.0, 1234.0, 831.0, 36.0], 8Dn6RjzZaP, 5760719]
[paragraph, [200.0, 1270.0, 831.0, 36.0], 8Dn6RjzZaP, 5760719]
[paragraph, [200.0, 1306.0, 831.0, 36.0], 8Dn6RjzZaP, 5760719]
[paragraph, [200.0, 1342.0, 831.0, 36.0], 8Dn6RjzZaP, 5760719]
[paragraph, [206.0, 1400.0, 827.0, 36.0], hVjlyoK-4u, 5760719]
[paragraph, [206.0, 1436.0, 827.0, 36.0], hVjlyoK-4u, 5760719]
[paragraph, [206.0, 1472.0, 827.0, 36.0], hVjlyoK-4u, 5760719]
[paragraph, [206.0, 1508.0, 827.0, 36.0], hVjlyoK-4u, 5760719]
[paragraph, [207.0, 1567.0, 836.0, 36.0], Ko4cPJME-C, 5760719]
[paragraph, [207.0, 1603.0, 836.0, 36.0], Ko4cPJME-C, 5760719]
