[2176, 1464]
[folio, [164.0, 113.0, 151.0, 36.0], J7cYW99bNe, 5655059]
[section-title, [361.0, 226.0, 782.0, 52.5], JzT3e3yP3r, 5655059]
[section-title, [361.0, 278.5, 782.0, 52.5], JzT3e3yP3r, 5655059]
[paragraph, [166.0, 439.0, 1170.0, 36.0], shoonya_0s5N0EHJ2ODTAY, 5655059]
[paragraph, [166.0, 475.0, 1170.0, 36.0], shoonya_0s5N0EHJ2ODTAY, 5655059]
[paragraph, [166.0, 511.0, 1170.0, 36.0], shoonya_0s5N0EHJ2ODTAY, 5655059]
[paragraph, [166.0, 547.0, 1170.0, 36.0], shoonya_0s5N0EHJ2ODTAY, 5655059]
[paragraph, [166.0, 583.0, 1170.0, 36.0], shoonya_0s5N0EHJ2ODTAY, 5655059]
[paragraph, [166.0, 619.0, 1170.0, 36.0], shoonya_0s5N0EHJ2ODTAY, 5655059]
[paragraph, [166.0, 655.0, 1170.0, 36.0], shoonya_0s5N0EHJ2ODTAY, 5655059]
[paragraph, [166.0, 691.0, 1170.0, 36.0], shoonya_0s5N0EHJ2ODTAY, 5655059]
[paragraph, [166.0, 727.0, 1170.0, 36.0], shoonya_0s5N0EHJ2ODTAY, 5655059]
[paragraph, [166.0, 763.0, 1170.0, 36.0], shoonya_0s5N0EHJ2ODTAY, 5655059]
[paragraph, [166.0, 799.0, 1170.0, 36.0], shoonya_0s5N0EHJ2ODTAY, 5655059]
[paragraph, [166.0, 835.0, 1170.0, 36.0], shoonya_0s5N0EHJ2ODTAY, 5655059]
[paragraph, [166.0, 871.0, 1170.0, 36.0], shoonya_0s5N0EHJ2ODTAY, 5655059]
[paragraph, [166.0, 907.0, 1170.0, 36.0], shoonya_0s5N0EHJ2ODTAY, 5655059]
[paragraph, [166.0, 943.0, 1170.0, 36.0], shoonya_0s5N0EHJ2ODTAY, 5655059]
[paragraph, [166.0, 979.0, 1170.0, 36.0], shoonya_0s5N0EHJ2ODTAY, 5655059]
[paragraph, [166.0, 1015.0, 1170.0, 36.0], shoonya_0s5N0EHJ2ODTAY, 5655059]
[paragraph, [166.0, 1051.0, 1170.0, 36.0], shoonya_0s5N0EHJ2ODTAY, 5655059]
[paragraph, [171.0, 1154.0, 1165.0, 36.0], shoonya_1sU9FE1E51ZLTV, 5655059]
[paragraph, [171.0, 1190.0, 1165.0, 36.0], shoonya_1sU9FE1E51ZLTV, 5655059]
[paragraph, [171.0, 1226.0, 1165.0, 36.0], shoonya_1sU9FE1E51ZLTV, 5655059]
[paragraph, [171.0, 1262.0, 1165.0, 36.0], shoonya_1sU9FE1E51ZLTV, 5655059]
[paragraph, [171.0, 1298.0, 1165.0, 36.0], shoonya_1sU9FE1E51ZLTV, 5655059]
[paragraph, [171.0, 1334.0, 1165.0, 36.0], shoonya_1sU9FE1E51ZLTV, 5655059]
[paragraph, [171.0, 1370.0, 1165.0, 36.0], shoonya_1sU9FE1E51ZLTV, 5655059]
[paragraph, [171.0, 1406.0, 1165.0, 36.0], shoonya_1sU9FE1E51ZLTV, 5655059]
[paragraph, [171.0, 1442.0, 1165.0, 36.0], shoonya_1sU9FE1E51ZLTV, 5655059]
[paragraph, [171.0, 1478.0, 1165.0, 36.0], shoonya_1sU9FE1E51ZLTV, 5655059]
[paragraph, [171.0, 1514.0, 1165.0, 36.0], shoonya_1sU9FE1E51ZLTV, 5655059]
[paragraph, [170.0, 1618.0, 1165.0, 36.0], shoonya_2sH076S39HRYUO, 5655059]
[paragraph, [170.0, 1654.0, 1165.0, 36.0], shoonya_2sH076S39HRYUO, 5655059]
[paragraph, [170.0, 1690.0, 1165.0, 36.0], shoonya_2sH076S39HRYUO, 5655059]
[paragraph, [170.0, 1726.0, 1165.0, 36.0], shoonya_2sH076S39HRYUO, 5655059]
[paragraph, [170.0, 1762.0, 1165.0, 36.0], shoonya_2sH076S39HRYUO, 5655059]
[paragraph, [170.0, 1798.0, 1165.0, 36.0], shoonya_2sH076S39HRYUO, 5655059]
[paragraph, [170.0, 1834.0, 1165.0, 36.0], shoonya_2sH076S39HRYUO, 5655059]
[reference, [173.0, 1942.0, 649.0, 36.0], shoonya_3sAHEZMBJ4JDDC, 5655059]
