[2200, 1700]
[paragraph, [279.0, 220.0, 1136.0, 36.0], shoonya_1s42TBD22JHXFX, 5685877]
[paragraph, [279.0, 256.0, 1136.0, 36.0], shoonya_1s42TBD22JHXFX, 5685877]
[paragraph, [279.0, 292.0, 1136.0, 36.0], shoonya_1s42TBD22JHXFX, 5685877]
[paragraph, [279.0, 328.0, 1136.0, 36.0], shoonya_1s42TBD22JHXFX, 5685877]
[paragraph, [279.0, 364.0, 1136.0, 36.0], shoonya_1s42TBD22JHXFX, 5685877]
[paragraph, [279.0, 400.0, 1136.0, 36.0], shoonya_1s42TBD22JHXFX, 5685877]
[paragraph, [279.0, 436.0, 1136.0, 36.0], shoonya_1s42TBD22JHXFX, 5685877]
[paragraph, [279.0, 472.0, 1136.0, 36.0], shoonya_1s42TBD22JHXFX, 5685877]
[paragraph, [279.0, 508.0, 1136.0, 36.0], shoonya_1s42TBD22JHXFX, 5685877]
[paragraph, [279.0, 544.0, 1136.0, 36.0], shoonya_1s42TBD22JHXFX, 5685877]
[paragraph, [279.0, 580.0, 1136.0, 36.0], shoonya_1s42TBD22JHXFX, 5685877]
[paragraph, [279.0, 616.0, 1136.0, 36.0], shoonya_1s42TBD22JHXFX, 5685877]
[paragraph, [279.0, 652.0, 1136.0, 36.0], shoonya_1s42TBD22JHXFX, 5685877]
[paragraph, [279.0, 688.0, 1136.0, 36.0], shoonya_1s42TBD22JHXFX, 5685877]
[paragraph, [279.0, 724.0, 1136.0, 36.0], shoonya_1s42TBD22JHXFX, 5685877]
[paragraph, [279.0, 760.0, 1136.0, 36.0], shoonya_1s42TBD22JHXFX, 5685877]
[paragraph, [279.0, 796.0, 1136.0, 36.0], shoonya_1s42TBD22JHXFX, 5685877]
[paragraph, [279.0, 832.0, 1136.0, 36.0], shoonya_1s42TBD22JHXFX, 5685877]
[paragraph, [279.0, 868.0, 1136.0, 36.0], shoonya_1s42TBD22JHXFX, 5685877]
[reference, [1204.0, 951.0, 182.0, 36.0], y-CijbWn5q, 5685877]
[paragraph, [282.0, 952.0, 917.0, 36.0], 0PxRDE-Ib3, 5685877]
[paragraph, [279.0, 1036.0, 1139.0, 36.0], shoonya_0s8QWLYNNZG5SH, 5685877]
[paragraph, [279.0, 1072.0, 1139.0, 36.0], shoonya_0s8QWLYNNZG5SH, 5685877]
[paragraph, [279.0, 1108.0, 1139.0, 36.0], shoonya_0s8QWLYNNZG5SH, 5685877]
[paragraph, [279.0, 1144.0, 1139.0, 36.0], shoonya_0s8QWLYNNZG5SH, 5685877]
[paragraph, [279.0, 1180.0, 1139.0, 36.0], shoonya_0s8QWLYNNZG5SH, 5685877]
[paragraph, [279.0, 1216.0, 1139.0, 36.0], shoonya_0s8QWLYNNZG5SH, 5685877]
[paragraph, [279.0, 1252.0, 1139.0, 36.0], shoonya_0s8QWLYNNZG5SH, 5685877]
[paragraph, [279.0, 1288.0, 1139.0, 36.0], shoonya_0s8QWLYNNZG5SH, 5685877]
[paragraph, [279.0, 1324.0, 1139.0, 36.0], shoonya_0s8QWLYNNZG5SH, 5685877]
[paragraph, [279.0, 1360.0, 1139.0, 36.0], shoonya_0s8QWLYNNZG5SH, 5685877]
[paragraph, [279.0, 1396.0, 1139.0, 36.0], shoonya_0s8QWLYNNZG5SH, 5685877]
[paragraph, [279.0, 1432.0, 1139.0, 36.0], shoonya_0s8QWLYNNZG5SH, 5685877]
[paragraph, [279.0, 1468.0, 1139.0, 36.0], shoonya_0s8QWLYNNZG5SH, 5685877]
[paragraph, [279.0, 1504.0, 1139.0, 36.0], shoonya_0s8QWLYNNZG5SH, 5685877]
[paragraph, [279.0, 1540.0, 1139.0, 36.0], shoonya_0s8QWLYNNZG5SH, 5685877]
[paragraph, [279.0, 1576.0, 1139.0, 36.0], shoonya_0s8QWLYNNZG5SH, 5685877]
[paragraph, [279.0, 1612.0, 1139.0, 36.0], shoonya_0s8QWLYNNZG5SH, 5685877]
[paragraph, [279.0, 1648.0, 1139.0, 36.0], shoonya_0s8QWLYNNZG5SH, 5685877]
[paragraph, [279.0, 1684.0, 1139.0, 36.0], shoonya_0s8QWLYNNZG5SH, 5685877]
[paragraph, [280.0, 1770.0, 680.0, 36.0], B7_WBRw7lT, 5685877]
[reference, [968.0, 1774.0, 169.0, 36.0], AanqZHfNQ3, 5685877]
