[1606, 1056]
[folio, [102.0, 102.0, 226.0, 36.0], shoonya_4s7OAIH98D3EN0, 5683957]
[folio, [446.0, 102.0, 159.0, 36.0], shoonya_2sQPGMZOSOURJF, 5683957]
[paragraph, [100.0, 149.0, 848.0, 36.0], shoonya_3s3W8CSDCW1HBZ, 5683957]
[paragraph, [100.0, 185.0, 848.0, 36.0], shoonya_3s3W8CSDCW1HBZ, 5683957]
[paragraph, [100.0, 221.0, 848.0, 36.0], shoonya_3s3W8CSDCW1HBZ, 5683957]
[paragraph, [100.0, 257.0, 848.0, 36.0], shoonya_3s3W8CSDCW1HBZ, 5683957]
[paragraph, [100.0, 293.0, 848.0, 36.0], shoonya_3s3W8CSDCW1HBZ, 5683957]
[paragraph, [100.0, 329.0, 848.0, 36.0], shoonya_3s3W8CSDCW1HBZ, 5683957]
[paragraph, [100.0, 365.0, 848.0, 36.0], shoonya_3s3W8CSDCW1HBZ, 5683957]
[paragraph, [100.0, 401.0, 848.0, 36.0], shoonya_3s3W8CSDCW1HBZ, 5683957]
[paragraph, [100.0, 437.0, 848.0, 36.0], shoonya_3s3W8CSDCW1HBZ, 5683957]
[paragraph, [100.0, 473.0, 848.0, 36.0], shoonya_3s3W8CSDCW1HBZ, 5683957]
[paragraph, [100.0, 509.0, 848.0, 36.0], shoonya_3s3W8CSDCW1HBZ, 5683957]
[paragraph, [102.0, 559.0, 850.0, 36.0], shoonya_0sZF2ZJWJ4606W, 5683957]
[paragraph, [102.0, 595.0, 850.0, 36.0], shoonya_0sZF2ZJWJ4606W, 5683957]
[paragraph, [102.0, 631.0, 850.0, 36.0], shoonya_0sZF2ZJWJ4606W, 5683957]
[paragraph, [102.0, 667.0, 850.0, 36.0], shoonya_0sZF2ZJWJ4606W, 5683957]
[paragraph, [102.0, 703.0, 850.0, 36.0], shoonya_0sZF2ZJWJ4606W, 5683957]
[paragraph, [102.0, 739.0, 850.0, 36.0], shoonya_0sZF2ZJWJ4606W, 5683957]
[paragraph, [102.0, 775.0, 850.0, 36.0], shoonya_0sZF2ZJWJ4606W, 5683957]
[paragraph, [102.0, 811.0, 850.0, 36.0], shoonya_0sZF2ZJWJ4606W, 5683957]
[paragraph, [102.0, 847.0, 850.0, 36.0], shoonya_0sZF2ZJWJ4606W, 5683957]
[paragraph, [102.0, 883.0, 850.0, 36.0], shoonya_0sZF2ZJWJ4606W, 5683957]
[paragraph, [102.0, 919.0, 850.0, 36.0], shoonya_0sZF2ZJWJ4606W, 5683957]
[paragraph, [102.0, 955.0, 850.0, 36.0], shoonya_0sZF2ZJWJ4606W, 5683957]
[paragraph, [102.0, 991.0, 850.0, 36.0], shoonya_0sZF2ZJWJ4606W, 5683957]
[paragraph, [102.0, 1027.0, 850.0, 36.0], shoonya_0sZF2ZJWJ4606W, 5683957]
[paragraph, [102.0, 1063.0, 850.0, 36.0], shoonya_0sZF2ZJWJ4606W, 5683957]
[paragraph, [102.0, 1099.0, 850.0, 36.0], shoonya_0sZF2ZJWJ4606W, 5683957]
[paragraph, [102.0, 1135.0, 850.0, 36.0], shoonya_0sZF2ZJWJ4606W, 5683957]
[paragraph, [102.0, 1171.0, 850.0, 36.0], shoonya_0sZF2ZJWJ4606W, 5683957]
[paragraph, [102.0, 1207.0, 850.0, 36.0], shoonya_0sZF2ZJWJ4606W, 5683957]
[paragraph, [102.0, 1243.0, 850.0, 36.0], shoonya_0sZF2ZJWJ4606W, 5683957]
[paragraph, [102.0, 1282.0, 851.0, 36.0], shoonya_1sH89IUWS56MSM, 5683957]
[paragraph, [102.0, 1318.0, 851.0, 36.0], shoonya_1sH89IUWS56MSM, 5683957]
[paragraph, [102.0, 1354.0, 851.0, 36.0], shoonya_1sH89IUWS56MSM, 5683957]
[paragraph, [102.0, 1390.0, 851.0, 36.0], shoonya_1sH89IUWS56MSM, 5683957]
[paragraph, [102.0, 1426.0, 851.0, 36.0], shoonya_1sH89IUWS56MSM, 5683957]
[paragraph, [102.0, 1462.0, 851.0, 36.0], shoonya_1sH89IUWS56MSM, 5683957]
