[1787, 1218]
[paragraph, [112.0, 102.0, 342.0, 36.0], O0zsLdrteu, 5651394]
[paragraph, [98.0, 132.0, 1022.0, 36.0], hkLFzp2eAM, 5651394]
[paragraph, [98.0, 168.0, 1022.0, 36.0], hkLFzp2eAM, 5651394]
[paragraph, [106.0, 208.0, 1001.0, 36.0], pBRfDZzd_W, 5651394]
[paragraph, [106.0, 244.0, 1001.0, 36.0], pBRfDZzd_W, 5651394]
[paragraph, [153.0, 292.0, 478.0, 36.0], erUU67JnKs, 5651394]
[paragraph, [111.0, 333.0, 1000.0, 36.0], k47ZI8SuLc, 5651394]
[paragraph, [111.0, 369.0, 1000.0, 36.0], k47ZI8SuLc, 5651394]
[paragraph, [95.0, 408.0, 1020.0, 36.0], H5dcKiA0gf, 5651394]
[paragraph, [95.0, 444.0, 1020.0, 36.0], H5dcKiA0gf, 5651394]
[paragraph, [95.0, 480.0, 1020.0, 36.0], H5dcKiA0gf, 5651394]
[paragraph, [95.0, 516.0, 1020.0, 36.0], H5dcKiA0gf, 5651394]
[paragraph, [95.0, 552.0, 1020.0, 36.0], H5dcKiA0gf, 5651394]
[paragraph, [98.0, 608.0, 1013.0, 36.0], shoonya_0sTBHICMOYRUXT, 5651394]
[paragraph, [98.0, 644.0, 1013.0, 36.0], shoonya_0sTBHICMOYRUXT, 5651394]
[paragraph, [98.0, 680.0, 1013.0, 36.0], shoonya_0sTBHICMOYRUXT, 5651394]
[paragraph, [102.0, 723.0, 1020.0, 36.0], Il-BTWW4H8, 5651394]
[paragraph, [102.0, 759.0, 1020.0, 36.0], Il-BTWW4H8, 5651394]
[paragraph, [102.0, 795.0, 1020.0, 36.0], Il-BTWW4H8, 5651394]
[paragraph, [102.0, 831.0, 1020.0, 36.0], Il-BTWW4H8, 5651394]
[paragraph, [102.0, 867.0, 1020.0, 36.0], Il-BTWW4H8, 5651394]
[paragraph, [102.0, 903.0, 1020.0, 36.0], Il-BTWW4H8, 5651394]
[paragraph, [100.0, 964.0, 1012.0, 36.0], myMSV-LhDj, 5651394]
[paragraph, [100.0, 1000.0, 1012.0, 36.0], myMSV-LhDj, 5651394]
[paragraph, [100.0, 1036.0, 1012.0, 36.0], myMSV-LhDj, 5651394]
[paragraph, [100.0, 1072.0, 1012.0, 36.0], myMSV-LhDj, 5651394]
[paragraph, [100.0, 1108.0, 1012.0, 36.0], myMSV-LhDj, 5651394]
[paragraph, [100.0, 1144.0, 1012.0, 36.0], myMSV-LhDj, 5651394]
[paragraph, [112.0, 1201.0, 997.0, 36.0], dVR3rH1FBm, 5651394]
[paragraph, [112.0, 1237.0, 997.0, 36.0], dVR3rH1FBm, 5651394]
[paragraph, [99.0, 1281.0, 1008.0, 36.0], 2EoGE53ItK, 5651394]
[paragraph, [99.0, 1317.0, 1008.0, 36.0], 2EoGE53ItK, 5651394]
[paragraph, [99.0, 1353.0, 1008.0, 36.0], 2EoGE53ItK, 5651394]
[paragraph, [99.0, 1389.0, 1008.0, 36.0], 2EoGE53ItK, 5651394]
[paragraph, [99.0, 1425.0, 1008.0, 36.0], 2EoGE53ItK, 5651394]
[paragraph, [100.0, 1476.0, 1031.0, 36.0], LzjGOGkALI, 5651394]
[paragraph, [100.0, 1512.0, 1031.0, 36.0], LzjGOGkALI, 5651394]
[paragraph, [158.0, 1556.0, 948.0, 36.0], geOwrAJrNI, 5651394]
