[1650, 934]
[folio, [367.0, 91.0, 220.0, 36.0], 6xwAI7oyGm, 5766034]
[paragraph, [52.0, 165.0, 817.0, 36.0], shoonya_0sOQ4I3G8ZJH1U, 5766034]
[paragraph, [52.0, 201.0, 817.0, 36.0], shoonya_0sOQ4I3G8ZJH1U, 5766034]
[paragraph, [51.0, 267.0, 818.0, 36.0], Y6Y5YW8Tsv, 5766034]
[paragraph, [51.0, 303.0, 818.0, 36.0], Y6Y5YW8Tsv, 5766034]
[paragraph, [51.0, 339.0, 818.0, 36.0], Y6Y5YW8Tsv, 5766034]
[paragraph, [51.0, 375.0, 818.0, 36.0], Y6Y5YW8Tsv, 5766034]
[paragraph, [51.0, 411.0, 818.0, 36.0], Y6Y5YW8Tsv, 5766034]
[paragraph, [51.0, 447.0, 818.0, 36.0], Y6Y5YW8Tsv, 5766034]
[paragraph, [51.0, 483.0, 818.0, 36.0], Y6Y5YW8Tsv, 5766034]
[paragraph, [47.0, 533.0, 827.0, 36.0], shoonya_1s0F02JJFDG51T, 5766034]
[paragraph, [47.0, 569.0, 827.0, 36.0], shoonya_1s0F02JJFDG51T, 5766034]
[paragraph, [47.0, 605.0, 827.0, 36.0], shoonya_1s0F02JJFDG51T, 5766034]
[paragraph, [47.0, 641.0, 827.0, 36.0], shoonya_1s0F02JJFDG51T, 5766034]
[paragraph, [47.0, 677.0, 827.0, 36.0], shoonya_1s0F02JJFDG51T, 5766034]
[paragraph, [47.0, 713.0, 827.0, 36.0], shoonya_1s0F02JJFDG51T, 5766034]
[paragraph, [47.0, 749.0, 827.0, 36.0], shoonya_1s0F02JJFDG51T, 5766034]
[paragraph, [47.0, 785.0, 827.0, 36.0], shoonya_1s0F02JJFDG51T, 5766034]
[paragraph, [47.0, 821.0, 827.0, 36.0], shoonya_1s0F02JJFDG51T, 5766034]
[paragraph, [47.0, 857.0, 827.0, 36.0], shoonya_1s0F02JJFDG51T, 5766034]
[paragraph, [47.0, 893.0, 827.0, 36.0], shoonya_1s0F02JJFDG51T, 5766034]
[paragraph, [47.0, 929.0, 827.0, 36.0], shoonya_1s0F02JJFDG51T, 5766034]
[paragraph, [47.0, 965.0, 827.0, 36.0], shoonya_1s0F02JJFDG51T, 5766034]
[paragraph, [47.0, 1001.0, 827.0, 36.0], shoonya_1s0F02JJFDG51T, 5766034]
[paragraph, [47.0, 1037.0, 827.0, 36.0], shoonya_1s0F02JJFDG51T, 5766034]
[paragraph, [51.0, 1084.0, 826.0, 36.0], 8cQ_3Paq-h, 5766034]
[paragraph, [51.0, 1120.0, 826.0, 36.0], 8cQ_3Paq-h, 5766034]
[paragraph, [51.0, 1156.0, 826.0, 36.0], 8cQ_3Paq-h, 5766034]
[paragraph, [51.0, 1192.0, 826.0, 36.0], 8cQ_3Paq-h, 5766034]
[paragraph, [51.0, 1228.0, 826.0, 36.0], 8cQ_3Paq-h, 5766034]
[paragraph, [51.0, 1264.0, 826.0, 36.0], 8cQ_3Paq-h, 5766034]
[paragraph, [51.0, 1300.0, 826.0, 36.0], 8cQ_3Paq-h, 5766034]
[paragraph, [51.0, 1336.0, 826.0, 36.0], 8cQ_3Paq-h, 5766034]
[paragraph, [51.0, 1372.0, 826.0, 36.0], 8cQ_3Paq-h, 5766034]
[paragraph, [51.0, 1408.0, 826.0, 36.0], 8cQ_3Paq-h, 5766034]
[paragraph, [51.0, 1444.0, 826.0, 36.0], 8cQ_3Paq-h, 5766034]
