[690, 512]
[folio, [168.0, 36.0, 138.0, 18.0], qZpwkXN4R6, 6490987]
[paragraph, [9.0, 62.0, 232.0, 18.0], shoonya_0sH7D77AHAK074, 6490987]
[paragraph, [9.0, 80.0, 232.0, 18.0], shoonya_0sH7D77AHAK074, 6490987]
[paragraph, [9.0, 98.0, 232.0, 18.0], shoonya_0sH7D77AHAK074, 6490987]
[paragraph, [9.0, 116.0, 232.0, 18.0], shoonya_0sH7D77AHAK074, 6490987]
[paragraph, [9.0, 134.0, 232.0, 18.0], shoonya_0sH7D77AHAK074, 6490987]
[paragraph, [9.0, 152.0, 232.0, 18.0], shoonya_0sH7D77AHAK074, 6490987]
[paragraph, [9.0, 170.0, 232.0, 18.0], shoonya_0sH7D77AHAK074, 6490987]
[paragraph, [9.0, 188.0, 232.0, 18.0], shoonya_0sH7D77AHAK074, 6490987]
[paragraph, [9.0, 206.0, 232.0, 18.0], shoonya_0sH7D77AHAK074, 6490987]
[paragraph, [9.0, 224.0, 232.0, 18.0], shoonya_0sH7D77AHAK074, 6490987]
[paragraph, [9.0, 242.0, 232.0, 18.0], shoonya_0sH7D77AHAK074, 6490987]
[paragraph, [9.0, 260.0, 232.0, 18.0], shoonya_0sH7D77AHAK074, 6490987]
[paragraph, [9.0, 278.0, 232.0, 18.0], shoonya_0sH7D77AHAK074, 6490987]
[paragraph, [9.0, 296.0, 232.0, 18.0], shoonya_0sH7D77AHAK074, 6490987]
[paragraph, [9.0, 314.0, 232.0, 18.0], shoonya_0sH7D77AHAK074, 6490987]
[paragraph, [246.0, 62.0, 226.0, 18.0], shoonya_8sNS4HRTYSQDNW, 6490987]
[paragraph, [246.0, 80.0, 226.0, 18.0], shoonya_8sNS4HRTYSQDNW, 6490987]
[paragraph, [246.0, 98.0, 226.0, 18.0], shoonya_8sNS4HRTYSQDNW, 6490987]
[paragraph, [246.0, 116.0, 226.0, 18.0], shoonya_8sNS4HRTYSQDNW, 6490987]
[paragraph, [246.0, 134.0, 226.0, 18.0], shoonya_8sNS4HRTYSQDNW, 6490987]
[paragraph, [246.0, 152.0, 226.0, 18.0], shoonya_8sNS4HRTYSQDNW, 6490987]
[paragraph, [246.0, 170.0, 226.0, 18.0], shoonya_8sNS4HRTYSQDNW, 6490987]
[paragraph, [246.0, 188.0, 226.0, 18.0], shoonya_8sNS4HRTYSQDNW, 6490987]
[paragraph, [247.0, 213.0, 226.0, 18.0], KU4UqtS47l, 6490987]
[paragraph, [247.0, 231.0, 226.0, 18.0], KU4UqtS47l, 6490987]
[paragraph, [247.0, 249.0, 226.0, 18.0], KU4UqtS47l, 6490987]
[paragraph, [247.0, 267.0, 226.0, 18.0], KU4UqtS47l, 6490987]
[paragraph, [247.0, 285.0, 226.0, 18.0], KU4UqtS47l, 6490987]
[paragraph, [247.0, 303.0, 226.0, 18.0], KU4UqtS47l, 6490987]
[paragraph, [247.0, 321.0, 226.0, 18.0], KU4UqtS47l, 6490987]
[paragraph, [9.0, 349.0, 234.0, 18.0], shoonya_9s3P9I5QE8YE6L, 6490987]
[paragraph, [9.0, 367.0, 234.0, 18.0], shoonya_9s3P9I5QE8YE6L, 6490987]
[paragraph, [9.0, 385.0, 234.0, 18.0], shoonya_9s3P9I5QE8YE6L, 6490987]
[paragraph, [9.0, 403.0, 234.0, 18.0], shoonya_9s3P9I5QE8YE6L, 6490987]
[paragraph, [9.0, 421.0, 234.0, 18.0], shoonya_9s3P9I5QE8YE6L, 6490987]
[paragraph, [9.0, 439.0, 234.0, 18.0], shoonya_9s3P9I5QE8YE6L, 6490987]
[paragraph, [9.0, 457.0, 234.0, 18.0], shoonya_9s3P9I5QE8YE6L, 6490987]
[paragraph, [248.0, 354.0, 222.0, 18.0], nLfygtsKMf, 6490987]
[ordered-list, [248.0, 385.0, 223.0, 18.0], WanO78LEIU, 6490987]
[ordered-list, [248.0, 403.0, 223.0, 18.0], WanO78LEIU, 6490987]
[ordered-list, [248.0, 421.0, 223.0, 18.0], WanO78LEIU, 6490987]
[ordered-list, [248.0, 439.0, 223.0, 18.0], WanO78LEIU, 6490987]
[ordered-list, [248.0, 457.0, 223.0, 18.0], WanO78LEIU, 6490987]
[ordered-list, [248.0, 475.0, 223.0, 18.0], WanO78LEIU, 6490987]
[ordered-list, [248.0, 493.0, 223.0, 18.0], WanO78LEIU, 6490987]
[ordered-list, [248.0, 511.0, 223.0, 18.0], WanO78LEIU, 6490987]
[ordered-list, [248.0, 529.0, 223.0, 18.0], WanO78LEIU, 6490987]
[ordered-list, [248.0, 547.0, 223.0, 18.0], WanO78LEIU, 6490987]
[ordered-list, [248.0, 565.0, 223.0, 18.0], WanO78LEIU, 6490987]
[paragraph, [16.0, 481.0, 228.0, 18.0], dn7YRcOoG7, 6490987]
[paragraph, [16.0, 499.0, 228.0, 18.0], dn7YRcOoG7, 6490987]
[paragraph, [16.0, 517.0, 228.0, 18.0], dn7YRcOoG7, 6490987]
[paragraph, [16.0, 535.0, 228.0, 18.0], dn7YRcOoG7, 6490987]
[paragraph, [16.0, 553.0, 228.0, 18.0], dn7YRcOoG7, 6490987]
[paragraph, [16.0, 571.0, 228.0, 18.0], dn7YRcOoG7, 6490987]
[paragraph, [16.0, 589.0, 228.0, 18.0], dn7YRcOoG7, 6490987]
[paragraph, [16.0, 607.0, 228.0, 18.0], dn7YRcOoG7, 6490987]
[paragraph, [249.0, 599.0, 221.0, 18.0], r_W3ShC_Tw, 6490987]
[paragraph, [249.0, 617.0, 221.0, 18.0], r_W3ShC_Tw, 6490987]
