[1162, 749]
[headline, [252.0, 183.0, 232.0, 25.5], shoonya_4sQS8WUSOS7K4G, 5699286]
[section-title, [189.0, 249.0, 352.0, 30.0], O74B4byBfI, 5699286]
[section-title, [189.0, 279.0, 352.0, 30.0], O74B4byBfI, 5699286]
[section-title, [189.0, 309.0, 352.0, 30.0], O74B4byBfI, 5699286]
[paragraph, [76.0, 373.0, 592.0, 18.0], shoonya_0sC5GLISHG8UZJ, 5699286]
[paragraph, [76.0, 391.0, 592.0, 18.0], shoonya_0sC5GLISHG8UZJ, 5699286]
[paragraph, [76.0, 409.0, 592.0, 18.0], shoonya_0sC5GLISHG8UZJ, 5699286]
[paragraph, [76.0, 427.0, 592.0, 18.0], shoonya_0sC5GLISHG8UZJ, 5699286]
[paragraph, [76.0, 445.0, 592.0, 18.0], shoonya_0sC5GLISHG8UZJ, 5699286]
[paragraph, [76.0, 463.0, 592.0, 18.0], shoonya_0sC5GLISHG8UZJ, 5699286]
[paragraph, [76.0, 481.0, 592.0, 18.0], shoonya_0sC5GLISHG8UZJ, 5699286]
[paragraph, [76.0, 499.0, 592.0, 18.0], shoonya_0sC5GLISHG8UZJ, 5699286]
[paragraph, [76.0, 517.0, 592.0, 18.0], shoonya_0sC5GLISHG8UZJ, 5699286]
[paragraph, [76.0, 535.0, 592.0, 18.0], shoonya_0sC5GLISHG8UZJ, 5699286]
[paragraph, [76.0, 553.0, 592.0, 18.0], shoonya_0sC5GLISHG8UZJ, 5699286]
[paragraph, [76.0, 571.0, 592.0, 18.0], shoonya_0sC5GLISHG8UZJ, 5699286]
[paragraph, [76.0, 589.0, 592.0, 18.0], shoonya_0sC5GLISHG8UZJ, 5699286]
[paragraph, [76.0, 607.0, 592.0, 18.0], shoonya_0sC5GLISHG8UZJ, 5699286]
[paragraph, [76.0, 625.0, 592.0, 18.0], shoonya_0sC5GLISHG8UZJ, 5699286]
[paragraph, [82.0, 649.0, 588.0, 18.0], shoonya_1sG39QH6CKFAJM, 5699286]
[paragraph, [82.0, 667.0, 588.0, 18.0], shoonya_1sG39QH6CKFAJM, 5699286]
[paragraph, [82.0, 685.0, 588.0, 18.0], shoonya_1sG39QH6CKFAJM, 5699286]
[paragraph, [82.0, 703.0, 588.0, 18.0], shoonya_1sG39QH6CKFAJM, 5699286]
[paragraph, [82.0, 721.0, 588.0, 18.0], shoonya_1sG39QH6CKFAJM, 5699286]
[paragraph, [82.0, 739.0, 588.0, 18.0], shoonya_1sG39QH6CKFAJM, 5699286]
[paragraph, [82.0, 757.0, 588.0, 18.0], shoonya_1sG39QH6CKFAJM, 5699286]
[paragraph, [82.0, 775.0, 588.0, 18.0], shoonya_1sG39QH6CKFAJM, 5699286]
[paragraph, [82.0, 793.0, 588.0, 18.0], shoonya_1sG39QH6CKFAJM, 5699286]
[paragraph, [82.0, 811.0, 588.0, 18.0], shoonya_1sG39QH6CKFAJM, 5699286]
[paragraph, [82.0, 829.0, 588.0, 18.0], shoonya_1sG39QH6CKFAJM, 5699286]
[paragraph, [82.0, 847.0, 588.0, 18.0], shoonya_1sG39QH6CKFAJM, 5699286]
[paragraph, [82.0, 865.0, 588.0, 18.0], shoonya_1sG39QH6CKFAJM, 5699286]
[paragraph, [83.0, 887.0, 591.0, 18.0], shoonya_3s3B4A8NOSAM6E, 5699286]
[paragraph, [83.0, 905.0, 591.0, 18.0], shoonya_3s3B4A8NOSAM6E, 5699286]
[paragraph, [83.0, 923.0, 591.0, 18.0], shoonya_3s3B4A8NOSAM6E, 5699286]
[paragraph, [83.0, 941.0, 591.0, 18.0], shoonya_3s3B4A8NOSAM6E, 5699286]
[paragraph, [83.0, 959.0, 591.0, 18.0], shoonya_3s3B4A8NOSAM6E, 5699286]
[paragraph, [83.0, 977.0, 591.0, 18.0], shoonya_3s3B4A8NOSAM6E, 5699286]
[paragraph, [83.0, 995.0, 591.0, 18.0], shoonya_3s3B4A8NOSAM6E, 5699286]
[paragraph, [83.0, 1013.0, 591.0, 18.0], shoonya_3s3B4A8NOSAM6E, 5699286]
[paragraph, [83.0, 1031.0, 591.0, 18.0], shoonya_3s3B4A8NOSAM6E, 5699286]
[paragraph, [83.0, 1049.0, 591.0, 18.0], shoonya_3s3B4A8NOSAM6E, 5699286]
[paragraph, [83.0, 1067.0, 591.0, 18.0], shoonya_3s3B4A8NOSAM6E, 5699286]
