[3020, 1800]
[paragraph, [63.0, 406.0, 821.0, 52.5], shoonya_19s0RAS5A8WKGW, 5694584]
[paragraph, [63.0, 458.5, 821.0, 52.5], shoonya_19s0RAS5A8WKGW, 5694584]
[paragraph, [901.0, 406.0, 833.0, 52.5], HSdoWH4v_Q, 5694584]
[paragraph, [901.0, 458.5, 833.0, 52.5], HSdoWH4v_Q, 5694584]
[paragraph, [901.0, 511.0, 833.0, 52.5], HSdoWH4v_Q, 5694584]
[paragraph, [901.0, 563.5, 833.0, 52.5], HSdoWH4v_Q, 5694584]
[paragraph, [901.0, 616.0, 833.0, 52.5], HSdoWH4v_Q, 5694584]
[paragraph, [901.0, 668.5, 833.0, 52.5], HSdoWH4v_Q, 5694584]
[paragraph, [65.0, 558.0, 815.0, 52.5], shoonya_14sQ1Y9M4ARLUV, 5694584]
[paragraph, [61.0, 653.0, 820.0, 52.5], shoonya_15sYP5PSE3OQOM, 5694584]
[paragraph, [61.0, 705.5, 820.0, 52.5], shoonya_15sYP5PSE3OQOM, 5694584]
[paragraph, [61.0, 758.0, 820.0, 52.5], shoonya_15sYP5PSE3OQOM, 5694584]
[paragraph, [61.0, 810.5, 820.0, 52.5], shoonya_15sYP5PSE3OQOM, 5694584]
[paragraph, [913.0, 744.0, 817.0, 52.5], shoonya_21s2IL9QO778LD, 5694584]
[paragraph, [913.0, 796.5, 817.0, 52.5], shoonya_21s2IL9QO778LD, 5694584]
[paragraph, [65.0, 888.0, 818.0, 52.5], shoonya_13sL9DTYNFT9NC, 5694584]
[paragraph, [65.0, 940.5, 818.0, 52.5], shoonya_13sL9DTYNFT9NC, 5694584]
[paragraph, [65.0, 993.0, 818.0, 52.5], shoonya_13sL9DTYNFT9NC, 5694584]
[paragraph, [65.0, 1045.5, 818.0, 52.5], shoonya_13sL9DTYNFT9NC, 5694584]
[paragraph, [65.0, 1098.0, 818.0, 52.5], shoonya_13sL9DTYNFT9NC, 5694584]
[paragraph, [65.0, 1150.5, 818.0, 52.5], shoonya_13sL9DTYNFT9NC, 5694584]
[paragraph, [65.0, 1203.0, 818.0, 52.5], shoonya_13sL9DTYNFT9NC, 5694584]
[paragraph, [65.0, 1255.5, 818.0, 52.5], shoonya_13sL9DTYNFT9NC, 5694584]
[paragraph, [65.0, 1308.0, 818.0, 52.5], shoonya_13sL9DTYNFT9NC, 5694584]
[paragraph, [65.0, 1360.5, 818.0, 52.5], shoonya_13sL9DTYNFT9NC, 5694584]
[paragraph, [915.0, 894.0, 813.0, 52.5], shoonya_17sM8GGYBZ5B78, 5694584]
[paragraph, [898.0, 990.0, 828.0, 52.5], neO6btz8q3, 5694584]
[paragraph, [898.0, 1042.5, 828.0, 52.5], neO6btz8q3, 5694584]
[paragraph, [898.0, 1095.0, 828.0, 52.5], neO6btz8q3, 5694584]
[paragraph, [898.0, 1147.5, 828.0, 52.5], neO6btz8q3, 5694584]
[paragraph, [898.0, 1200.0, 828.0, 52.5], neO6btz8q3, 5694584]
[paragraph, [898.0, 1252.5, 828.0, 52.5], neO6btz8q3, 5694584]
[paragraph, [913.0, 1323.0, 820.0, 52.5], shoonya_23sGVLQQQDUPDP, 5694584]
[paragraph, [913.0, 1375.5, 820.0, 52.5], shoonya_23sGVLQQQDUPDP, 5694584]
[paragraph, [911.0, 1466.0, 821.0, 52.5], shoonya_29s12IAS233HKP, 5694584]
[paragraph, [911.0, 1518.5, 821.0, 52.5], shoonya_29s12IAS233HKP, 5694584]
[paragraph, [911.0, 1571.0, 821.0, 52.5], shoonya_29s12IAS233HKP, 5694584]
[paragraph, [911.0, 1623.5, 821.0, 52.5], shoonya_29s12IAS233HKP, 5694584]
[paragraph, [911.0, 1676.0, 821.0, 52.5], shoonya_29s12IAS233HKP, 5694584]
[paragraph, [911.0, 1728.5, 821.0, 52.5], shoonya_29s12IAS233HKP, 5694584]
[paragraph, [66.0, 1475.0, 813.0, 52.5], shoonya_6s4J0SSL6EV465, 5694584]
[paragraph, [66.0, 1527.5, 813.0, 52.5], shoonya_6s4J0SSL6EV465, 5694584]
[paragraph, [50.0, 1620.0, 841.0, 52.5], shoonya_5s4TWFRTEIUVVY, 5694584]
[paragraph, [50.0, 1672.5, 841.0, 52.5], shoonya_5s4TWFRTEIUVVY, 5694584]
[paragraph, [50.0, 1725.0, 841.0, 52.5], shoonya_5s4TWFRTEIUVVY, 5694584]
[paragraph, [50.0, 1777.5, 841.0, 52.5], shoonya_5s4TWFRTEIUVVY, 5694584]
[paragraph, [50.0, 1830.0, 841.0, 52.5], shoonya_5s4TWFRTEIUVVY, 5694584]
[paragraph, [50.0, 1882.5, 841.0, 52.5], shoonya_5s4TWFRTEIUVVY, 5694584]
[paragraph, [50.0, 1935.0, 841.0, 52.5], shoonya_5s4TWFRTEIUVVY, 5694584]
[paragraph, [50.0, 1987.5, 841.0, 52.5], shoonya_5s4TWFRTEIUVVY, 5694584]
[paragraph, [50.0, 2040.0, 841.0, 52.5], shoonya_5s4TWFRTEIUVVY, 5694584]
[paragraph, [915.0, 1807.0, 819.0, 52.5], shoonya_28sFWJEGDYTWLB, 5694584]
[paragraph, [915.0, 1859.5, 819.0, 52.5], shoonya_28sFWJEGDYTWLB, 5694584]
[paragraph, [915.0, 1912.0, 819.0, 52.5], shoonya_28sFWJEGDYTWLB, 5694584]
[paragraph, [917.0, 2002.0, 811.0, 52.5], shoonya_25s732NCE4EJZ9, 5694584]
[paragraph, [917.0, 2102.0, 812.0, 52.5], shoonya_18s1QG3NBUENNK, 5694584]
[paragraph, [917.0, 2154.5, 812.0, 52.5], shoonya_18s1QG3NBUENNK, 5694584]
[paragraph, [60.0, 2103.0, 817.0, 52.5], shoonya_0s4BCD3S8LR6TW, 5694584]
[paragraph, [60.0, 2155.5, 817.0, 52.5], shoonya_0s4BCD3S8LR6TW, 5694584]
[paragraph, [60.0, 2208.0, 817.0, 52.5], shoonya_0s4BCD3S8LR6TW, 5694584]
[paragraph, [60.0, 2260.5, 817.0, 52.5], shoonya_0s4BCD3S8LR6TW, 5694584]
[paragraph, [60.0, 2313.0, 817.0, 52.5], shoonya_0s4BCD3S8LR6TW, 5694584]
[paragraph, [918.0, 2248.0, 809.0, 52.5], shoonya_11sQIUB1AF86CT, 5694584]
[paragraph, [917.0, 2346.0, 810.0, 52.5], shoonya_12s9M96J10PATX, 5694584]
[paragraph, [69.0, 2389.0, 809.0, 52.5], shoonya_8sBLLIKJBOV5ZC, 5694584]
[paragraph, [919.0, 2439.0, 808.0, 52.5], shoonya_10sWD51NIWDEV9, 5694584]
[paragraph, [63.0, 2484.0, 816.0, 52.5], shoonya_4s2A7053YG80J4, 5694584]
[paragraph, [63.0, 2536.5, 816.0, 52.5], shoonya_4s2A7053YG80J4, 5694584]
[paragraph, [63.0, 2589.0, 816.0, 52.5], shoonya_4s2A7053YG80J4, 5694584]
[paragraph, [63.0, 2641.5, 816.0, 52.5], shoonya_4s2A7053YG80J4, 5694584]
[paragraph, [919.0, 2536.0, 808.0, 52.5], shoonya_2s3A1Y7E2SNT3Q, 5694584]
[paragraph, [919.0, 2588.5, 808.0, 52.5], shoonya_2s3A1Y7E2SNT3Q, 5694584]
[paragraph, [920.0, 2683.0, 805.0, 52.5], shoonya_1s050FUOXM4P0K, 5694584]
[paragraph, [59.0, 2727.0, 820.0, 52.5], shoonya_26sAOQHGKC937X, 5694584]
[paragraph, [59.0, 2779.5, 820.0, 52.5], shoonya_26sAOQHGKC937X, 5694584]
[paragraph, [919.0, 2773.0, 807.0, 52.5], shoonya_9sL6EGZ31RI4TH, 5694584]
