[975, 575]
[chapter-title, [60.0, 43.0, 426.0, 30.0], shoonya_0sS3Q71YQQQQ6Q, 5775974]
[paragraph, [10.0, 87.0, 540.0, 18.0], _CjM2IXxi5, 5775974]
[paragraph, [10.0, 105.0, 540.0, 18.0], _CjM2IXxi5, 5775974]
[paragraph, [10.0, 123.0, 540.0, 18.0], _CjM2IXxi5, 5775974]
[paragraph, [10.0, 141.0, 540.0, 18.0], _CjM2IXxi5, 5775974]
[paragraph, [10.0, 159.0, 540.0, 18.0], _CjM2IXxi5, 5775974]
[paragraph, [10.0, 187.0, 550.0, 18.0], 6I_2Ip2j4y, 5775974]
[paragraph, [10.0, 205.0, 550.0, 18.0], 6I_2Ip2j4y, 5775974]
[paragraph, [10.0, 223.0, 550.0, 18.0], 6I_2Ip2j4y, 5775974]
[paragraph, [10.0, 241.0, 550.0, 18.0], 6I_2Ip2j4y, 5775974]
[paragraph, [10.0, 259.0, 550.0, 18.0], 6I_2Ip2j4y, 5775974]
[paragraph, [10.0, 277.0, 550.0, 18.0], 6I_2Ip2j4y, 5775974]
[paragraph, [10.0, 295.0, 550.0, 18.0], 6I_2Ip2j4y, 5775974]
[paragraph, [10.0, 313.0, 550.0, 18.0], 6I_2Ip2j4y, 5775974]
[paragraph, [10.0, 331.0, 550.0, 18.0], 6I_2Ip2j4y, 5775974]
[paragraph, [10.0, 349.0, 550.0, 18.0], 6I_2Ip2j4y, 5775974]
[paragraph, [10.0, 367.0, 550.0, 18.0], 6I_2Ip2j4y, 5775974]
[paragraph, [10.0, 385.0, 550.0, 18.0], 6I_2Ip2j4y, 5775974]
[paragraph, [10.0, 403.0, 550.0, 18.0], 6I_2Ip2j4y, 5775974]
[paragraph, [10.0, 421.0, 550.0, 18.0], 6I_2Ip2j4y, 5775974]
[paragraph, [10.0, 439.0, 550.0, 18.0], 6I_2Ip2j4y, 5775974]
[paragraph, [10.0, 457.0, 550.0, 18.0], 6I_2Ip2j4y, 5775974]
[paragraph, [10.0, 475.0, 550.0, 18.0], 6I_2Ip2j4y, 5775974]
[paragraph, [10.0, 493.0, 550.0, 18.0], 6I_2Ip2j4y, 5775974]
[paragraph, [10.0, 511.0, 550.0, 18.0], 6I_2Ip2j4y, 5775974]
[paragraph, [10.0, 529.0, 550.0, 18.0], 6I_2Ip2j4y, 5775974]
[paragraph, [10.0, 547.0, 550.0, 18.0], 6I_2Ip2j4y, 5775974]
[paragraph, [10.0, 565.0, 550.0, 18.0], 6I_2Ip2j4y, 5775974]
[paragraph, [10.0, 583.0, 550.0, 18.0], 6I_2Ip2j4y, 5775974]
[paragraph, [10.0, 602.0, 550.0, 18.0], Q4AEosEQOd, 5775974]
[paragraph, [10.0, 620.0, 550.0, 18.0], Q4AEosEQOd, 5775974]
[paragraph, [10.0, 638.0, 550.0, 18.0], Q4AEosEQOd, 5775974]
[paragraph, [10.0, 656.0, 550.0, 18.0], Q4AEosEQOd, 5775974]
[paragraph, [10.0, 674.0, 550.0, 18.0], Q4AEosEQOd, 5775974]
[paragraph, [10.0, 692.0, 550.0, 18.0], Q4AEosEQOd, 5775974]
[paragraph, [10.0, 710.0, 550.0, 18.0], Q4AEosEQOd, 5775974]
[paragraph, [10.0, 728.0, 550.0, 18.0], Q4AEosEQOd, 5775974]
[paragraph, [10.0, 746.0, 550.0, 18.0], Q4AEosEQOd, 5775974]
[paragraph, [10.0, 764.0, 550.0, 18.0], Q4AEosEQOd, 5775974]
[paragraph, [10.0, 782.0, 550.0, 18.0], Q4AEosEQOd, 5775974]
[paragraph, [10.0, 800.0, 550.0, 18.0], Q4AEosEQOd, 5775974]
[paragraph, [10.0, 818.0, 550.0, 18.0], Q4AEosEQOd, 5775974]
[paragraph, [10.0, 836.0, 550.0, 18.0], Q4AEosEQOd, 5775974]
[paragraph, [10.0, 854.0, 550.0, 18.0], Q4AEosEQOd, 5775974]
[paragraph, [10.0, 872.0, 550.0, 18.0], Q4AEosEQOd, 5775974]
[paragraph, [10.0, 890.0, 550.0, 18.0], Q4AEosEQOd, 5775974]
[paragraph, [10.0, 908.0, 550.0, 18.0], Q4AEosEQOd, 5775974]
