[2339, 1656]
[paragraph, [263.0, 155.0, 1202.0, 36.0], shoonya_2sY7OATJERUGZA, 5735770]
[paragraph, [263.0, 191.0, 1202.0, 36.0], shoonya_2sY7OATJERUGZA, 5735770]
[paragraph, [263.0, 227.0, 1202.0, 36.0], shoonya_2sY7OATJERUGZA, 5735770]
[paragraph, [263.0, 263.0, 1202.0, 36.0], shoonya_2sY7OATJERUGZA, 5735770]
[paragraph, [263.0, 299.0, 1202.0, 36.0], shoonya_2sY7OATJERUGZA, 5735770]
[ordered-list, [187.0, 368.0, 1284.0, 36.0], shoonya_9s4B09HTFRUSIZ, 5735770]
[ordered-list, [187.0, 404.0, 1284.0, 36.0], shoonya_9s4B09HTFRUSIZ, 5735770]
[ordered-list, [187.0, 440.0, 1284.0, 36.0], shoonya_9s4B09HTFRUSIZ, 5735770]
[ordered-list, [187.0, 476.0, 1284.0, 36.0], shoonya_9s4B09HTFRUSIZ, 5735770]
[ordered-list, [187.0, 512.0, 1284.0, 36.0], shoonya_9s4B09HTFRUSIZ, 5735770]
[ordered-list, [187.0, 548.0, 1284.0, 36.0], shoonya_9s4B09HTFRUSIZ, 5735770]
[ordered-list, [187.0, 584.0, 1284.0, 36.0], shoonya_9s4B09HTFRUSIZ, 5735770]
[ordered-list, [187.0, 620.0, 1284.0, 36.0], shoonya_9s4B09HTFRUSIZ, 5735770]
[ordered-list, [187.0, 656.0, 1284.0, 36.0], shoonya_9s4B09HTFRUSIZ, 5735770]
[ordered-list, [187.0, 692.0, 1284.0, 36.0], shoonya_9s4B09HTFRUSIZ, 5735770]
[ordered-list, [187.0, 728.0, 1284.0, 36.0], shoonya_9s4B09HTFRUSIZ, 5735770]
[ordered-list, [187.0, 764.0, 1284.0, 36.0], shoonya_9s4B09HTFRUSIZ, 5735770]
[ordered-list, [187.0, 800.0, 1284.0, 36.0], shoonya_9s4B09HTFRUSIZ, 5735770]
[ordered-list, [187.0, 836.0, 1284.0, 36.0], shoonya_9s4B09HTFRUSIZ, 5735770]
[ordered-list, [187.0, 872.0, 1284.0, 36.0], shoonya_9s4B09HTFRUSIZ, 5735770]
[ordered-list, [187.0, 908.0, 1284.0, 36.0], shoonya_9s4B09HTFRUSIZ, 5735770]
[ordered-list, [187.0, 944.0, 1284.0, 36.0], shoonya_9s4B09HTFRUSIZ, 5735770]
[ordered-list, [187.0, 980.0, 1284.0, 36.0], shoonya_9s4B09HTFRUSIZ, 5735770]
[ordered-list, [187.0, 1016.0, 1284.0, 36.0], shoonya_9s4B09HTFRUSIZ, 5735770]
[ordered-list, [187.0, 1052.0, 1284.0, 36.0], shoonya_9s4B09HTFRUSIZ, 5735770]
[ordered-list, [187.0, 1088.0, 1284.0, 36.0], shoonya_9s4B09HTFRUSIZ, 5735770]
[ordered-list, [187.0, 1124.0, 1284.0, 36.0], shoonya_9s4B09HTFRUSIZ, 5735770]
[ordered-list, [187.0, 1160.0, 1284.0, 36.0], shoonya_9s4B09HTFRUSIZ, 5735770]
[ordered-list, [187.0, 1196.0, 1284.0, 36.0], shoonya_9s4B09HTFRUSIZ, 5735770]
[ordered-list, [187.0, 1232.0, 1284.0, 36.0], shoonya_9s4B09HTFRUSIZ, 5735770]
[ordered-list, [187.0, 1268.0, 1284.0, 36.0], shoonya_9s4B09HTFRUSIZ, 5735770]
[ordered-list, [187.0, 1304.0, 1284.0, 36.0], shoonya_9s4B09HTFRUSIZ, 5735770]
[ordered-list, [187.0, 1340.0, 1284.0, 36.0], shoonya_9s4B09HTFRUSIZ, 5735770]
[ordered-list, [187.0, 1376.0, 1284.0, 36.0], shoonya_9s4B09HTFRUSIZ, 5735770]
[ordered-list, [187.0, 1412.0, 1284.0, 36.0], shoonya_9s4B09HTFRUSIZ, 5735770]
[ordered-list, [187.0, 1448.0, 1284.0, 36.0], shoonya_9s4B09HTFRUSIZ, 5735770]
[ordered-list, [187.0, 1484.0, 1284.0, 36.0], shoonya_9s4B09HTFRUSIZ, 5735770]
[ordered-list, [187.0, 1520.0, 1284.0, 36.0], shoonya_9s4B09HTFRUSIZ, 5735770]
[ordered-list, [187.0, 1556.0, 1284.0, 36.0], shoonya_9s4B09HTFRUSIZ, 5735770]
[ordered-list, [187.0, 1592.0, 1284.0, 36.0], shoonya_9s4B09HTFRUSIZ, 5735770]
[ordered-list, [187.0, 1628.0, 1284.0, 36.0], shoonya_9s4B09HTFRUSIZ, 5735770]
[ordered-list, [187.0, 1664.0, 1284.0, 36.0], shoonya_9s4B09HTFRUSIZ, 5735770]
[ordered-list, [187.0, 1700.0, 1284.0, 36.0], shoonya_9s4B09HTFRUSIZ, 5735770]
[ordered-list, [187.0, 1736.0, 1284.0, 36.0], shoonya_9s4B09HTFRUSIZ, 5735770]
[sub-ordered-list, [242.0, 1199.0, 1235.0, 36.0], shoonya_0s8A3PJ49B0AY5, 5735770]
[sub-ordered-list, [242.0, 1235.0, 1235.0, 36.0], shoonya_0s8A3PJ49B0AY5, 5735770]
[sub-ordered-list, [242.0, 1271.0, 1235.0, 36.0], shoonya_0s8A3PJ49B0AY5, 5735770]
[sub-ordered-list, [242.0, 1307.0, 1235.0, 36.0], shoonya_0s8A3PJ49B0AY5, 5735770]
[sub-ordered-list, [242.0, 1343.0, 1235.0, 36.0], shoonya_0s8A3PJ49B0AY5, 5735770]
[sub-ordered-list, [242.0, 1379.0, 1235.0, 36.0], shoonya_0s8A3PJ49B0AY5, 5735770]
[sub-ordered-list, [242.0, 1415.0, 1235.0, 36.0], shoonya_0s8A3PJ49B0AY5, 5735770]
[sub-ordered-list, [242.0, 1451.0, 1235.0, 36.0], shoonya_0s8A3PJ49B0AY5, 5735770]
[sub-ordered-list, [242.0, 1487.0, 1235.0, 36.0], shoonya_0s8A3PJ49B0AY5, 5735770]
[sub-ordered-list, [242.0, 1523.0, 1235.0, 36.0], shoonya_0s8A3PJ49B0AY5, 5735770]
[sub-ordered-list, [242.0, 1559.0, 1235.0, 36.0], shoonya_0s8A3PJ49B0AY5, 5735770]
[sub-ordered-list, [242.0, 1595.0, 1235.0, 36.0], shoonya_0s8A3PJ49B0AY5, 5735770]
[sub-ordered-list, [242.0, 1631.0, 1235.0, 36.0], shoonya_0s8A3PJ49B0AY5, 5735770]
[sub-ordered-list, [242.0, 1667.0, 1235.0, 36.0], shoonya_0s8A3PJ49B0AY5, 5735770]
[sub-ordered-list, [242.0, 1703.0, 1235.0, 36.0], shoonya_0s8A3PJ49B0AY5, 5735770]
[paragraph, [190.0, 1851.0, 1275.0, 36.0], shoonya_3sSAGZCNGWWBN9, 5735770]
[paragraph, [190.0, 1887.0, 1275.0, 36.0], shoonya_3sSAGZCNGWWBN9, 5735770]
[paragraph, [190.0, 1923.0, 1275.0, 36.0], shoonya_3sSAGZCNGWWBN9, 5735770]
[paragraph, [190.0, 1959.0, 1275.0, 36.0], shoonya_3sSAGZCNGWWBN9, 5735770]
[paragraph, [190.0, 1995.0, 1275.0, 36.0], shoonya_3sSAGZCNGWWBN9, 5735770]
[paragraph, [190.0, 2031.0, 1275.0, 36.0], shoonya_3sSAGZCNGWWBN9, 5735770]
