[3308, 2339]
[headline, [105.0, 286.0, 2149.0, 52.5], 9AWcLzP35l, 5695263]
[headline, [105.0, 338.5, 2149.0, 52.5], 9AWcLzP35l, 5695263]
[headline, [105.0, 391.0, 2149.0, 52.5], 9AWcLzP35l, 5695263]
[headline, [105.0, 443.5, 2149.0, 52.5], 9AWcLzP35l, 5695263]
[headline, [105.0, 496.0, 2149.0, 52.5], 9AWcLzP35l, 5695263]
[headline, [105.0, 548.5, 2149.0, 52.5], 9AWcLzP35l, 5695263]
[headline, [105.0, 601.0, 2149.0, 52.5], 9AWcLzP35l, 5695263]
[headline, [105.0, 653.5, 2149.0, 52.5], 9AWcLzP35l, 5695263]
[headline, [105.0, 706.0, 2149.0, 52.5], 9AWcLzP35l, 5695263]
[headline, [105.0, 758.5, 2149.0, 52.5], 9AWcLzP35l, 5695263]
[headline, [105.0, 811.0, 2149.0, 52.5], 9AWcLzP35l, 5695263]
[headline, [108.0, 1662.0, 2073.0, 52.5], XsjodgqBgs, 5695263]
[headline, [108.0, 1714.5, 2073.0, 52.5], XsjodgqBgs, 5695263]
[headline, [108.0, 1767.0, 2073.0, 52.5], XsjodgqBgs, 5695263]
[headline, [108.0, 1819.5, 2073.0, 52.5], XsjodgqBgs, 5695263]
[headline, [108.0, 1872.0, 2073.0, 52.5], XsjodgqBgs, 5695263]
[headline, [108.0, 1924.5, 2073.0, 52.5], XsjodgqBgs, 5695263]
[headline, [108.0, 1977.0, 2073.0, 52.5], XsjodgqBgs, 5695263]
[headline, [108.0, 2029.5, 2073.0, 52.5], XsjodgqBgs, 5695263]
[headline, [108.0, 2082.0, 2073.0, 52.5], XsjodgqBgs, 5695263]
[headline, [108.0, 2134.5, 2073.0, 52.5], XsjodgqBgs, 5695263]
[headline, [108.0, 2187.0, 2073.0, 52.5], XsjodgqBgs, 5695263]
[headline, [108.0, 2239.5, 2073.0, 52.5], XsjodgqBgs, 5695263]
[headline, [108.0, 2292.0, 2073.0, 52.5], XsjodgqBgs, 5695263]
[headline, [108.0, 2344.5, 2073.0, 52.5], XsjodgqBgs, 5695263]
[headline, [108.0, 2397.0, 2073.0, 52.5], XsjodgqBgs, 5695263]
[headline, [108.0, 2449.5, 2073.0, 52.5], XsjodgqBgs, 5695263]
[contact-info, [239.0, 2779.0, 1880.0, 52.5], nOiuNbXz2q, 5695263]
[contact-info, [239.0, 2831.5, 1880.0, 52.5], nOiuNbXz2q, 5695263]
[contact-info, [239.0, 2884.0, 1880.0, 52.5], nOiuNbXz2q, 5695263]
[contact-info, [239.0, 2936.5, 1880.0, 52.5], nOiuNbXz2q, 5695263]
[contact-info, [239.0, 2989.0, 1880.0, 52.5], nOiuNbXz2q, 5695263]
[contact-info, [239.0, 3041.5, 1880.0, 52.5], nOiuNbXz2q, 5695263]
