[3508, 2481]
[contact-info, [519.0, 90.0, 1455.0, 52.5], yeIbDD7vpW, 6490850]
[contact-info, [519.0, 142.5, 1455.0, 52.5], yeIbDD7vpW, 6490850]
[contact-info, [612.0, 450.0, 1333.0, 52.5], krV70hnWyV, 6490850]
[contact-info, [612.0, 502.5, 1333.0, 52.5], krV70hnWyV, 6490850]
[contact-info, [612.0, 555.0, 1333.0, 52.5], krV70hnWyV, 6490850]
[section-title, [1050.0, 768.0, 369.0, 93.0], 3D6_xrzhiA, 6490850]
[paragraph, [208.0, 995.0, 1231.0, 52.5], JKdtqFv6UX, 6490850]
[paragraph, [208.0, 1047.5, 1231.0, 52.5], JKdtqFv6UX, 6490850]
[placeholder-text, [1980.0, 1253.0, 289.0, 18.0], jU2Wf-4cbZ, 6490850]
[placeholder-text, [1980.0, 1271.0, 289.0, 18.0], jU2Wf-4cbZ, 6490850]
[placeholder-text, [1980.0, 1289.0, 289.0, 18.0], jU2Wf-4cbZ, 6490850]
[placeholder-text, [1980.0, 1307.0, 289.0, 18.0], jU2Wf-4cbZ, 6490850]
[paragraph, [192.0, 1505.0, 485.0, 52.5], CRQI3QG2QU, 6490850]
[paragraph, [189.0, 1626.0, 2098.0, 52.5], _YNf-DeM03, 6490850]
[paragraph, [189.0, 1678.5, 2098.0, 52.5], _YNf-DeM03, 6490850]
[paragraph, [189.0, 1731.0, 2098.0, 52.5], _YNf-DeM03, 6490850]
[paragraph, [189.0, 1783.5, 2098.0, 52.5], _YNf-DeM03, 6490850]
[paragraph, [189.0, 1836.0, 2098.0, 52.5], _YNf-DeM03, 6490850]
[paragraph, [189.0, 1888.5, 2098.0, 52.5], _YNf-DeM03, 6490850]
[folio, [648.0, 3010.0, 1190.0, 52.5], z2FQuXzFWV, 6490850]
[folio, [648.0, 3062.5, 1190.0, 52.5], z2FQuXzFWV, 6490850]
[folio, [648.0, 3115.0, 1190.0, 52.5], z2FQuXzFWV, 6490850]
