[853, 552]
[ordered-list, [48.0, 89.0, 477.0, 18.0], shoonya_0s3TX297YPBE4F, 5773650]
[ordered-list, [48.0, 107.0, 477.0, 18.0], shoonya_0s3TX297YPBE4F, 5773650]
[ordered-list, [48.0, 125.0, 477.0, 18.0], shoonya_0s3TX297YPBE4F, 5773650]
[ordered-list, [48.0, 143.0, 477.0, 18.0], shoonya_0s3TX297YPBE4F, 5773650]
[ordered-list, [48.0, 161.0, 477.0, 18.0], shoonya_0s3TX297YPBE4F, 5773650]
[ordered-list, [48.0, 179.0, 477.0, 18.0], shoonya_0s3TX297YPBE4F, 5773650]
[ordered-list, [48.0, 197.0, 477.0, 18.0], shoonya_0s3TX297YPBE4F, 5773650]
[ordered-list, [48.0, 215.0, 477.0, 18.0], shoonya_0s3TX297YPBE4F, 5773650]
[ordered-list, [48.0, 233.0, 477.0, 18.0], shoonya_0s3TX297YPBE4F, 5773650]
[ordered-list, [48.0, 251.0, 477.0, 18.0], shoonya_0s3TX297YPBE4F, 5773650]
[ordered-list, [48.0, 269.0, 477.0, 18.0], shoonya_0s3TX297YPBE4F, 5773650]
[ordered-list, [48.0, 287.0, 477.0, 18.0], shoonya_0s3TX297YPBE4F, 5773650]
[ordered-list, [48.0, 305.0, 477.0, 18.0], shoonya_0s3TX297YPBE4F, 5773650]
[section-title, [197.0, 357.0, 160.0, 30.0], 2S3KEzLwWw, 5773650]
[sub-section-title, [90.0, 402.0, 363.0, 25.5], eUeehpd459, 5773650]
[paragraph, [55.0, 459.0, 432.0, 18.0], shoonya_1s83DEFQFYL46S, 5773650]
[paragraph, [55.0, 477.0, 432.0, 18.0], shoonya_1s83DEFQFYL46S, 5773650]
[paragraph, [55.0, 495.0, 432.0, 18.0], shoonya_1s83DEFQFYL46S, 5773650]
[paragraph, [55.0, 513.0, 432.0, 18.0], shoonya_1s83DEFQFYL46S, 5773650]
[paragraph, [55.0, 531.0, 432.0, 18.0], shoonya_1s83DEFQFYL46S, 5773650]
[paragraph, [55.0, 549.0, 432.0, 18.0], shoonya_1s83DEFQFYL46S, 5773650]
[paragraph, [55.0, 567.0, 432.0, 18.0], shoonya_1s83DEFQFYL46S, 5773650]
[paragraph, [55.0, 585.0, 432.0, 18.0], shoonya_1s83DEFQFYL46S, 5773650]
[paragraph, [55.0, 603.0, 432.0, 18.0], shoonya_1s83DEFQFYL46S, 5773650]
[paragraph, [55.0, 621.0, 432.0, 18.0], shoonya_1s83DEFQFYL46S, 5773650]
[paragraph, [55.0, 639.0, 432.0, 18.0], shoonya_1s83DEFQFYL46S, 5773650]
[paragraph, [55.0, 657.0, 432.0, 18.0], shoonya_1s83DEFQFYL46S, 5773650]
[paragraph, [55.0, 675.0, 432.0, 18.0], shoonya_1s83DEFQFYL46S, 5773650]
[paragraph, [55.0, 693.0, 432.0, 18.0], shoonya_1s83DEFQFYL46S, 5773650]
[paragraph, [55.0, 711.0, 432.0, 18.0], shoonya_1s83DEFQFYL46S, 5773650]
[paragraph, [55.0, 729.0, 432.0, 18.0], shoonya_1s83DEFQFYL46S, 5773650]
