[1275, 1650]
[folio, [68.0, 76.0, 765.0, 18.0], qAGhxfod09, 5764589]
[folio, [68.0, 94.0, 765.0, 18.0], qAGhxfod09, 5764589]
[folio, [68.0, 112.0, 765.0, 18.0], qAGhxfod09, 5764589]
[folio, [68.0, 130.0, 765.0, 18.0], qAGhxfod09, 5764589]
[folio, [68.0, 148.0, 765.0, 18.0], qAGhxfod09, 5764589]
[folio, [68.0, 166.0, 765.0, 18.0], qAGhxfod09, 5764589]
[folio, [68.0, 184.0, 765.0, 18.0], qAGhxfod09, 5764589]
[folio, [68.0, 202.0, 765.0, 18.0], qAGhxfod09, 5764589]
[folio, [68.0, 220.0, 765.0, 18.0], qAGhxfod09, 5764589]
[folio, [68.0, 238.0, 765.0, 18.0], qAGhxfod09, 5764589]
[folio, [68.0, 256.0, 765.0, 18.0], qAGhxfod09, 5764589]
[folio, [68.0, 274.0, 765.0, 18.0], qAGhxfod09, 5764589]
[folio, [68.0, 292.0, 765.0, 18.0], qAGhxfod09, 5764589]
[folio, [177.0, 121.0, 624.0, 18.0], mcgrmOc2uE, 5764589]
[folio, [177.0, 139.0, 624.0, 18.0], mcgrmOc2uE, 5764589]
[folio, [177.0, 157.0, 624.0, 18.0], mcgrmOc2uE, 5764589]
[folio, [177.0, 175.0, 624.0, 18.0], mcgrmOc2uE, 5764589]
[folio, [177.0, 193.0, 624.0, 18.0], mcgrmOc2uE, 5764589]
[folio, [177.0, 211.0, 624.0, 18.0], mcgrmOc2uE, 5764589]
[folio, [177.0, 229.0, 624.0, 18.0], mcgrmOc2uE, 5764589]
[folio, [177.0, 247.0, 624.0, 18.0], mcgrmOc2uE, 5764589]
[folio, [177.0, 265.0, 624.0, 18.0], mcgrmOc2uE, 5764589]
[folio, [177.0, 283.0, 624.0, 18.0], mcgrmOc2uE, 5764589]
[folio, [177.0, 301.0, 624.0, 18.0], mcgrmOc2uE, 5764589]
[second-level-question, [847.0, 173.0, 711.0, 18.0], _IMQqSuPwD, 5764589]
[second-level-question, [847.0, 191.0, 711.0, 18.0], _IMQqSuPwD, 5764589]
[second-level-question, [847.0, 209.0, 711.0, 18.0], _IMQqSuPwD, 5764589]
[second-level-question, [847.0, 227.0, 711.0, 18.0], _IMQqSuPwD, 5764589]
[second-level-question, [847.0, 245.0, 711.0, 18.0], _IMQqSuPwD, 5764589]
[second-level-question, [847.0, 263.0, 711.0, 18.0], _IMQqSuPwD, 5764589]
[second-level-question, [847.0, 281.0, 711.0, 18.0], _IMQqSuPwD, 5764589]
[second-level-question, [847.0, 299.0, 711.0, 18.0], _IMQqSuPwD, 5764589]
[second-level-question, [847.0, 317.0, 711.0, 18.0], _IMQqSuPwD, 5764589]
[second-level-question, [847.0, 335.0, 711.0, 18.0], _IMQqSuPwD, 5764589]
[second-level-question, [847.0, 353.0, 711.0, 18.0], _IMQqSuPwD, 5764589]
[second-level-question, [847.0, 371.0, 711.0, 18.0], _IMQqSuPwD, 5764589]
