[1951, 1219]
[folio, [794.0, 121.0, 201.0, 36.0], shoonya_0s38WQPXIJRWI3, 5682626]
[paragraph, [121.0, 204.0, 964.0, 36.0], XB93ekYkmU, 5682626]
[paragraph, [121.0, 240.0, 964.0, 36.0], XB93ekYkmU, 5682626]
[paragraph, [121.0, 276.0, 964.0, 36.0], XB93ekYkmU, 5682626]
[paragraph, [121.0, 312.0, 964.0, 36.0], XB93ekYkmU, 5682626]
[paragraph, [121.0, 348.0, 964.0, 36.0], XB93ekYkmU, 5682626]
[paragraph, [121.0, 384.0, 964.0, 36.0], XB93ekYkmU, 5682626]
[paragraph, [123.0, 446.0, 964.0, 36.0], JQ_sEj4S4g, 5682626]
[paragraph, [123.0, 482.0, 964.0, 36.0], JQ_sEj4S4g, 5682626]
[paragraph, [123.0, 518.0, 964.0, 36.0], JQ_sEj4S4g, 5682626]
[paragraph, [123.0, 554.0, 964.0, 36.0], JQ_sEj4S4g, 5682626]
[paragraph, [123.0, 590.0, 964.0, 36.0], JQ_sEj4S4g, 5682626]
[paragraph, [123.0, 626.0, 964.0, 36.0], JQ_sEj4S4g, 5682626]
[paragraph, [123.0, 662.0, 964.0, 36.0], JQ_sEj4S4g, 5682626]
[paragraph, [123.0, 698.0, 964.0, 36.0], JQ_sEj4S4g, 5682626]
[paragraph, [123.0, 734.0, 964.0, 36.0], JQ_sEj4S4g, 5682626]
[paragraph, [123.0, 770.0, 964.0, 36.0], JQ_sEj4S4g, 5682626]
[paragraph, [123.0, 806.0, 964.0, 36.0], JQ_sEj4S4g, 5682626]
[paragraph, [123.0, 842.0, 964.0, 36.0], JQ_sEj4S4g, 5682626]
[paragraph, [123.0, 878.0, 964.0, 36.0], JQ_sEj4S4g, 5682626]
[paragraph, [123.0, 914.0, 964.0, 36.0], JQ_sEj4S4g, 5682626]
[paragraph, [123.0, 950.0, 964.0, 36.0], JQ_sEj4S4g, 5682626]
[paragraph, [123.0, 1030.0, 969.0, 36.0], xPV_t1Hr2g, 5682626]
[paragraph, [123.0, 1066.0, 969.0, 36.0], xPV_t1Hr2g, 5682626]
[paragraph, [123.0, 1102.0, 969.0, 36.0], xPV_t1Hr2g, 5682626]
[paragraph, [123.0, 1138.0, 969.0, 36.0], xPV_t1Hr2g, 5682626]
[paragraph, [123.0, 1174.0, 969.0, 36.0], xPV_t1Hr2g, 5682626]
[paragraph, [123.0, 1210.0, 969.0, 36.0], xPV_t1Hr2g, 5682626]
[paragraph, [123.0, 1246.0, 969.0, 36.0], xPV_t1Hr2g, 5682626]
[paragraph, [123.0, 1282.0, 969.0, 36.0], xPV_t1Hr2g, 5682626]
[paragraph, [123.0, 1318.0, 969.0, 36.0], xPV_t1Hr2g, 5682626]
[paragraph, [123.0, 1354.0, 969.0, 36.0], xPV_t1Hr2g, 5682626]
[paragraph, [132.0, 1428.0, 963.0, 36.0], QOaSVJHU7O, 5682626]
[paragraph, [132.0, 1464.0, 963.0, 36.0], QOaSVJHU7O, 5682626]
[paragraph, [132.0, 1500.0, 963.0, 36.0], QOaSVJHU7O, 5682626]
[paragraph, [132.0, 1536.0, 963.0, 36.0], QOaSVJHU7O, 5682626]
[paragraph, [132.0, 1572.0, 963.0, 36.0], QOaSVJHU7O, 5682626]
[paragraph, [132.0, 1608.0, 963.0, 36.0], QOaSVJHU7O, 5682626]
[paragraph, [132.0, 1644.0, 963.0, 36.0], QOaSVJHU7O, 5682626]
[paragraph, [132.0, 1680.0, 963.0, 36.0], QOaSVJHU7O, 5682626]
[paragraph, [132.0, 1716.0, 963.0, 36.0], QOaSVJHU7O, 5682626]
[paragraph, [132.0, 1752.0, 963.0, 36.0], QOaSVJHU7O, 5682626]
[paragraph, [132.0, 1788.0, 963.0, 36.0], QOaSVJHU7O, 5682626]
